,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2014-09-05,Big Game,8500000,7500000,90,"['Action', 'Adventure', 'Thriller']","Air Force One is shot down by terrorists, leaving the President of the United States stranded in the wilderness. 13-year old Oskari is also in that wilderness, on a hunting mission to prove his maturity to his kinsfolk by tracking down a deer, but instead discovers the President in an escape pod. With the terrorists closing in to capture their prize, the unlikely duo team up to escape their hunters.",,['Jalmari Helander'],"['Samuel L. Jackson', 'Onni Tommila', 'Ted Levine', 'Victor Garber', 'Felicity Huffman', 'Ray Stevenson', 'Mehmet Kurtuluş', 'Jim Broadbent', 'Jaymes Butler', 'Jorma Tommila', 'Risto Salmi', 'Erik Markus Schuetz', 'Rauno Juvonen', 'Jean-Luc Julien', 'Jason Steffan', 'Philipp Rafferty', 'Adrian Can']","['Egoli Tossell Film', 'Head Gear Films', 'Altitude Film Entertainment', 'Film House Germany', 'Metrol Technology', 'Ketchup Entertainment', 'Bavaria Film Partners', 'Subzero Film Entertainment', 'VisionPlus Fund I', 'Waterstone Entertainment']",1,"['FI', 'DE', 'GB']","['fi', 'en']",tt2088003,5.456,1002
1,2006-04-14,ചിന്താമണി കൊലക്കേസ്,280000,1000000,149,"['Action', 'Crime', 'Mystery']","The story is centered on Lal Krishna Viradiar (Suresh Gopi), the enigmatic criminal lawyer with an even more enigmatic mission. Lal Krishna helps out hardened criminals to get away from the courts. But later he pursues and takes them out in a bizarre show of vigilante justice.",,['Shaji Kailas'],"['Suresh Gopi', 'Bhavana', 'Thilakan', 'Saikumar', 'Kalabhavan Mani', 'Biju Menon', 'Vani Viswanath']",['Central Pictures'],1,['IN'],['ml'],tt0882759,6.0,14
2,2014-09-07,Miss Julie,5500000,5000000,130,['Drama'],"Over the course of a midsummer night in Fermanagh in 1890, an unsettled daughter of the Anglo-Irish aristocracy encourages her father's valet to seduce her.",Love is a foolish game,['Liv Ullmann'],"['Jessica Chastain', 'Colin Farrell', 'Samantha Morton', 'Nora McMenamy']","['Maipo Film', 'The Apocalypse Films']",1,"['GB', 'NO']",['en'],tt2667960,5.639,119
3,2013-08-14,Até que a Sbórnia nos Separe,981065,43559,93,"['Animation', 'Comedy', 'Music']","Sbórnia is an island with a rich but eccentric culture, separated from the rest of the world by a high wall. When the wall comes down, cultural change plays hilarious havoc on the lives of two traditional Sbórnian musicians.",,"['Otto Guerra', 'Ennio Torresan Jr.']","['Hique Gomez', 'Nico Nicolaiewsky', 'Arlete Salles', 'Fernanda Takai']",['Otto Desenhos Animados'],1,['BR'],['pt'],tt2322316,5.8,10
4,2013-12-20,Moshi Monsters: The Movie,1849089,2900000,81,"['Adventure', 'Animation', 'Family', 'Comedy', 'Fantasy']","Katsuma, Poppet, Snoodle, and the other Moshi Monsters must stop evil Doctor Strangeglove and his incompetent sidekick Fishlips from pulverising the recently discovered Great Moshling Egg.",It's a monster of a movie!,"['Wip Vernooij', 'Kim Tae-dong', 'Han Pyo Hong', 'Hong Kyun Park']","['Emma Tate', 'Phillipa Alexander', 'Boris Hiestand', 'Tom Clarke Hill', 'Rajesh David', 'Steve Cleverley', 'Keith Wickham']","['Moshi', 'Spider Eye Productions']",1,['GB'],['en'],tt3280730,6.6,7
5,2006-02-23,손님은 왕이다,10000,80000,104,['Thriller'],"Seemingly good-natured Ahn Chang-Jin owns his very own barbershop in a quiet town. He makes sure to have the place immaculate for customers and even plays classical music for just the right mood. Furthermore, Ahn Chang-Jin is married to the beautiful Jun Yeon-Ok. Life seems great for Ahn Chang-Jin ... that is until Kim Yang-Gil begins patronizing his barbershop.",,['Oh Gi-hyeon'],"['Sung Hyun-ah', 'Lee Sun-kyun', 'Dong Bang-woo', 'Sung Ji-ru', 'Lee Myeong-jin', 'Lee Jae-seok', 'Lee Woo-jin', 'Oh Gi-min']",[],1,[],['ko'],tt0757931,6.1,7
