,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,2002-06-01,Spun,2000000,0,101,"['Comedy', 'Crime', 'Drama']","Over the course of three days Ross, a college dropout addicted to crystal-meth, encounters a variety of oddball folks - including a stripper named Nikki and her boyfriend, the local meth producer, The Cook - but all he really wants to do is hook up with his old girlfriend, Amy.",The ultimate speed freak's tale.,['Jonas Åkerlund'],"['Jason Schwartzman', 'Mickey Rourke', 'Brittany Murphy', 'John Leguizamo', 'Chloe Hunter', 'Patrick Fugit', 'Mena Suvari', 'Eric Roberts', 'Elisa Bocanegra', 'China Chow', 'Nicholas Gonzalez', 'Charlotte Ayanna', 'Josh Peck', 'Debbie Harry', 'Larry Drake', 'Rob Halford', 'Peter Stormare', 'Alexis Arquette', 'Billy Corgan', 'Ron Jeremy', 'Julia Mendoza']","['Muse Productions', 'Brink Films', 'Silver Nitrate', 'Little Magic Films', 'Stone Canyon Entertainment', 'Saggitaire']",1,['US'],['en'],tt0283003,6.546,362,Released
1,2004-02-24,Machuca,1500000,3187700,116,['Drama'],"Santiago, capital of Chile during the Marxist government of elected, highly controversial president Salvador Allende. Father McEnroe supports his leftist views by introducing a program at the prestigious ""collegio"" (Catholic prep school) St. Patrick to allow free admission of some proletarian kids. One of them is Pedro Machuca, slum-raised son of the cleaning lady in Gonzalo Infante's liberal-bourgeois home. Yet the new classmates become buddies, paradoxically protesting together as Gonzalo gets adopted by Pedro's slum family and gang. But the adults spoil that too, not in the least when general Pinochet's coup ousts Allende, and supporters such as McEnroe.",Two boys observe a political coup in their native Chile.,['Andrés Wood'],"['Matías Quer', 'Ariel Mateluna', 'Aline Küppenheim', 'Ernesto Malbrán', 'Federico Luppi', 'Manuela Martelli', 'Tamara Acosta', 'Francisco Reyes', 'Alejandro Trejo', 'Maria Olga Matte', 'Gabriela Medina', 'Luis Dubó', 'Andrea García-Huidobro', 'Tiago Correa', 'Alejandro Goic', 'Pablo Krögh', 'Jack Arama', 'Francisca Imboden', 'Catherine Mazoyer', 'Juan Pablo Miranda', 'Aldo Parodi', 'Eduardo Burlé', 'Jorge Zepeda', 'María Izquierdo', 'Hugo Vásquez', 'Alfredo Ahumada', 'Mauricio Bustos', 'Francisca Concha', 'Lucas Edwards', 'Samuel Guajardo', 'Julio Briceño', 'Pablo Striano', 'Daniel Alcaíno', 'Verónica Moraga']","['Ibermedia', 'TVE', 'Tornasol Films', 'Canal+ España', 'Invercine&Wood']",1,"['CL', 'FR', 'ES', 'GB']","['en', 'es']",tt0378284,7.704,164,Released
2,1992-09-30,Fortress,8000000,6739141,95,"['Action', 'Thriller', 'Science Fiction']","In the future, the inmates of a private underground prison are computer-controlled with cameras, dream readers, and devices that can cause pain or death. John (Christopher Lambert) and his illegally pregnant wife Karen (Loryn Locklin) are locked inside ""The Fortress"" but are determined to escape before the birth of their baby.",Welcome to the future where punishment is the ultimate crime,['Stuart Gordon'],"['Christopher Lambert', 'Kurtwood Smith', 'Loryn Locklin', 'Clifton Collins Jr.', 'Jeffrey Combs', 'Lincoln Kilpatrick', 'Tom Towles', 'Vernon Wells', 'Carolyn Purdy-Gordon', 'Alan Zitner', 'Deni Gordon', 'Eric Briant Wells', 'Dragicia Debert', 'Harry Nurmi', 'Peter Lamb', 'Troy Hunter']","['Village Roadshow Pictures', 'Davis Entertainment', 'Fortress Films']",1,"['AU', 'US']",['en'],tt0106950,6.1,518,Released
3,2003-01-08,Just Married,18000000,101564935,95,"['Comedy', 'Romance']","Tom Leezak and Sarah McNerney fall in love and plan to get married, despite opposition from Sarah's uptight, rich family. When they do get married, and get a chance to prove Sarah's family wrong, they go on a European honeymoon and run into disaster after disaster. They have to decide whether the honeymoon from hell and a few pre-marital mistakes are worth throwing away their love and marriage.",Welcome to the honeymoon from hell.,[],"['Ashton Kutcher', 'Brittany Murphy', 'Christian Kane', 'David Moscow', 'Alex Thomas', 'Valeria Andrews', 'Monet Mazur', 'David Rasche', 'Thad Luckinbill', 'David Agranov', 'Veronica Cartwright', 'Taran Killam', 'Raymond J. Barry', 'Toshi Toda', 'George Gaynes', 'Jill Parker-Jones', 'Clement von Franckenstein', 'Cheryl Dent', 'Summer Moore']","['20th Century Fox', 'Robert Simonds Productions', 'Mediastream Dritte Film GmbH & Co. Beteiligungs KG']",1,"['DE', 'US']","['en', 'it', 'de', 'fr']",tt0305711,5.732,1154,Released
4,1951-07-28,Alice in Wonderland,3000000,572000000,75,"['Animation', 'Family', 'Fantasy', 'Adventure']","On a golden afternoon, young Alice follows a White Rabbit, who disappears down a nearby rabbit hole. Quickly following him, she tumbles into the burrow - and enters the merry, topsy-turvy world of Wonderland! Memorable songs and whimsical escapades highlight Alice's journey, which culminates in a madcap encounter with the Queen of Hearts - and her army of playing cards!",A world of wonders in one great picture!,"['Hamilton Luske', 'Wilfred Jackson']","['Kathryn Beaumont', 'Ed Wynn', 'Richard Haydn', 'Sterling Holloway', 'Jerry Colonna', 'Verna Felton', ""J. Pat O'Malley"", 'Bill Thompson', 'Heather Angel', 'Joseph Kearns', 'Larry Grey', 'Queenie Leonard', 'Dink Trout', 'Doris Lloyd', 'James MacDonald', 'Thurl Ravenscroft', 'Bill Lee', 'Max Smith', 'Bob Hamlin', 'Don Barclay', 'Lucille Bliss', 'Pinto Colvig', 'Tommy Luske', 'Clarence Nash', 'Marni Nixon', 'Norma Zimmer']",['Walt Disney Productions'],1,['US'],['en'],tt0043274,7.188,5101,Released
5,2002-08-23,Lilja 4-Ever,4600000,1007747,109,"['Crime', 'Drama']","Lilja lives in poverty and dreams of a better life. Her mother moves to the United States and abandons her to her aunt, who neglects her. Lilja hangs out with her friends, Natasha and Volodya, who is suicidal. Desperate for money, she starts working as a prostitute, and later meets Andrei. He offers her a good job in Sweden, but when Lilja arrives her life quickly enters a downward spiral.",,['Lukas Moodysson'],"['Oksana Akinshina', 'Artyom Bogucharsky', 'Lyubov Agapova', 'Liliya Shinkaryova', 'Elina Benenson', 'Pavel Ponomaryov', 'Tomasz Neuman', 'Anastasiya Bedredinova', 'Tõnu Kark', 'Nikolai Bentsler', 'Aleksander Dorosjkevitch', 'Yevgeni Gurov', 'Aleksandr Sokolenko', 'Margo Kostelina', 'Veronika Kovtun', 'Elena Yakovlena', 'Tamara Solodnikova', 'Nikolai Kütt', 'Oleg Rogatchov', 'Aleksandr Okunev', 'Herardo Contreras', 'Madis Kalmet', 'Bo Christer Hjelte', 'Sten Erici', 'Hermie Acereda', 'Gert Bondesson', 'Anders Brinning', 'Johan Edlund', 'Henryk Gwiazada', 'Rickard Mattila', 'Michael Merikan', 'Jeff Norman', 'Truls Rosén', 'Jacob Ryer', 'Farhad Sina', 'Johan Åkerblom']","['Zentropa Entertainments', 'Det Danske Filminstitut', 'Memfis Film', 'Svenska Filminstitutet', 'Film i Väst', 'SVT', 'Nordisk Film & TV Fond']",1,"['DK', 'SE']","['ru', 'sv', 'en']",tt0300140,7.6,430,Released
6,2006-09-22,Jackass Number Two,11000000,72778712,92,"['Action', 'Comedy', 'Documentary']","Jackass Number Two is a compilation of various stunts, pranks and skits, and essentially has no plot. Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",Guess who just made number two?,[],"['Johnny Knoxville', 'Bam Margera', 'Steve-O', 'Chris Pontius', 'Ryan Dunn', 'Jason Acuña', 'Preston Lacy', 'Dave England', 'Ehren McGhehey', 'Phil Margera', 'April Margera', 'Jess Margera', 'Brandon DiCamillo', 'Mat Hoffman', 'Tony Hawk', 'Mark Zupan', 'Jeff Tremaine', 'Brandon Novak', 'Loomis Fall', 'Dimitry Elyashkevich', 'Sean Cliver', 'Trip Taylor', 'Greg Iguchi', 'Rick Kosick', 'Manny Puig', 'Mike Kassak', 'Stephanie Hodge', 'Jack Polick', 'Clyde Singleton', 'Jason Taylor', 'Patty Perez', 'Thor Drake', 'Jim Karol', 'Slater Davis', 'Seamus Frawley', 'Scott Manning', 'Juicy J', 'Project Pat', 'Roger Alan Wade', 'Willie Garson', 'Luke Wilson', 'Mike Judge', 'Rip Taylor', 'Ville Valo', 'Lisa Arturo', 'Katherine Bailess', 'Terry Beeman', 'John R. Corella', 'Chad Doreck', 'Samuel Givens', 'Brianna Haynes', 'Scott Hislop', 'J.T. Horenstein', 'Jennifer D. Johnson', 'Jennifer Lee Keyes', 'Keith Kuhl', 'Jason Landau', 'Rebecca Lin', 'Anthony Marciona', 'Marcy McCusker', 'Mark Meismer', 'Krista Miller', 'Elizabeth Myers', 'Paige Peterson', 'Tracy Phillips', 'Matt Sergott', 'Matthew Shaffer', 'Kelleia Sheerin', 'Kevin Stea', 'Dollar Tan', 'Salvatore Vassallo', 'Kenny Wormald']","['Paramount', 'MTV Films', 'Dickhouse Productions', 'Lynch Siderow Productions']",2,['US'],['en'],tt0493430,6.478,926,Released
7,1999-03-16,From Dusk Till Dawn 2: Texas Blood Money,5000000,0,88,"['Crime', 'Action', 'Horror', 'Thriller']","A gang of bank-robbing misfits heads to Mexico with the blueprints for the perfect million-dollar heist, but when one of the crooks wanders into the wrong bar... and crosses the wrong vampire... the thieving cohorts develop a thirst for blood!",,[],"['Robert Patrick', 'Duane Whitaker', 'Bo Hopkins', 'Muse Watson', 'Brett Harrelson', 'Raymond Cruz', 'Danny Trejo', 'James Parks', 'Tiffani Thiessen', 'Bruce Campbell', 'Stacie Randall', 'Scott Spiegel', 'Joe Virzi', 'Maria Checa', 'Terry Norton', 'Lara Bye', 'Kevin Smith', 'Liane Coyler', 'James Ryan', 'Shaun Arnolds', 'Lanon Prigge', 'Eddie Fiola', 'Timothy Patrick Quill', 'Joel Jordan', 'Yoyo', 'Tania Kline', 'Wayne du Rand']","['A Band Apart', 'Dimension Films', 'Los Hooligans Productions']",3,['US'],"['en', 'es']",tt0120860,4.538,354,Released
8,2006-02-10,The Pink Panther,65000000,158851357,93,"['Comedy', 'Mystery', 'Crime', 'Adventure', 'Action']","When the coach of the France soccer team is killed by a poisoned dart in the stadium in the end of a game, and his expensive and huge ring with the diamond Pink Panther disappears, the ambitious Chief Inspector Dreyfus assigns the worst police inspector Jacques Clouseau to the case.",Pardon His French.,[],"['Steve Martin', 'Jean Reno', 'Kevin Kline', 'Beyoncé', 'Emily Mortimer', 'Henry Czerny', 'Kristin Chenoweth', 'Roger Rees', 'Philip Goodwin', 'Henri Garcin', 'William Abadie', 'Daniel Sauli', 'Jean Dell', 'Anna Katarina', 'Nick Toren', 'Sally Leung Bayer', 'Charlotte Maier', 'Stéphane Boucher', 'Radu Spinghel', 'Scott Adkins', 'Yan-Sang Roussel', 'Boris McGiver', 'Stephen Rowe', 'Alice Taglioni', 'Gregory Salata', 'Stefan Elbaum', 'Charley Fouquet', 'Robbie Nock', 'Chuck Jeffreys', 'Andrew Tarbet', 'Dexter Bell', 'Kristi Angus', 'Stephen Park', 'Aaron Pearl', 'Sean Tyson', 'Chelah Horsdal', 'Lucas Tavernier', 'Mareva Galanter', 'Delphine Chanéac', 'Ralph Drischell', 'Chad Gabriel', 'Antoine Blanquefort', 'Yvonne Sciò', 'Rick Jaeckel', 'Za Kari A. Asher', 'Renece Fincher', 'Stewart Castledine', 'Davide Borella', 'Jason Statham', 'Clive Owen', 'Michael Arthur', 'Lorna Joan Barrie', 'Dominick Cicco', 'Amir Darvish', 'Thomas Ho', 'Arnaud Klein', 'Jacqueline Lovell', 'Tyson Mao', 'Chris T. Margaritis', 'Susan McBrien', 'John Molinelli', 'Eric Moreau', 'Aleksandrs Petukhovs', 'Americo Presciutti', 'Alexander von Roon', 'Kevin Watson', 'Colleen Werthmann', 'Jadin Wong', 'Marc Yarrish']","['Columbia Pictures', 'Metro-Goldwyn-Mayer', '20th Century Fox', 'Robert Simonds Productions']",1,"['CZ', 'US']",['en'],tt0383216,5.843,1652,Released
9,1969-05-09,Pippi Långstrump,320000,0,100,"['Adventure', 'Family']","Pippi Longstocking, a super-strong redheaded little girl, moves into her father's cottage Villa Villekulla, and has adventures with her next-door neighbors Tommy and Annika in this compilation film of the classic Swedish TV series. This was followed by Pippi Goes on Board.",The most famous children's book of the last decade - Now a motion picture!,['Olle Hellbom'],"['Inger Nilsson', 'Pär Sundberg', 'Maria Persson', 'Margot Trooger', 'Hans Clarin', 'Paul Esser', 'Ulf G. Johnsson', 'Göthe Grefbo', 'Beppe Wolgers', 'Fredrik Ohlsson', 'Öllegård Wellton', 'Staffan Hallerstam', 'Lissi Alandh', 'Meta Velander', 'Siv Ericks']","['Beta Film', 'SF Studios', 'KB Nord Art AB & Co.']",4,"['DE', 'SE']","['sv', 'de']",tt0366905,6.812,109,Released
