,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,2009-03-25,Kenny Begins,5729000,1220709,88,"['Action', 'Comedy', 'Science Fiction']","Kenny Starfighter is probably the most hopeless student the Hero academics of the galaxy has ever had. But in his desperate attempt in graduating he accidentally crashes on earth and discovers Pontus, an earthling who accidentally stumbled upon an intergalactic crystal which gave him inhuman strength. Now Kenny must save Pontus from Rutger Oversmart who wants the powers from the crystal for himself and Pontus must save Kennys faith from failing school and ending up as a hairdresser.",,['Carl Åstrand'],"['Johan Rheborg', 'Carla Abrahamsen', 'Bill Skarsgård', 'Jan Mybrand', 'Brasse Brännström', 'Björn Gustafsson', 'Cecilia Frode', 'Per Svensson', 'Josephine Bornebusch', 'Kalle Moraeus', 'Pernilla August', 'Sissela Kyle', 'Johan Glans', 'Per Ragnar', 'Hayes Jemide', 'Rosie Anderberg', 'Yan Kai Yu']","['Nordisk Film', 'SVT', 'Fladen Film', 'Film i Skåne', 'Filmgate Films', 'Ihrevik', 'Lunatic Speed', 'Seat 13']",1,['SE'],['sv'],tt1278180,6.0,20,Released
1,1980-02-11,Москва слезам не верит,900000,2500000,142,"['Drama', 'Comedy', 'Romance']","This is a life story of three girlfriends from youth to autumn ages. Their dreams and wishes, love, disillusions...","The Funniest, Tenderest Love Story of the Year.",[],"['Vera Alentova', 'Aleksey Batalov', 'Irina Muravyova', 'Aleksandr Fatyushin', 'Raisa Ryazanova', 'Boris Smorchkov', 'Yuri Vasilyev', 'Natalya Vavilova', 'Oleg Tabakov', 'Yevgeniya Khanayeva', 'Valentina Ushakova', 'Viktor Uralsky', 'Zoya Fyodorova', 'Liya Akhedzhakova', 'Tatyana Konyukhova', 'Innokentiy Smoktunovskiy', 'Georgiy Yumatov', 'Leonid Kharitonov', 'Pavel Rudakov', 'Veniamin Nechaev', 'Vladimir Basov', 'Irina Berezina', 'Larisa Barabanova', 'Mikhail Bocharov', 'Inna Vykhodtseva', 'Elena Volskaya', 'Vladimir Gusev', 'Larisa Danilina', 'Aleksandra Denisova', 'Aleksandra Danilova', 'Galina Dobrovolskaya', 'Aleksandr Zhiltsov', 'Tatyana Zhukova-Kirtbaya', 'Mikhail Zimin', 'Ivetta Kiselyova', 'Muza Krepkogorskaya', 'Yuriy Koblov', 'Nikolai Kuznetsov', 'Lyubov Kalyuzhnaya', 'Viktor Lazarev', 'Vladislav Matveyev', 'Viktor Neznanov', 'Eduard Ozeryanskiy', 'Dmitri Popov', 'Vladlen Paulus', 'Yuriy Perov', 'Lyudmila Stoyanova', 'Natalia Sanko', 'Alfred Solyanov', 'Nina Savishcheva', 'Anatoli Chebotaryov', 'Taysiya Shutova', 'Gennadiy Yalovich', 'Boris Andreyev', 'Andrei Voznesenskiy', 'Aleksei Drozdov', 'Yuriy Zayev', 'Mikhail Kalinkin', 'Roman Kopeykin', 'Vladimir Menshov', 'Aleksandr Novikov', 'Aleksandr Petrov', 'Yuriy Potyomkin', 'Aleksandr Pyatkov', 'Raisa Sazonova', 'Galina Samokhina', 'Igor Surovtsev', 'Vladislav Serdyuk', 'Nikolay Styrov', 'Ivan Turchenkov', 'Vladimir Firsov', 'Aleksey Shubin', 'Mikhail Shubin', 'Andrey Kartashov', 'Tatyana Nikitina']","['Mosfilm', 'Vtoroe Tvorcheskoe Obedinenie']",1,['SU'],['ru'],tt0079579,7.796,179,Released
2,1995-12-22,Balto,31000000,11348324,78,"['Family', 'Animation', 'Adventure']","An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Part Dog. Part Wolf. All Hero.,['Simon Wells'],"['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins', 'Juliette Brewer', 'Jack Angel', 'Danny Mann', 'Robbie Rist', 'Sandra Dickinson', 'Frank Welker', 'Miriam Margolyes', 'Lola Bates-Campbell']","['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",1,['US'],['en'],tt0112453,7.292,1761,Released
3,2009-04-27,Beautiful,1500000,56000,97,"['Drama', 'Mystery', 'Thriller']","After another teenager disappears from the idyllic suburb of Sunshine Hills, Suzy, the girl-next-door of every boy's dreams, persuades Daniel, a fourteen-year-old with an obsessive crush, to help her uncover the truth.",Get me some secrets,[],"['Tahyna MacManus', 'Deborra-Lee Furness', 'Peta Wilson', 'Aaron Jeffery', 'Asher Keddie', 'Erik Thomson', 'Sebastian Gregory', 'Socratis Otto', 'Rebekah Rimington', 'Adam Schmerl', 'Alex Williamson', 'Ambrae Jamae', 'Brenden Dodds']",['Kojo Pictures'],1,['AU'],['en'],tt1170391,5.0,41,Released
4,2003-03-16,Levity,7500000,723000,100,"['Crime', 'Drama']","Manuel Jordan is a man who is free after serving 23 years for killing a teenager during an attempted robbery. After nearly two decades of staring at his victim's face on a newspaper clipping in his cell, the newly paroled man seeks redemption. Instead, redemption—in the form of a mysterious minister and two needy women— finds him.",How you gonna make it right?,[],"['Billy Bob Thornton', 'Morgan Freeman', 'Holly Hunter', 'Kirsten Dunst', 'Manuel Aranguiz', 'Geoffrey Wigdor', 'Luke Robertson', 'Dorian Harewood', 'Catherine Colvey', 'Billoah Greene', 'Sadiki Burke', 'Abede Burke', 'Diego Abella', 'Brent Rogers', 'Cordell Clyde', 'Fabio Lopez', 'Gillian Ferrabee', 'Vlasta Vrana', 'Sheena Larkin', 'Greg Shamie', 'Didier Lucien', 'Tim Post', 'Danny Blanco Hall', 'Tyler Hynes', 'Ajay Fry', 'James A. Woods', 'Omar Falcon', 'Tony Calabretta', 'Christian Tessier', 'Kerwin Jackson', 'Jennifer Rae Westley', 'Brigid Tierney', 'Tod Fennell', 'Philip LeMaistre', 'Lucinda Davis', 'Jane McLean', 'Brett Watson']","['StudioCanal', 'FilmColony', 'Echo Lake Entertainment']",1,"['FR', 'US']",['en'],tt0304328,6.2,80,Released
5,2006-10-27,Death of a President,2000000,167000,97,"['Documentary', 'Drama', 'Science Fiction']","A fictional investigative documentary looks back on the ""assassination"" of George W. Bush and attempts to answer the question of who committed the murder. Perhaps less morbid and disturbing to watch now than during Bush's presidency, the film doesn't address Bush's policies at all, instead focusing on the way a nation assigns blame in a time of crisis.",,['Gabriel Range'],"['Hend Ayoub', 'Becky Ann Baker', 'Brian Boland', 'Michael Reilly Burke', 'Patricia Buckley', 'Seena Ghaznavi', 'Robert Mangiardi', 'Neko Parham', 'Jay Patterson', 'Chavez Ravine', 'Christian Stolte', 'James Urbaniak', 'Jay Whittaker', 'Patrick Clear', 'George W. Bush', 'Kim Jong-il', 'Eric Bays']","['Borough Films', 'Film4 Productions']",1,['GB'],['en'],tt0853096,5.655,58,Released
6,2004-06-18,लक्ष्य,4500000,4600000,186,"['War', 'Action', 'Drama', 'Romance']","An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",It Took Him 24 years And 18000 Feet To Find Himself,[],"['Hrithik Roshan', 'Preity Zinta', 'Amitabh Bachchan', 'Sushant Singh', 'Om Puri', 'Raj Zutshi', 'Boman Irani', 'Ranvir Shorey', 'Parmeet Sethi', 'Lillete Dubey', 'Abir Goswami', 'Kushal Punjabi', 'Abhimanyu Singh', 'Amrish Puri', 'Surendra Pal', 'Vipul Gupta', 'Nawab Shah', 'Arav Chowdhary', 'Aditya Srivastava', 'Amit Behl', 'M. K. Raina']","['UTV Motion Pictures', 'Excel Entertainment']",1,['IN'],"['en', 'hi']",tt0323013,6.612,76,Released
7,2007-07-19,Lucky Miles,2600000,568864,105,"['Drama', 'Comedy']","It's 1990 and an Indonesian fishing boat abandons Iraqi and Cambodian refugees in a remote part of the Western Australia. Although most are quickly caught by officials, three men with nothing in common but their misfortune and determination to escape arrest, begin an epic journey into the heart of Australia.",,[],"['Kenneth Moraleda', 'Rodney Afif', 'Sri Sacdpraseuth', 'Don Hany', 'Glen Shea', 'Sawung Jabo', 'Arif Hidayat', 'Deborah Mailman', 'Geoff Morrell', 'Rithy Dourng']",[],1,['AU'],"['ar', 'fr', 'km', 'id', 'en']",tt0452644,5.6,8,Released
8,1988-08-05,Vibes,1884000,1883811,99,"['Romance', 'Action', 'Comedy']","Medium Sylvia Pickel and psychometrist Nick Deezy meet at a psychic research facility in New York. Not long after, they're contacted by Harry Buscafusco, who offers them $50,000 to find his lost son in South America, in the heart of Incan territory where they discover an ancient mystical secret, and each other.",The psychic comedy that's out of its mind.,['Ken Kwapis'],"['Jeff Goldblum', 'Cyndi Lauper', 'Peter Falk', 'Googy Gress', 'Darryl Henriques', 'Ramon Bieri', 'Michael Lerner', 'Hercules Vilchez', 'Jerry Vichi', 'Leo V. Finnie III', 'Ray Stoddard', 'Harvey J. Goldenberg', 'Tom Henschel', 'Susan Bugg', 'Rodney Kageyama', 'Steve Buscemi', 'Joseph V. Perry', 'Park Overall', 'Julian Sands', 'Max Perlich', 'John Kapelos', 'Bruce MacVittie', 'Don Bexley', 'Bill McCutcheon', 'Jennifer Balgobin', 'Karen Akers', 'Fernando Verdugo', 'Ronald G. Joseph', 'Aharon Ipalé', 'Elizabeth Peña', 'Robert Covarrubias', 'Elvira De Val', 'Ronald Paul Ramirez']","['Columbia Pictures', 'Imagine Entertainment']",1,['US'],['en'],tt0096378,5.837,52,Released
9,2004-06-23,Saint Ange,320000,6782283,98,"['Horror', 'Mystery']","In 1958, in the French Alp, the young servant Anna Jurin arrives in Saint Ange Orphanage to work with Helena while the orphans moved to new families. Anna, who is secretly pregnant, meets the last orphan, Judith, left behind because of her mental problems, and they become closer when Anna find that Judith also hear voices and footsteps of children.",,[],"['Virginie Ledoyen', 'Lou Doillon', 'Catriona MacColl', 'Dorina Lazăr', 'Virginie Darmon', 'Jérôme Soufflet', 'Marie Herry', 'Eric Prat']","['France 3 Cinéma', 'Eskwad', 'Castel Film']",1,"['FR', 'RO']","['fr', 'en']",tt0367000,5.97,149,Released
