,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,1992-12-25,Trespass,14000000,13249535,101,"['Action', 'Crime', 'Thriller']","Two Arkansas firemen, Vince and Don, get hold of a map that leads to a cache of stolen gold in an abandoned factory in East St. Louis. What they don't know is that the factory is in the turf of a local gang, who come by to execute one of their enemies. Vince sees the shooting, the gang spots Vince, and extended mayhem ensues. As Vince and Don try to escape, gang leader King James argues with his subordinate Savon about how to get rid of the trespassers.",They all came to the wrong place at the wrong time.,['Walter Hill'],"['Bill Paxton', 'Ice-T', 'William Sadler', 'Ice Cube', 'Art Evans', ""De'voreaux White"", 'Bruce A. Young', 'Glenn Plummer', 'Stoney Jackson', 'T.E. Russell', ""Tom 'Tiny' Lister Jr."", 'John Toles-Bey', 'Byron Minns', 'Tico Wells', 'Hal Landon Jr.', 'James Pickens Jr.', 'L. Warren Young']",['Universal Pictures'],1,['US'],['en'],tt0105636,6.3,142,Released
1,1960-07-07,Elmer Gantry,3000000,10400000,146,['Drama'],"When hedonistic but charming con man Elmer Gantry meets the beautiful Sister Sharon Falconer, a roadside revivalist, he feigns piousness to join her act as a passionate preacher. The two make a successful onstage pair, and their chemistry extends to romance. Both the show and their relationship are threatened, however, when one of Gantry's ex-lovers decides that she has a score to settle with the charismatic performer.",If there was a dollar to be made—Gantry would make it … If there was a soul to be saved—Gantry would save it …,[],"['Burt Lancaster', 'Jean Simmons', 'Arthur Kennedy', 'Dean Jagger', 'Shirley Jones', 'Patti Page', 'Edward Andrews', 'John McIntire', 'Hugh Marlowe', 'Joe Maross', 'Philip Ober', 'Barry Kelley', 'Wendell Holmes', 'Dayton Lummis', 'Colin Kenny', ""William H. O'Brien"", 'Bert Stevens', 'John Qualen', 'Rex Ingram', 'Sally Fraser']",['United Artists'],1,['US'],['en'],tt0053793,7.322,121,Released
2,2006-05-18,The Marsh,9000000,2429573,92,"['Horror', 'Thriller', 'Mystery']",Writer Claire Holloway is troubled by nightmares of Rose Marsh Farm. She decides to vacation at the farm which unbeknown to her is haunted by the ghost of a little girl and a teenage boy. Claire enlists the help of Geoffry Hunt to help uncover a decade old tragedy.,You can bury the past... but sometimes the past won't stay buried.,[],"['Gabrielle Anwar', 'Louis Ferreira', 'Forest Whitaker', 'Peter MacNeill', 'Niamh Wilson', 'Joe Dinicol', 'Brooke Johnson', 'Jessica Greco', 'Kenner Ames', 'Ryan Giesen', 'Jonathan Payne', 'Bill MacDonald', 'William Cuddy', 'Courtney Fitzpatrick']",['Marshville Productions'],1,['CA'],['en'],tt0496350,4.965,51,Released
3,1994-09-28,Jason's Lyric,7000000,20851521,119,"['Crime', 'Drama', 'Romance']",The story of a young man who must confront his own fears about love as well as his relationships with family and friends.,Love is courage.,['Doug McHenry'],"['Allen Payne', 'Jada Pinkett Smith', 'Bokeem Woodbine', 'Eddie Griffin', 'Suzzanne Douglas', 'Lisa Nicole Carson', 'Lahmard J. Tate', 'Forest Whitaker', ""Sandra 'Pepa' Denton"", ""Anthony 'Treach' Criss"", 'Bebe Drake']",['PolyGram Filmed Entertainment'],1,['US'],['en'],tt0110186,6.621,33,Released
4,1997-08-27,Hoodlum,30000000,23461013,130,"['Crime', 'Drama']","In 1934, the second most lucrative business in New York City was running 'the numbers'. When Madam Queen—the powerful woman who runs the scam in Harlem—is arrested, Ellsworth 'Bumpy' Johnson takes over the business and must resist an invasion from a merciless mobster.",Power is measured in enemies.,[],"['Laurence Fishburne', 'Tim Roth', 'Vanessa Williams', 'Andy García', 'Cicely Tyson', 'Chi McBride', 'Clarence Williams III', 'Richard Bradford', 'William Atherton', 'Loretta Devine', 'Queen Latifah', 'Mike Starr', 'Beau Starr', 'Paul Benjamin', 'Joe Guzaldo', ""Ed O'Ross""]",['United Artists'],1,['US'],['en'],tt0119311,6.373,146,Released
5,2009-09-06,Capitalism: A Love Story,20000000,17436509,128,['Documentary'],"Michael Moore comes home to the issue he's been examining throughout his career: the disastrous impact of corporate dominance on the everyday lives of Americans (and by default, the rest of the world).","Ask not what your CEO can do for you, but what you can do for your CEO",['Michael Moore'],"['Elijah Cummings', 'Marcy Kaptur', 'Bernie Sanders', 'Elizabeth Warren', 'Thora Birch', 'Baron Hill', 'Wallace Shawn', 'Peter Zalewski', 'Bill Clinton', 'Paul Ryan', 'Joe Biden', 'Michael Bloomberg', 'Ruth Bader Ginsburg', 'Martin Luther King Jr.', 'Barack Obama', 'Nancy Pelosi', 'Joseph Stalin', 'Stephen Breyer', ""Sandra Day O'Connor"", 'Antonin Scalia', 'Clarence Thomas', 'William Black', 'Ronald Reagan']","['The Weinstein Company', 'Paramount Vantage', 'Overture Films', 'Dog Eat Dog Films']",1,['US'],['en'],tt1232207,7.142,453,Released
6,1975-08-11,Hard Times,2700000,5000000,93,['Drama'],"In the depression, Chaney, a strong silent streetfighter, joins with Speed, a promoter of no-holds-barred street boxing bouts. They go to New Orleans where Speed borrows money to set up fights for Chaney, but Speed gambles away any winnings.","New Orleans, 1933. In those days words didn't say much.",['Walter Hill'],"['Charles Bronson', 'James Coburn', 'Jill Ireland', 'Strother Martin', 'Margaret Blye', 'Michael McGuire', 'Felice Orlandi', 'Edward Walsh', 'Bruce Glover', 'Robert Tessier', 'Nick Dimitri', 'Frank McRae', 'Maurice Kowalewski', 'Naomi Stevens', 'Lyla Hay Owen', 'John Creamer', 'Robert Castleberry', 'Becky Allen', 'Joan Kleven', 'Anne Welsch', 'Chuck Hicks', 'Max Kleven', 'Valerian Smith', 'Bob Minor', 'Larry Martindale', 'Charles W. Schaefer Jr.', 'Leslie Bonano', 'Ronnie Philips', 'Ron Centanni', 'M.C. Gainey', 'Brion James', 'Laura Misch Owens']","['Columbia Pictures', 'Major Studio Partners', 'Claridge Productions']",1,['US'],['en'],tt0073092,6.718,156,Released
7,1990-12-11,Havana,40000000,9243140,144,"['Drama', 'Romance']","An American professional gambler named Jack Weil decides to visit Havana, Cuba to gamble. On the boat to Havana, he meets Roberta Duran, the wife of a revolutionary, Arturo. Shortly after their arrival, Arturo is taken away by the secret police, and Roberta is captured and tortured. Jack frees her, but she continues to support the revolution.",A gambler who trusted no one. A woman who risked everything. And a passion that brought them together in the most dangerous city in the world.,['Sydney Pollack'],"['Robert Redford', 'Lena Olin', 'Alan Arkin', 'Tomas Milian', 'Daniel Davis', 'Tony Plana', 'Richard Farnsworth', 'Richard Portnow', 'Dion Anderson', 'Betsy Brantley', 'Lise Cutter', 'Vasek Simek', 'Fred Asparagus', 'Raul Julia', 'René Monclova', 'Dennis Farina', 'Darlene Wynn', 'Tera Hendrickson']","['Universal Pictures', 'Mirage Films']",1,['US'],"['es', 'en']",tt0099747,5.811,119,Released
8,1993-04-16,Boiling Point,9000000,10058318,92,"['Drama', 'Action', 'Crime', 'Thriller']","Red is an aging scam-artist who's just been released from prison together with Ronnie, a young and not-so-bright hoodlum who is easily manipulated. Their new business is to organize fake-money sales and then kill the buyer to take his money; but when Ronnie kills an undercover secret service agent, his partner Jimmy Mercer vows revenge and is given one week to catch the killers before being transferred. Written by Giancarlo Cairella",He's a cop who reached the Boiling Point,[],"['Wesley Snipes', 'Dennis Hopper', 'Lolita Davidovich', 'Viggo Mortensen', 'Seymour Cassel', 'Jonathan Banks', 'Christine Elise', 'Tony Lo Bianco', 'Valerie Perrine', 'James Tolkan', 'Paul Gleason', 'Lorraine Evanoff', 'Stephanie Williams', 'Tobin Bell', 'Bobby Hosea', 'Dan Hedaya', 'George Gerdes', 'James Pickens Jr.', 'Keith Leon Williams', 'Rick Dean', 'John Petievich', 'Mark Phelan', 'Nancy Sullivan', 'John Lander', 'Lisa Kaseman', 'Janet May']","['Warner Bros. Pictures', 'StudioCanal']",1,['US'],['en'],tt0106455,5.0,88,Released
9,2009-04-08,Chéri,23000000,9368242,86,"['Drama', 'Comedy', 'Romance']","A sumptuous dramatic comedy set in late 19th Century France, during the Belle Epoque, a period of social and cultural excess in European upper classes which ended only as the First World War erupted.",,['Stephen Frears'],"['Michelle Pfeiffer', 'Kathy Bates', 'Rupert Friend', 'Felicity Jones', 'Iben Hjejle', 'Frances Tomelty', 'Tom Burke', 'Hubert Tellegen', 'Joe Sheridan', 'Toby Kebbell', 'Alain Churin', 'Bette Bourne', 'Nichola McAuliffe', 'Gaye Brown', 'Natasha Cashman', 'Rollo Weeks', 'Anita Pallenberg', 'Harriet Walter']","['Miramax', 'Canal+', 'CNC', 'Filmstiftung Nordrhein-Westfalen', 'France 3 Cinéma', 'Pathé Renn Productions', 'UK Film Council', 'Aramid Entertainment Fund', 'Bill Kenwright Films', 'Pathé', 'La Région Île-de-France', 'National Lottery through UK Film Council', 'Cine Productions', 'MMC Studios', 'Tiggy Films', 'Banque Populaire Images 9', 'Cheri Productions', 'Erste MMC-Production', 'Deutscher Filmförderfonds']",1,"['FR', 'DE', 'GB']","['en', 'fr', 'it', 'la']",tt1179258,6.097,176,Released
