,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,1999-11-28,Tumbleweeds,312000,1281176,102,"['Comedy', 'Drama']","Whenever trouble strikes in one of her relationships, single mother Mary Jo Walker and her daughter, Ava, pack up and move to another city, a routine Ava is tiring of. This time, they are helped on their move to San Diego by trucker Jack Ranson. While Ava settles in, getting a leading part in the school play, Jack starts dating Mary Jo but soon reveals himself to be controlling and aggressive. Mary Jo prepares to flee again, angering Ava.",They ran away from everything but each other.,"[""Gavin O'Connor""]","['Janet McTeer', 'Kimberly J. Brown', 'Jay O. Sanders', 'Laurel Holloman', 'Lois Smith', 'Michael J. Pollard', 'Ashley Buccille', 'Cody McMains', 'Linda Porter', 'Brian Tahash', 'Joshua Carmichael', 'Dennis Ford', 'Sara Downing', 'Joel Polis', 'Christian Payne', 'Harry Gradzhyan', 'Kelly Rodgers', 'Stephanie Zajac', 'Jennifer Paige', 'Lisa Jane Persky', 'Noah Emmerich', 'Sabra Malkinson']",['Fine Line Features'],1,['US'],['en'],tt0161023,6.486,37,Released
1,1943-04-09,Edge of Darkness,1653000,3669000,119,"['Drama', 'War']","The film pivots around the local Norwegian doctor and his family. The doctor's wife (Ruth Gordon) wants to hold on to the pretence of gracious living and ignore their German occupiers. The doctor, Martin Stensgard (Walter Huston), would also prefer to stay neutral, but is torn. His brother-in-law, the wealthy owner of the local fish cannery, collaborates with the Nazis. The doctor's daughter, Karen (Ann Sheridan), is involved with the resistance and with its leader Gunnar Brogge (Errol Flynn). The doctor's son has just returned to town, having been sent down from the university, and is soon influenced by his Nazi-sympathizer uncle. Captain Koenig (Helmut Dantine), the young German commandant of the occupying garrison, whose fanatic determination to do everything by the book and spoutings about the invincibility of the Reich hides a growing fear of a local uprising.",Resistance fighters battle the Nazis in occupied Norway,['Lewis Milestone'],"['Errol Flynn', 'Ann Sheridan', 'Walter Huston', 'Nancy Coleman', 'Helmut Dantine', 'Judith Anderson', 'Ruth Gordon', 'John Beal', 'Morris Carnovsky', 'Charles Dingle', 'Roman Bohnen', 'Richard Fraser', 'Art Smith', 'Louis V. Arco', 'Monte Blue', 'Henry Brandon', 'Nora Bush', 'Glen Cavender', 'Albert Cavens', 'Noble Chissell', 'Virginia Christine', 'Tom Coleman', 'Victor Cox', 'William Edmunds', 'Tom Fadden', 'Frederick Giermann', 'Kit Guard', 'Al Haskell', 'Kurt Katch', 'Kenner G. Kemp', 'Kurt Kreuger', 'Ann Kunde', 'Walt La Rue', 'Rolf Lindau', 'Dudley Field Malone', 'Torben Meyer', 'Peter Michael', 'Robert Milasch', 'Ernesto Molinari', 'Francis Pierlot', ""Harry 'Snub' Pollard"", 'John Rice', 'Henry Rowland', 'John Roy', 'Tonio Selwart', 'Allen D. Sewall', 'Carl Sklover', 'Cap Somers', 'Ray Spiker', 'William Sundholm', 'Helene Thimig', 'Dorothy Tree', 'Peter van Eyck', 'Roland Varno', 'Hans Heinrich von Twardowski', 'Frank Wilcox', 'Lottie Williams', 'William Yetter Sr.', 'Jack Young']",['Warner Bros. Pictures'],1,['US'],['en'],tt0034694,6.2,25,Released
2,2006-03-17,Church Ball,1000000,464991,91,['Comedy'],"Dennis Buckstead has the hardest calling in his church. Not only has he been asked to coach a group of non-basketball players in his church but the bishop has demanded that he lead the team to the Basketball Championship. Word from the top is that this is the last season of church ball and Bishop Linderman isn't about to have his team lose for the 20th year in a row in the last season of church ball history! What was supposed to strengthen the body, invigorate the mind and cultivate brotherly love seems to bring out the worst in these church-going ball players. Dennis must find a way to bring his team together and build unity along the way to win the championship or go down in church ball history as the worst team that ever played.",Dennis Buckstead has the hardest calling in his church.,['Kurt Hale'],"['Andrew Wilson', 'Fred Willard', 'Clint Howard', 'Gary Coleman', 'Amy Stewart', 'Ross Brockley', 'Chad Long', 'Stan Ellsworth', 'Steven Wayne Anderson', 'Sina Amedson', 'Curt Doussett', 'Larry Bagby', 'Thurl Bailey', 'Mindy B. Young', 'Dillan Conrad', 'Hilary Hughes', 'Melanie Harding', 'Catherine Shumway', 'Keri Hatfield', 'Bita Adabkhah', 'Dale Critchlow', 'Rodney Hundley', 'Mark Eaton', 'Michael Birkeland', 'Jimmy Chunga', 'Travis Eberhard', 'Brooke Kalama', 'Kareem Abdul-Jabbar', 'Kevin Whimpy', 'Kyle Whimpy', 'Johnny Biscuit', 'David Nibley', 'Joe Wilson', 'Sue Rowe', 'Carrie Bowers', 'Cathy Madsen', ""Dan 'Sqwiggs' Jaster"", 'Pete May', 'Jeff Olson', 'Larry H. Miller', 'Rachel Good', 'Riley Terry', 'Dave Hanson', 'Travis Welch', 'Chandler Smith', 'Kandi James', 'Kala Alexander', 'Johnie Tolman', 'Aaron Shobar', 'Matt Hale', 'Vern Cottrell', 'Maclain Nelson', 'Tim Whitaker', 'Alex Frazier', 'Spencer Greer', 'Parker Wright', 'Patrick Lyons', 'David Ojuka', 'Zach Frazier', 'Larry Schlappi', 'Peter Pilling', 'Tyler Schlappi', 'David Wayne Callahan', 'David Rodee', 'Bill Poppin', 'Karl Riding', 'Jared Parrish', 'Ben Peterson', 'Kip Fowler', 'Mark Madsen', 'Big Budah', 'Sekoa Aiono', 'Manoa Benjamin', 'Michael Faasou', 'Rudy Aiono', 'Spencer Pei', 'Nuuli Brown', 'Edward Gasu', 'Peleti A. Pulu', 'Joseph Morgan', 'Howard Tapusoa', 'Sione Fehoko', 'Richard Rowley', 'Ray Purcell', 'Tom Farnsworth', 'Denny Barney', 'Brad Plowman', 'Del Tanner', 'Brad Arnett', 'Scott Simas', 'Dave Pothier', 'Brian Mason', 'Mike Schlappi', 'Casey Scott', 'Mike Mecham', 'Bernie Diamond', 'Ricky Carter', 'Jonny Craddock', 'Amber Hawkins', 'Jacob Stayner', 'Justin Thornson', 'Tyler Workman', 'Brad Call']",['Halestorm Entertainment'],1,['US'],['en'],tt0457303,3.8,4,Released
3,2011-01-20,新少林寺,29000000,33662874,131,"['Action', 'Drama']","China is plunged into strife as feuding warlords try to expand their power by warring over neighboring lands. Fuelled by his success on the battlefield, young and arrogant Hao Jie sneers at Shaolin's masters when he beats one of them in a duel. But the pride comes before a fall. When his own family is wiped out by a rival warlord, Hao is forced to take refuge with the monks. As the civil unrest spreads and the people suffer, Hao and the Shaolin masters are forced to take a fiery stand against the evil warlords. They launch a daring plan or rescue and escape.","In a land torn by strife, the righteous monks of Shaolin stand as a beacon of hope for the oppressed masses.",['Benny Chan'],"['Andy Lau', 'Nicholas Tse', 'Fan Bingbing', 'Jackie Chan', 'Wu Jing', 'Yu Shaoqun', 'Xing Yu', 'Yue Hoi', 'Xiong Xin-Xin', 'Bai Bing', 'Sang Wei-Lin', 'Shi Xiao-Hong', 'Liang Jing-Ke', 'Chen Zhihui']","['JCE Movies', 'China Film Group Corporation']",1,"['CN', 'HK']","['zh', 'fr', 'pl']",tt1533749,6.87,303,Released
4,2007-03-24,"Veritas, Prince of Truth",5000000,160487,93,"['Adventure', 'Family', 'Fantasy']","Kern has to fight an evil menace that could destroy the earth when Veritas, his favorite comic book hero, comes to life and seeks his help.",The fate of his world is in your hands.,[],"['Sean Patrick Flanery', 'Bret Loehr', 'Amy Jo Johnson', 'Tyler Posey', 'Kate Walsh', 'Danny Strong', 'Anthony Zerbe', 'Arath de la Torre', 'Carmen Salinas', 'Christopher Holt', 'Kevin Holt']","['Twelfth Night Entertainment', 'La Panza Producciones']",1,"['US', 'MX']","['en', 'es']",tt0421156,4.1,7,Released
5,2011-12-14,Alvin and the Chipmunks: Chipwrecked,75000000,342695435,87,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']","Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.","Sun, Sea and Squeaks.",['Mike Mitchell'],"['Jason Lee', 'David Cross', 'Jenny Slate', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney', 'Amy Poehler', 'Anna Faris', 'Christina Applegate', 'Alan Tudyk', 'Michael P. Northey', 'Sophia Aguiar', 'Lauren Gottlieb', 'Tera Perez', 'Andy Buckley', 'Chad Krowchuk', ""Luisa d'Oliveira"", 'Tucker Albrizzi', 'Nelson Wong', 'Michael Bagdasarian', 'Amber-Rochelle DeMarco', 'Marcela Caceres', 'Ian Harmon', 'Phyllis Smith', 'Ross Bagdasarian, Jr.', 'Janice Karman', 'Eoin Bates', 'Seth Robert Dusky', 'Wendell Kinney', 'Jeremy Palko', 'Rachael Wegener']","['20th Century Fox', 'Dune Entertainment', 'Regency Enterprises', 'Fox 2000 Pictures', 'Bagdasarian Productions']",3,['US'],['en'],tt1615918,5.697,1866,Released
6,2017-09-26,Jeepers Creepers 3,6200000,3600000,100,"['Horror', 'Mystery', 'Thriller']","Taking place on the last day of the Creeper’s twenty-three-day feeding frenzy, as the skeptical Sergeant Tubbs teams up with a task force hellbent on destroying the Creeper for good. The Creeper fights back in gory glory as its enemies grow closer than ever before to learning the secret of its dark origins.",Third Time's the Charm,['Victor Salva'],"['Stan Shaw', 'Gabrielle Haugh', 'Jonathan Breck', 'Brandon Smith', 'Meg Foster', 'Jordan Salloum', 'Joyce Giraud', 'Chester Rushing', 'Jason Bayle', 'Ryan Moore', 'Michael Sirow', 'Michael Papajohn', 'Cade Burk', 'Patrick Thomas Cragin', 'Justin Hall', 'Frankie Smith', 'Megan Elizabeth Wright', 'Carrie Lazar', 'Thomas Francis Murphy', 'Don Yesso', 'Dave Davis', 'Casey Hendershot', 'Danny Epper', 'Darnell Shepherd', 'Gina Philips', 'William Schaff', 'Gloria Gonnillini', 'Jon Arthur']","['Myriad Pictures', 'Infinity Films', 'Cartel Pictures', 'Ansgar Media', 'Village Studios', 'Scoundrel Media']",3,['US'],['en'],tt1139592,4.924,703,Released
7,2011-06-09,Beginners,3200000,14311701,105,"['Drama', 'Romance', 'Comedy']","Oliver meets the irreverent and unpredictable Anna only months after his father Hal Fields has passed away. This new love floods Oliver with memories of his father, who, following the death of his wife of 44 years, came out of the closet at age 75 to live a full, energized, and wonderfully tumultuous gay life – which included a younger boyfriend.",This is what love feels like.,['Mike Mills'],"['Ewan McGregor', 'Christopher Plummer', 'Mélanie Laurent', 'Cosmo', 'Goran Visnjic', 'Kai Lennox', 'Mary Page Keller', 'Keegan Boos', 'China Shavers', 'Melissa Tang', 'Amanda Payton', 'Luke Diliberto', 'Lou Taylor Pucci', 'Jennifer Lauren Grant', 'Reynaldo Pacheco', 'Jodi Long', 'Bruce French', 'Leslie Shea', 'Michael Chieffo', 'Jennifer Hasty', 'June Saunders', 'Catherine McGoohan', 'Terry Walters', 'Lana Young', 'Algerita Wynn Lewis', 'Regine Redwing', 'Sunday Burke', 'Patrick Birkett', 'Sabera Wise', 'Rafael J. Noble', 'Jose Yenque', 'Rodney Saulsberry', 'Bambadjan Bamba']","['Parts and Labor', 'Olympus Pictures', 'Focus Features']",1,['US'],"['en', 'fr']",tt1532503,6.873,868,Released
8,2011-01-28,दिल तो बच्चा है जी,2600000,5700000,146,"['Drama', 'Comedy', 'Romance']",Three roommates are in search of true love. They each find a girl with whom they fall head over heels in love with. Now they just have to get the women to reciprocate.,"Love Grows, Men Don't!",['Madhur Bhandarkar'],"['Ajay Devgn', 'Emraan Hashmi', 'Omi Vaidya', 'Shazahn Padamsee', 'Shruti Haasan', 'Tisca Chopra', 'Shraddha Das', 'Aditya Raj Kapoor', 'Rituparna Sengupta', 'Shweta Salve', 'Mukesh Tiwari', 'Manoj Joshi', 'Daisy Irani', 'Neha Pendse', 'Dhruv Bhandari', 'Chetna Pande', 'Priyanka Marathe', 'Bhalchandra Kadam']","['Bhandarkar Entertainment', 'Wide Frame Pictures']",1,['IN'],['hi'],tt1727496,6.1,24,Released
9,2011-07-22,Another Earth,100000,1938783,92,"['Drama', 'Science Fiction']","On the night of the discovery of a duplicate Earth in the Solar system, an ambitious young student and an accomplished composer cross paths in a tragic accident.",,['Mike Cahill'],"['Brit Marling', 'William Mapother', 'Matthew-Lee Erlbach', 'Meggan Lennon', 'AJ Diana', 'Kumar Pallana', 'Bruce Colbert', 'Ana Valle', 'Joseph A. Bove', 'Jordan Baker', 'Flint Beverage', 'DJ Flava', 'Robin Lord Taylor', 'Rupert Reid', 'Natalie Carter', 'Richard Berendzen', 'Shannon Maliff', 'Stephanie Le Blanc', 'Jasmine Andrade', 'Kara Tweedie', 'Ana Kayne', 'Yuval Segal', 'Diane Ciesla', 'Robert Phillips', 'Hollyce Phillips', 'Luis Vega', 'Rich Habersham', 'Jennifer Jaramillo Valkana', 'Ari Gold', 'Rebecca Price']","['Fox Searchlight Pictures', 'Artists Public Domain']",1,['US'],"['io', 'en']",tt1549572,6.696,1360,Released
