,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2021-09-01,ماكو,25000000,458000,91,"['Drama', 'Thriller', 'Adventure']",Eight Business Men decide to go to location of Elsalam Ship Which was sinked years ago to make a documentary where they face alot of dangers there.,,['Mohamed Hisham Al Rashidi'],"['Basma', 'Nicola Mouawad', 'Nahed El Sebai', 'Manzer Rayahneh', 'Murat Yildirim', 'Amr Wahba', 'Feryal Youssef', 'Mohammad Mahran']",['Synergy Films'],1,['EG'],['ar'],tt11493006,6.8,5
1,2018-03-24,The Ruin,500,500,10,[],"Now, in the era we live in, we are surrounded by a variety of ideas, and each of these ideas and thoughts is given to us in many ways.  The Art and The Media play an important role as two important tools for forcing and pushing information, but these two important tools go so far as to get something that takes their lives and lose control of humanity and is nothing but The Ruin.",The Ruin,"['Mahdi Falahati', 'Armin Mokhtari']",[],['The Rebels Productions'],1,['IR'],[],tt13588258,0.0,0
2,2018-11-24,Requiem,500,500,10,['Comedy'],Some neighbors come to the old woman's house and they're shocked that she's dead but then they steal her pieces of stuff.,Requiem,['Farshad Zarei'],"['Mohammad Ali Gerami', 'Hadis Eftekhari', 'Aamin Rahimian', 'Mahshid Mahmoudian', 'Ali Hirbodian', 'Sepideh Tajik']",['The Rebels Productions'],1,[],[],tt13594694,0.0,0
3,2020-03-14,The Explosion of Silence,2000,2000,13,['Drama'],The Writer has a lot of problems with his wife.,The Explosion of Silence,['Abdollah Faghih'],"['Jalal Ahmadpour', 'Masoumeh Aref']",['The Rebels Productions'],1,['IR'],['fa'],tt13592800,0.0,0
