,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,1969-05-02,Valérie,99000,1200000,95,['Drama'],"Valerie leaves behind her life at a convent for the wild side of life. Getting a job as a topless dancer, Valerie quickly graduates to becoming a high-class hooker. After amassing a small fortune, she falls in love with an artist, a man who is more-than-willing to overlook Valerie's sordid past.",,['Denis Héroux'],"['Danielle Ouimet', 'Guy Godin', 'Andrée Flamand', 'Kim Wilcox', 'Claude Préfontaine', 'Henri Norbert', 'Clémence DesRochers', 'Yvan Ducharme', 'Pierre Paquette', 'Gaétan Labrèche', 'Christian Delmas', 'Hugo Gélinas', 'Paul Buissonneau']",['Cinépix'],1,['CA'],"['en', 'fr']",tt0065166,4.0,4,Released
1,2013-10-04,The Summit,1000000,243550,95,"['Adventure', 'Documentary']","The Summit is a 2012 documentary film about the 2008 K2 disaster directed by Nick Ryan. It combines documentary footage with dramatized recreations of the events of the 2008 K2 disaster. On the way to and from the summit, eleven climbers died during a short time span creating one of the worst catastophes in climbing history. Much of the documentary footage was captured by Swedish mountaineer Fredrik Sträng. Sträng was planning to do a Documentary which was aborted due to the fact that he did not reach the summit. The footage was still valuable to help solving what really did happen since all the climbers had different stories about what happened.",,[],"['Christine Barnes', 'Hoselito Bite', 'Marco Confortola']",['image now films'],1,['IE'],"['en', 'eu', 'it', 'ne']",tt2363471,6.853,85,Released
2,2012-11-03,Redd Inc.,500000,1000000,93,"['Thriller', 'Horror', 'Comedy']","Six captive office workers are literally chained to their desks by a demented, escaped serial killer; former regional manager Thomas Reddmann (Redd). He assigns his 'human resources' the impossible task of proving his innocence or suffering gruesome consequences.",Heads Will Roll,['Daniel Krige'],"['Nicholas Hope', 'Kelly Paterniti', 'Sam Reid', 'Alan Dukes', 'James Mackay', 'Hayley McElhinney', 'Tom Savini', 'Bridie Latona', 'Felix Williamson', 'Ella Scott Lynch']",['Green Light Productions'],1,['AU'],['en'],tt1857842,5.791,67,Released
3,2009-12-24,Dabbe 2,600,3,81,"['Horror', 'Mystery']","Internet network has spread into every home Dabbe, under the command of electromagnetic systems all over the world with demons and shadow assets were seized.",,['Hasan Karacadag'],"['Sefa Zengin', 'Deniz Olgaç', 'İncinur Daşdemir', 'Leyla Göksun', 'Muharrem Dalfidan']",[],6,[],['tr'],tt1560950,2.042,12,Released
4,2012-09-23,Promised Land,15000000,8138788,106,['Drama'],"A salesman for a natural gas company experiences life-changing events after arriving in a small town, where his corporation wants to tap into the available resources.",What's your price?,['Gus Van Sant'],"['Matt Damon', 'Frances McDormand', 'John Krasinski', 'Rosemarie DeWitt', 'Hal Holbrook', 'Titus Welliver', 'Lucas Black', 'Tim Guinee', 'Scoot McNairy', 'Terry Kinney', 'Johnny Cicco', 'Sara Lindsey', 'Lennon Wynn', 'Rosemary Howard', 'John W. Iwanonkiw', 'Joe Fishel', 'Benjamin Sheeler', 'Carla Bianco', 'Joe Coyle', 'Dorothy Silver', 'Lexi Cowan', 'Kristin Slaysman', 'Ken Strunk', 'Cain Alexander', 'Andrew Kuebel', 'Karen Baum']","['Participant', 'Imagenation Abu Dhabi FZ', 'Focus Features', 'Media Farm', 'Sunday Night', 'Pearl Street Films']",1,"['AE', 'US']",['en'],tt2091473,6.272,581,Released
5,1960-08-26,All the Young Men,1000000,2000000,90,"['Action', 'Adventure', 'Drama', 'War']","During the Korean War, the lieutenant in charge of a Marine rifle platoon is killed in battle. Before he dies, he places the platoon's sergeant, who's black, in charge. The sergeant figures on having trouble with two men in his platoon: a private who has much more combat experience than he does, and a racist Southerner who doesn't like blacks in the first place and has no intention of taking orders from one.",Spit out what's on your filthy little mind ... and then take your orders from me !,['Hall Bartlett'],"['Alan Ladd', 'Sidney Poitier', 'Glenn Corbett', 'James Darren', 'Lee Kinsolving', 'Richard Davalos', 'Joseph Gallison', 'Ana María Lynch', 'Paul Richards', 'Charles Quinlivan', 'Mort Sahl']",['Columbia Pictures'],1,['US'],['en'],tt0053583,6.5,6,Released
6,2013-10-16,Carrie,30000000,82394288,100,"['Drama', 'Horror']","A reimagining of the classic horror tale about Carrie White, a shy girl outcast by her peers and sheltered by her deeply religious mother, who unleashes telekinetic terror on her small town after being pushed too far at her senior prom.",Know her name. Fear her power.,['Kimberly Peirce'],"['Chloë Grace Moretz', 'Julianne Moore', 'Gabriella Wilde', 'Judy Greer', 'Portia Doubleday', 'Ansel Elgort', 'Alex Russell', 'Zoë Belkin', 'Samantha Weinstein', 'Karissa Strain', 'Katie Strain', 'Demetrius Joyette', 'Barry Shabaka Henley', 'Arlene Mazerolle', 'Evan Gilchrist', 'Eddie Max Huband', 'Tyler Rushton', 'Connor Price', 'Jefferson Brown', 'Cynthia Preston', 'Philip Nozuka', 'Kyle Mac', 'Michelle Nolden', 'Mouna Traoré', 'Christopher Britton', 'Derek McGrath', 'Max Topplin']","['Metro-Goldwyn-Mayer', 'Screen Gems', 'Misher Films']",1,['US'],['en'],tt1939659,6.012,3931,Released
