,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2016-12-30,ಕಿರಿಕ್ ಪಾರ್ಟಿ,562680,7033500,165,"['Comedy', 'Drama']","Karna from a small town has joined this engineering college and he gangs up with his hostel mates Loki, Alexander, Manja and others to fuel a lot of mischief in the college.",,['Rishab Shetty'],"['Rakshit Shetty', 'Samyuktha Hegde', 'Rashmika Mandanna', 'Achyuth Kumar', 'Raghu Pandeshwar', 'Pramod Shetty', 'Dinesh Mangalore', 'Raaghu Raamanakoppa', 'Aravinnd Iyer']","['Pushkar Films', 'Paramvah Studios']",1,['IN'],['kn'],tt6054758,7.789,19
1,2017-03-10,The Ottoman Lieutenant,40000000,413844,111,"['Romance', 'Drama', 'War']","Lillie, a determined American woman, ventures overseas to join Dr. Jude at a remote medical mission in the Ottoman Empire (now Turkey). However, Lillie soon finds herself at odds with Jude and the mission’s founder, Woodruff, when she falls for the titular military man, Ismail, just as the war is about to erupt.",In a land on the brink of war the most dangerous place to be is in love.,['Joseph Ruben'],"['Ben Kingsley', 'Paul Barrett', 'Josh Hartnett', 'Michiel Huisman', 'Hera Hilmar', 'Haluk Bilginer', 'Affif Ben Badra', 'Selçuk Yöntem', 'Brian Caspe', 'Begum Burian', 'Jessica Turner', 'Peter Hosking', 'Eliska Slansky', 'Hasan Say', 'Deniz Kilic Flak', 'Aysen Sümercan', 'Murat Seven', 'Bree Welch', 'Joe Weintraub', 'Ephraim Goldin', 'Tzvi Shmilovich', 'Ara Woland', 'Ayse Eldek', 'Ali Riza Sahenk']",['Eastern Sunrise Films'],1,"['TR', 'US']","['en', 'sk', 'tr']",tt4943322,6.192,216
2,2017-10-11,The Ritual,1000000,1786396,94,"['Horror', 'Thriller', 'Mystery']","A group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",Your darkest dream awaits you.,['David Bruckner'],"['Rafe Spall', 'Arsher Ali', 'Robert James-Collier', 'Sam Troughton', 'Paul Reid', 'Matthew Needham', 'Jacob James Beswick', 'Maria Erwolter', 'Hilary Reeves', 'Peter Liddell', 'Francesca Mula', 'Kerri McLean', 'Gheorghe Mezei', 'Adriana Macsut', 'Constantin Codrea', 'Zane Jarcu']","['Entertainment One', 'The Imaginarium']",1,"['CA', 'GB']","['en', 'sv']",tt5638642,6.2,2425
