,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2015-05-27,San Andreas,110000000,473990832,114,"['Action', 'Drama', 'Thriller']","In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.","A rescue pilot survived an earthquake, this is what happens next",['Brad Peyton'],"['Dwayne Johnson', 'Alexandra Daddario', 'Carla Gugino', 'Ioan Gruffudd', 'Archie Panjabi', 'Paul Giamatti', 'Hugo Johnstone-Burt', 'Art Parkinson', 'Will Yun Lee', 'Kylie Minogue', 'Colton Haynes', 'Todd Williams', 'Matt Gerald', 'Alec Utgoff', 'Marissa Neitling', 'Morgan Griffin', 'Breanne Hill', 'Laurence Coy', 'Fiona Press', 'Dennis Coard', 'Ben McIvor', 'Nick Allen-Ducat', 'Claire Lovering', 'Sophia Emberson-Bain', 'Sofie Formica', 'Julie Brandt-Richards', 'Hugh Boddam-Whetham', 'Brad McMurray', 'John Reynolds', 'Simone Kessell', 'Saskia Williscroft', 'Arabella Morton', 'Hayley Sullivan', 'Renee Somerfield', 'Joey Vieira', 'Benjamin Blankenship', 'Barry Southgate', 'Nikki Green', 'Calum Grant', 'Eduardo Ambriz DeColosio', 'Michael Asberry', 'Teirrah McNair', 'Michael Yamaguchi', 'AnnaCorey', 'Stephen Chang', 'Hayley Gagner', 'Stephanie Johnston', ""Tom O'Reilly"", 'Vanessa Ross', 'Andrea Walker', 'John Lobato', 'Ed Moy']","['New Line Cinema', 'Village Roadshow Pictures', 'Warner Bros. Pictures', 'Flynn Picture Company']",1,"['CA', 'US', 'AU']",['en'],tt2126355,6.208,7391
1,2014-09-12,Honeymoon,1000000,9318,88,"['Horror', 'Science Fiction']","Young newlyweds Paul and Bea travel to a remote lake cottage for their honeymoon, where the promise of private romance awaits them. Shortly after arriving, Paul finds Bea wandering and disoriented in the middle of the night.",After the ceremony comes the ritual.,['Leigh Janiak'],"['Rose Leslie', 'Harry Treadaway', 'Ben Huber', 'Hanna Brown', 'Bob Harrison', 'Peter Leo']",['Fewlas Entertainment'],1,['US'],['en'],tt3177316,5.442,510
2,2015-10-15,The Lobster,4000000,15656193,118,"['Comedy', 'Drama', 'Romance']","In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into animals and sent off into The Woods.",An unconventional love story...,['Yorgos Lanthimos'],"['Colin Farrell', 'Rachel Weisz', 'Léa Seydoux', 'Ben Whishaw', 'Ariane Labed', 'John C. Reilly', 'Jessica Barden', 'Olivia Colman', 'Ashley Jensen', 'Angeliki Papoulia', 'Michael Smiley', 'Roger Ashton-Griffiths', 'Anthony Dougall', 'Sean Duggan', 'Roland Ferrandi', 'James Finnegan', 'Robert Heaney', 'Rosanna Hoult', 'Jaro', 'Ryac', 'Kathy Kelly', 'Ewen MacIntosh', 'Patrick Malone', 'Sandra Hayden Mason', 'Kevin McCormack', 'Ishmael Moalosi', 'Anthony Moriarty', 'Garry Mountaine', 'Judi King Murphy', 'Laoise Murphy', 'Imelda Nagle Ryan', 'Nancy Onu', ""Matthew O'Brien"", ""Emma O'Shea"", 'Chris Threader', 'Cian Boylan', 'Clive Dev', 'Degnan Geraghty', 'Heidi Ellen Love', 'Dolores Marren', 'Mark McCormack', 'Stephen Ryan']","['Canal+', 'CNC', 'Haut et Court', 'Eurimages', 'Lemming Film', 'Element Pictures', 'Nederlands Fonds voor de Film', 'Film4 Productions', 'Greek Film Centre', 'Ciné+', 'Faliro House Productions', 'Protagonist Pictures', 'Scarlet Films', 'Institut Français', ""L'Aide aux Cinémas du Monde"", 'Limp Films', 'Ministère des Affaires étrangères et du Développement International']",1,"['FR', 'GR', 'IE', 'NL', 'GB']","['en', 'fr', 'el']",tt3464902,7.016,5131
3,2015-05-07,Pitch Perfect 2,29000000,287506194,115,"['Comedy', 'Music']","The Bellas are back, and they are better than ever. After being humiliated in front of none other than the President of the United States of America, the Bellas are taken out of the Aca-Circuit. In order to clear their name, and regain their status, the Bellas take on a seemingly impossible task: winning an international competition no American team has ever won. In order to accomplish this monumental task, they need to strengthen the bonds of friendship and sisterhood and blow away the competition with their amazing aca-magic! With all new friends and old rivals tagging along for the trip, the Bellas can hopefully accomplish their dreams.",We're back pitches,['Elizabeth Banks'],"['Anna Kendrick', 'Brittany Snow', 'Rebel Wilson', 'Hailee Steinfeld', 'Skylar Astin', 'Ben Platt', 'Ester Dean', 'Hana Mae Lee', 'Alexis Knapp', 'Chrissie Fit', 'Adam DeVine', 'Birgitte Hjort Sørensen', 'Flula Borg', 'Anna Camp', 'Katey Sagal', 'Kelley Jakle', 'Shelley Regner', 'John Hodgman', 'Jason Jones', 'Joe Lo Truglio', 'Reggie Watts', 'John Michael Higgins', 'Elizabeth Banks', 'Snoop Dogg', 'David Cross', 'Keegan-Michael Key', 'Shawn Carter Peterson', 'Clay Matthews', 'David Bakhtiari', 'Donny Barclay', 'Josh Sitton', 'Thomas J. Lang', 'Jordan Rodgers', 'Gralen Bryant Banks', 'Sharon Garrison', 'Brea Grant', 'Austin Lyon', 'Natalie Morales', 'Jake Tapper', 'Sylvia Weatherspoon', 'Robert W. Krieger III', 'Joe Scarborough', 'Mika Brzezinski', 'Jimmy Kimmel', ""Rosie O'Donnell"", 'Nicolle Wallace', 'Rosie Perez', 'Adam Levine', 'Christina Aguilera', 'Pharrell Williams', 'Blake Shelton', 'Codie L. Wiggins', 'Blake Burt', 'Ted Moock', 'Jerry Clark', 'Phi Vu', 'Jacinto Rodriguez', 'Ryan Leeper', 'Andrew Fitzpatrick', 'Allie Feder', 'Steven Ban', 'Brandon Lara', 'Daniel Piglavento', 'Brent L. Boxberger', 'Dylan Cheek', 'Dakota Scott Smith', 'Jeremy Williams', 'Samantha Smith', 'Alexis Lawson', 'Jordyn McDempsey', 'Monica Malone', 'Kimberly Madsen-Thomas', 'Frances Manzo', 'Cali Blake', 'Mitch Grassi', 'Kevin Olusola', 'Avi Kaplan', 'Scott Hoying', 'Kirstin Maldonado', 'Trace Gaynor', 'Dominic Tibayan', 'Barry Fortgang', 'Julian Cruz', 'Virgil Rosales', 'Joseph Caigoy', 'Pranay Sharma', 'Kashish Hora', 'Hariharan Ravi', 'Prashant Ramesh', 'Aneesh Kanakamedala', 'Chetan Khanna', 'Akiff Premjee', 'Varshil Patel', 'Rohan Murthy', 'Dilip Rajan', 'Praveen Rajaguru', 'Gigi Zumbado', 'Marisela Zumbado', 'Alison Sahonic', 'Jasmine Paul-Olivier', 'Natalie Legendre', 'Samantha Yonack', 'Windy Diaz', 'Amaris Flores', 'Aakomon Jones', 'Kyndra Reevey', 'Britney Chelene Thomas', 'Michael Odokara-Okigbo', 'Brian Watson', 'Shanna Marie Burris', 'Lindsey Legros', 'Brandon Addison', 'Robin Roberts', 'Kether Donohue', 'C.J. Perry', 'Sope Aluko', 'Leticia Jimenez', 'Anton Narinskiy', 'Deke Sharon']","['Universal Pictures', 'Gold Circle Films', 'Brownstone Productions']",2,['US'],['en'],tt2848292,6.878,4890
4,2015-07-03,Stung,2500000,71085,87,"['Horror', 'Comedy', 'Science Fiction']",A fancy garden party turns into upper class prey when a colony of killer wasps mutates into seven foot tall predators.,"Get inside, get away, just don't get stung",['Benni Diez'],"[""Matt O'Leary"", 'Jessica Cook', 'Lance Henriksen', 'Clifton Collins Jr.', 'David Masterson', 'Cecilia Pillado', 'Kathleen Renish', 'Florentine Lahme', 'Eve Slatner', 'Daniele Rizzo', 'Tony de Maeyer', 'Benedikt Bothe', 'Tommy Kreiselmaier']","['Rat Pack Filmproduktion', 'XYZ Films', 'IFC Midnight']",1,"['DE', 'US']",['en'],tt3300572,5.308,164
5,2014-04-22,Brick Mansions,28000000,68896829,90,"['Action', 'Crime', 'Drama']","In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it.",Undercover and never Outgunned,['Camille Delamarre'],"['Paul Walker', 'David Belle', 'Robert Maillet', 'Carlo Rota', 'Kalinka Pétrie', 'Bruce Ramsay', 'Kwasi Songui', 'Catalina Denis', 'Ayisha Issa', 'Jade Hassouné', 'Richard Zeman', 'Carolina Bartczak', 'Andreas Apergis', 'Goûchy Boy', 'Frank Fontaine', 'Andy Bradshaw', 'Ryan Trudeau', 'Danny Blanco Hall', 'Bruce Dinsmore', 'Marc-André Boulanger', 'Sean Lu', 'Victor Cornfoot', 'Abdul Ayoola', 'Gerardo Lo Dico']","['Canal+', 'Téléfilm Canada', 'The Movie Network', 'EuropaCorp', 'Relativity Media', 'Canadian Film or Video Production Tax Credit (CPTC)', 'Ciné+', 'Movie Central', 'Super Écran', 'D8 Films', 'Transfilm International']",3,"['CA', 'FR']",['en'],tt1430612,5.9,1348
6,1998-11-13,Perfect Assassins,8,17,100,"['Action', 'Thriller']","When deadly terrorists strike, an FBI man, who is an expert on terrorist mentality, hunts their twisted ""creator,"" who may be connected with a disgraced professor from his past.",,['H. Gordon Boos'],"['Andrew McCarthy', 'Portia de Rossi', 'Robert Patrick', 'Nick Mancuso', 'Aaron Lohr', 'Lisa Jane Persky', 'Michelle Madden', 'Denise Johnson', 'Kim Huff', 'Aki Aleong', 'Philip Tan', 'Jackie Torres']",[],1,['US'],['en'],tt0139082,5.8,5
7,2013-03-31,Haunted,15000,45000,93,['Horror'],Six contestants win a competition to appear on a Live reality TV show at a secret location in rural England. The next ten hours will be spent on a paranormal Investigation with a TV crew searching for the truth behind ghost stories that haunt an old railway station museum.,The First Investigation Was The Most Evil...,['Steven M. Smith'],"['Jon-Paul Gates', 'Vivien Creegor', 'Laura Penneycard', 'Freddie Fuller', 'Gemma Gurvitz', 'Natalie Gurvitz']",['Greenway Entertainment'],1,['GB'],['en'],tt2133234,5.4,8
8,2014-10-03,Torrente 5: Operación Eurovegas,9272437,11672363,105,"['Action', 'Comedy']",Crooked cop Torrente gets out of jail in the year 2018 to find a different Spain from the one he knew.,,['Santiago Segura'],"['Santiago Segura', 'Julián López', 'Jesulín de Ubrique', 'Alec Baldwin', 'Fernando Esteso', 'Carlos Areces', 'Anna Simon', 'Cañita Brava', 'José María Rubio', 'Chus Lampreave', 'Neus Asensi', 'Silvia Abril', 'Andrés Pajares', 'Josema Yuste', 'Pablo Motos', 'Andreu Buenafuente', 'Calma Segura', 'Xavier Deltell', 'El Langui', 'José María Gutiérrez', 'Aureli del Pozo', 'Rafa Mora', 'Falete', 'Tomás Roncero', 'Ricardo Darín', 'Iñaki Gabilondo', 'Torbe', 'Jimmy Barnatán', 'Tony Leblanc', 'Luis Carlos Tortosa', 'Álvaro Tortosa', 'Leo Harlem', 'José Mota', 'El Gran Wyoming', 'Imanol Arias', 'Mario Vaquerizo', 'Raymond Pozo', 'Miguel Céspedes', 'Damián Ramos', 'José Luis Barroso', 'Jimmy Roca', 'Fernando Sáez', 'María Dolores González', 'Mary Carmen', 'Carlos Latre', 'Richy Castellanos', 'Maxi Iglesias', 'Josep Pedrerol', ""Jorge D'Alessandro"", 'Alejandro Bravo Yañez', 'Willyrex', 'Ismael Prego', 'Rubén Doblas Gundersen', 'Mocito Feliz', 'Ricardo Darín', 'Manuel Tallafé', 'Maxi Iglesias', 'Grecia Castta', 'Chiquito de la Calzada', 'María José Campanario', 'Angy Fernández']","['Amiguetes Entertainment', 'Telefónica Studios', 'Atresmedia']",5,['ES'],['es'],tt3321428,5.6,157
9,2014-08-27,The November Man,15000000,32556119,108,"['Crime', 'Action', 'Thriller']",An ex-CIA operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level CIA officials and the Russian president-elect.,A spy is never out of the game.,['Roger Donaldson'],"['Pierce Brosnan', 'Luke Bracey', 'Olga Kurylenko', 'Bill Smitrovich', 'Amila Terzimehic', 'Lazar Ristovski', 'Eliza Taylor', 'Caterina Scorsone', 'Akie Kotabe', 'Will Patton', 'Patrick Kennedy', ""Dragan Marinković 'Maca'"", 'Miloš Timotijević', 'Mediha Musliović', 'Ben Willens', 'Dragan Dvojakovic', 'Tara Jevrosimović', 'Nina Mrđa', 'Greg De Cuir', 'Ben Dimmock', 'Justin Chapman', 'Chad Z. King', 'Marija Dakić', 'Petar Benčina', 'Milutin Milošević', 'Nina Janković', 'Jadranka Bugarski', 'Miodrag Stojanovic', 'Nina Lazarevic', 'Tijana Plemic', 'Nebojša Đorđević', 'Marko Marković', 'Ilija Labalo', 'Yulia Martynyuk', 'Dragana Atlija', 'Radoje Jelić']","['Irish Dreamtime', 'Relativity Media', 'SPD Films']",1,"['GB', 'US']",['en'],tt2402157,6.093,1294
