,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2017-12-22,Downsizing,68000000,55003890,135,"['Comedy', 'Drama', 'Science Fiction']",A kindly occupational therapist undergoes a new procedure to be shrunken to four inches tall so that he and his wife can help save the planet and afford a nice lifestyle at the same time.,We are meant for something bigger.,['Alexander Payne'],"['Matt Damon', 'Hong Chau', 'Christoph Waltz', 'Kristen Wiig', 'Rolf Lassgård', 'Ingjerd Egeberg', 'Udo Kier', 'Søren Pilmark', 'Jason Sudeikis', 'Maribeth Monroe', 'Jayne Houdyshell', 'Phil Reeves', 'James Van Der Beek', 'Alison J. Palmer', 'Tim Driscoll', 'Kristen Thomson', 'Kevin Kunkel', 'Patrick Gallagher', 'Linda M. Anderson', 'John Reynolds', 'Carmen Orellana', 'David Noonen', 'Bob Bezousek', 'Ana Marie Cox', 'Roland Martin', 'Milo Goodman', 'Dave Sokolowski', 'Martha Girvin', 'Brendan Beiser', 'Alison Brooks', 'Paul Constable', 'Neil Patrick Harris', 'Laura Dern', 'Niecy Nash', 'Margo Martindale', 'Kerri Kenney', 'Donna Lynne Champlin', 'Don Lake', 'Mary Kay Place', 'Sherry Mandujano', 'Kimberly Kodatsky', 'Larry Mannell', 'Kerry-Lee Finkle', 'Natasha Bromfield', 'Raffaele Brereton', 'Damiãn Garth Brown', 'Jermaine Otis Granville', 'Jeffrey Sinclair', 'Richard D. Leko', 'Jon De Leon', 'Howard J. Davis', 'Maryam Moshiri', 'Bill Coulter', 'Jeff Clarke', 'Juan Carlos Velis', 'Paul Mabon', 'Veena Sood', 'Nick Douzenis', 'Spiros Kontos', 'Maria Kontou', 'Peter Melatos', 'Loukia Papadapoulos', 'Paul Landais', 'Rodrigo Salera', 'Salvador Sindoni', 'Balaram Vilchis', 'Ann Bordwine Beeder', 'Joaquim de Almeida', 'Kathryn Aboya', 'Brigette Lundy-Paine', 'Kristina Cocoli', 'Lina Shekhovtsova', 'Jeffrey R. Smith', 'Pepe Serna', 'Rose Bianco', 'Lidia Perez', 'Ramon Marroquin', 'Cicela Bravatti', 'Jorge Tello', 'Pamela Archer', 'Dalila Gamboa Diaz', 'Margareta Pettersson', 'Cameron Geddes', 'Bjørnar Egede-Nissen', 'Warren Belle', 'George B. Seremba', 'Christoph Friedrich Richter', 'Michaela Sanielevici', 'Caroline Andersen', 'Erik Andersen', 'Kristina Yedlitska', 'Thomas Wicks', 'Alari Tork', 'Kari Svenneby', 'Tomas Straum', 'Michael Skretteberg', 'Jorgen Runas', 'Kimberly Rowntree', 'Jacob Pettersson', 'Lars Paronen', 'Thomas Paloheimo', 'Velva Nystrom', 'Riita Nikolakakos', 'Kent Nielsen', 'Antti Muhunen', 'Tanya Missirlian', 'Mark Makivirta', 'Kristin Lyssand', 'Raimo Kurppa', 'Tero Konttinen', 'Elizabeth Jeanne le Roux', 'Aleksander Krogevoll', 'Ksenia Daniela Kharlamova', 'Anastasia Kharlamova', 'Erik Irwin', 'Ida Linckert Hertzman', 'Jani Hamalainen', 'Marianne Haldorsen', 'David Gudjonsson', 'Jahkeil Goldson', 'Steve Fievet', 'Bent Brakas', 'Aaron Befus', 'Solveig Barber', 'Hélène Cardona']","['Paramount', 'Ad Hominem Enterprises', 'Annapurna Pictures']",1,"['US', 'NO']","['no', 'en', 'es', 'vi', 'is']",tt1389072,5.296,3242
1,2015-08-26,We Are Your Friends,6000000,11122090,96,"['Drama', 'Music', 'Romance', 'Comedy']","Young Cole Carter dreams of hitting the big time as a Hollywood disc jockey, spending his days and nights hanging with buddies and working on the one track that will set the world on fire. Opportunity comes knocking when he meets James Reed, a charismatic DJ who takes the 23-year-old under his wing. Soon, his seemingly clear path to success gets complicated when he starts falling for his mentor's girlfriend, jeopardizing his new friendship and the future he seems destined to fulfill.",The world is yours.,['Max Joseph'],"['Zac Efron', 'Wes Bentley', 'Emily Ratajkowski', 'Jonny Weston', 'Shiloh Fernandez', 'Alex Shaffer', 'Jon Bernthal', 'Alicia Coppola', 'Wiley M. Pickett', 'Jon Abrahams', 'Molly Hagan', 'Brittany Furlan', 'Vanessa Lengies', 'Rebecca Forsythe', 'Joey Rudman', 'Kelsey Formost', 'Scarlett Benchley', 'Devon Barnes', 'Rob Silverman', 'Timothy Granaderos', 'Raleigh Adams', 'Kerry Stein', 'Ayden Mayeri', 'Andrew Bachelor', 'Dillon Francis', 'Casey James', 'Desi Jevon', 'Ragon Miller', 'Miranda Rae Mayo', 'Nev Schulman', 'Daniel Pinder', 'Jordan Frank', 'Alesso', 'Nicky Romero', 'Chiara Aurelia', 'Tara Beaulieu', 'Becktoria', 'Stacey Bender', 'Marissa Braun', 'Jan Broberg', 'Mike Carlucci', 'Giselle DaMier', 'Shahine Ezell', 'Paige Flannery', 'Lee Anne Ford', 'Martavious Gayles', 'Matthew Gittelson', 'Tina Grimm', 'Jodi Carol Harrison', 'Rhianna Jagpal', 'Casey Larios', 'Jolyne Lowery', 'Chris McKernan', 'Anna McNiven', 'Lauryn Morse', 'Laura Oceane', 'Jonny Ortiz', 'Veronica Parks', 'Diana Prince', 'Arielle Raycene', 'Korrina Rico', 'Brittany Riley', 'Alex Roth', 'Gus Sanchez', 'Tuesday Thomas', 'Holly Traister', 'Gordon Vasquez', 'Madison Rose']","['StudioCanal', 'Working Title Films', 'Anton Capital Entertainment (ACE)', 'RatPac Entertainment', 'Shadowcast Pictures', '3dot Productions']",1,"['GB', 'US', 'FR']","['it', 'es', 'en']",tt3787590,6.71,2069
2,2016-05-10,Message from the King,10000000,315132,102,['Thriller'],"On a relentless quest to avenge his sister's murder, a man from Cape Town infiltrates a sprawling network of lowlifes and elites in Los Angeles.",,['Fabrice Du Welz'],"['Chadwick Boseman', 'Luke Evans', 'Alfred Molina', 'Teresa Palmer', 'Natalie Martinez', 'Chris Mulkey', 'Drew Powell', 'Jonno Roberts', 'Dale Dickey', 'Jake Weary', 'James Jordan', 'Tom Felton', 'Arthur Darbinyan', 'Lucan Melkonian', 'Ava Kolker', 'Wade Williams', 'Tom Wright', 'Diego Josef', 'Roman Mitichyan', 'Max Daniels', 'Amin El Gamal', 'Anna Diop', 'Joe Seo', 'Alexia Dox', 'Hae Jung Chae', 'Sibongile Mlambo', 'Andrew Kirsanov', 'Jonny Coyne', 'Jennifer Bolton Lee', 'Cheryl Hawker', 'Lynn Adrianna', 'Paul Hansen Kim', 'Rachel Pringle', 'Michael Patrick McGill', 'Bella Toscano', 'Boris Arsoyev', 'Lola Herry', 'Andile Nebulane', 'Khristian Lupo']","['Canal+', 'Entre Chien et Loup', 'Ciné+', 'The Ink Factory', 'Entertainment One Features', 'Cofinova 11', 'Rumble Films', 'Casa Kafka Pictures Movie Tax Shelter Empowered by Belfius', 'The Jokers', 'B Média 2013', 'Inde Films 4']",1,['FR'],['en'],tt1712192,6.226,385
3,2016-06-08,The Neon Demon,7000000,3377430,118,"['Thriller', 'Drama', 'Horror']","When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",Beauty is vicious.,['Nicolas Winding Refn'],"['Elle Fanning', 'Karl Glusman', 'Jena Malone', 'Bella Heathcote', 'Abbey Lee', 'Desmond Harrington', 'Christina Hendricks', 'Keanu Reeves', 'Charles Baker', 'Jamie Clayton', 'Stacey Danger', 'Rebecca Dayan', 'Helen Wilson', 'Houda Shretah', 'Taylor Hill', 'Vanessa Martinez', 'Jason Schneidman', 'Jodie Turner-Smith', 'Lily Moffett', 'Charlize Cotton', 'Allie Lewis', 'Cody Renee Cameron', 'Georgia Fowler', 'Dani Seitz', 'Steve Murillo', 'Alysse Reynolds', 'Autumn Alderson', 'Lucy Cronkite', 'Tea Jovanovic Raza', 'Jennifer Wade', 'Olga Chaplinskaya', 'Elle Drane', 'Frances Parsons', 'Aminata Mboup', 'Claire Eberle', 'Anna Gonzalez', 'Lauren Adams', 'Bridgham Leigh', 'Nicole Robinson', 'Jaydn Meier', 'Lunden Lisherness', 'Keira Smith', 'Lavinia Postolache', 'Madeleine Woolner', 'Alessandro Nivola']","['Bold Films', 'Amazon Studios', 'Vendian Entertainment', 'Space Rocket Nation']",1,"['DK', 'FR', 'US']",['en'],tt1974419,6.539,3343
4,2019-06-19,Toy Story 4,175000000,1073394593,100,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']","Woody has always been confident about his place in the world and that his priority is taking care of his kid, whether that's Andy or Bonnie. But when Bonnie adds a reluctant new toy called ""Forky"" to her room, a road trip adventure alongside old and new friends will show Woody how big the world can be for a toy.",Get Ready to Hit the Road,['Josh Cooley'],"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale', 'Keegan-Michael Key', 'Madeleine McGraw', 'Christina Hendricks', 'Keanu Reeves', 'Ally Maki', 'Jay Hernandez', 'Lori Alan', 'Joan Cusack', 'Bonnie Hunt', 'Kristen Schaal', 'Emily Davis', 'Wallace Shawn', 'John Ratzenberger', 'Blake Clark', 'June Squibb', 'Carl Weathers', 'Lila Sage Bromley', 'Don Rickles', 'Jeff Garlin', 'Maliah Bargas-Good', 'Jack McGraw', 'Juliana Hansen', 'Estelle Harris', 'Laurie Metcalf', 'Steve Purcell', 'Mel Brooks', 'Alan Oppenheimer', 'Carol Burnett', 'Betty White', 'Carl Reiner', 'Bill Hader', 'Patricia Arquette', 'Timothy Dalton', 'Flea', 'Melissa Villaseñor', 'John Morris']","['Walt Disney Pictures', 'Pixar']",4,['US'],['en'],tt1979376,7.549,8375
5,2003-06-30,C.B. Green - Absolutely Live,101,100,0,['Music'],,,[],[],['Universal Music Group'],1,['DE'],['en'],,4.0,1
6,2014-11-08,The Opposite Sex,3300000,2800000,96,['Comedy'],"The story of Vince, New England's most successful divorce attorney. To Vince, life is one big competition, and losing is unacceptable. This also applies in his dating life with his love 'em and leave 'em approach. Then Vince meets Jane, who is beautiful, successful and also extremely driven. Together they enter into a series of entertaining wagers with each other where the winner gets to decide the fate of the loser.","A battle of the sexes, winner takes all.","['Jonathan Silverman', 'Jennifer Finnigan']","['Geoff Stults', 'Mena Suvari', 'Eric Roberts', 'Kristin Chenoweth', 'Dana Ashbrook', 'Kenan Thompson', 'Jennifer Finnigan', 'Josh Hopkins', 'Josh Cooke', 'Debra Jo Rupp', 'Joey Fatone', 'Tom DeNucci', 'Jonathan Silverman', 'Madeline Merritt', 'Danielle Guldin', 'Gary Wolfenden', 'Fred Sullivan']","['Magna Global Entertainment', 'Verdi Productions']",1,['US'],['en'],tt2796678,4.829,38
7,2014-11-28,Flugparken,50,60,96,"['Drama', 'Thriller']","Blowfly Park is a psychological thriller which follows Christian Kretschmann, a day-nursery teacher, who may have committed a violent murder. This is the film debut of choreographer Jens Östberg.",,['Jens Östberg'],"['Sverrir Gudnason', 'Peter Andersson', 'Malin Buska', 'Leonard Terfelt', 'Joar Hennix Raukola']",['Garagefilm International'],1,['SE'],['sv'],tt3265506,4.714,7
8,2015-07-15,Equals,16000000,2084628,102,"['Drama', 'Romance', 'Science Fiction']",A futuristic love story set in a world where emotions have been eradicated.,Find your equal.,['Drake Doremus'],"['Nicholas Hoult', 'Kristen Stewart', 'Guy Pearce', 'Jacki Weaver', 'Bel Powley', 'Claudia Kim', 'Scott Lawrence', 'Toby Huss', 'Kate Lyn Sheil', 'David Selby', 'Rizwan Manji', 'Kai Lennox', 'Aurora Perrineau', 'Rebecca Hazlewood', 'Mook Denton', 'Yoo Teo', 'Umali Thilakarathna', 'Eric Bossick', 'Tom Stokes', 'Irina Chiu', 'Dennis Shin', 'Timothy Paul Jobe']","['Scott Free Productions', 'Infinite Studios', 'Freedom Media', 'Route One Entertainment']",1,['US'],['en'],tt3289728,6.126,1234
9,2014-10-17,Велкам хом,300000,17888,116,"['Comedy', 'Drama']",New York-set comedy about a group of immigrants who have become hostage to their life choices.,,['Angelina Nikonova'],"['Michael Wetherbee', 'Kika Magalhaes', 'Paulina Simkin', 'Edward Baker-Duly', 'James Claude Bristow', 'Karola Sánchez', 'Olga Dihovichnaya', 'Karren Karagulian', 'Ara Woland', 'Karin de la Penha', 'Corey Boardman', 'Richard Davis', 'Austin Kennedy', 'Rafaela Salvadori', 'Mona Depena', 'Aaron Jonah Young', 'Mateo Lynch', 'Rafaela Lopez Meloro', 'Lela Tadevosyan', 'Anna Pipoyan', 'Ivan Edstrom', 'Gwen Kosak']",['Baraban Films'],1,"['US', 'RU']","['en', 'ru']",tt2155405,5.5,2
