,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,,Life in Dark,399300,26620,110,['Crime'],"The story of Life in Dark is about the crime taking place in the remand home where the small survivors after committing the crime try to complete their sentence but their past does not leave them after the completion of the sentence, And takes him again to the world of crime where people like him are waiting for him.","If you do not die of the world, you will kill the world for you",['Vijay Patkar'],"['Upendra Limaye', 'Aditya Lakhia', 'Jitendra Joshi', 'Priyamvada sawant', 'Govind Namdeo', 'Nachiket Purnapatre']",['D.N.K Entertainment'],1,['IN'],['hi'],,0.0,0
1,2021-06-12,The Green Force,132925,5000,120,['Crime'],Ex-army chief created a secret Force to save the nation from Terror attacks. GREEN FORCE is an unofficial team of Patriots which fight against every terrorist activities.,,['Sudhir Durlabh Tandel'],"['Mayur Chavda', 'Ramesh Goyal', 'Sahud Hashmi', 'Mushtaq Khan', 'Gulshan Pandey', 'Shiva Rindani', 'Pooja Prajapati']",['Prasannidhi film creations'],1,['IN'],[],tt14873790,0.0,0
2,2016-06-17,ষড়রিপু ১,75000,80000,106,"['Horror', 'Mystery', 'Crime', 'Thriller']",Deputy Commissioner of Police Sharma and his detective friend Chandrakant Sen are called on to solve the mystery behind five high-profile murders committed in Kolkata on the same evening. Did their Jew friend Joshua Bane have anything to do with those murders?,The six vices,['Ayan Chakraborti'],"['Chiranjeet Chakraborty', 'Indraneil Sengupta', 'Rajatava Dutta', 'Rajesh Sharma', 'Sudipta Chakraborty', 'Rudranil Ghosh']",[],1,[],['bn'],tt6687734,0.0,0
3,,IAS Pack,1000,3651,125,[],This is the movies about how IAS Aspirants prepare for their exams,UPSC IAS Civil Services,[],[],[],1,[],[],,0.0,0
4,2018-06-04,"Estremecer, Lejos de ti.",10000,10000,0,"['Horror', 'Thriller', 'Mystery']",,,['MINA LUNA'],[],"['BLACK XOLO FILMS', 'BLACK XOLO']",1,['AU'],['es'],tt13129744,10.0,1
