,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2011-11-11,Jutro bedzie lepiej,743416,15031,118,"['Drama', 'Adventure']","Three Russian street kids, who live on their wits in a train station, take off to the countryside hoping to make it across the border to a better life in Poland. They are alternately looking for tenderness and pushing it away because they sense that it is a sign of vulnerability they can ill-afford. Kędzierzawska has the rare ability to take the world of children on its own terms. There is not a false note in this dazzlingly beautiful and emotionally involving story of three kids trying to find their path to a new life.  - Adelaide Film Festival",,['Dorota Kędzierzawska'],"['Oleg Ryba', 'Yevgeniy Ryba', 'Akhmed Sardalov', 'Stanislaw Sojka', 'Kinga Walenkiewicz', 'Zygmunt Gorodowienko', 'Aleksandra Billewicz', 'Antoni Lanczkowski', 'Stanislaw Zawadzki', 'Angelika Kozic']",['Kid Film'],1,['PL'],"['pl', 'ru']",tt1814746,7.2,6
1,1979-08-10,İntikam Kadını,55000,100000,60,['Action'],"Aysel is your typical farmer’s daughter; she keeps to herself, does her chores, and helps take care of her aging father. All of that is about to change though when a group of men staying at Aysel and her father's home after their car breaks down, rape Aysel and kill her father. The men return to their normal lives in the city but Aysel has followed them back and has plans for revenge.",,['Naki Yurter'],"['Cesur Barut', 'Kazım Kartal', 'Yılmaz Kurt', 'Recep Filiz', 'Funda Gürkan', 'Meltem Işık', 'Cihat Karahan', 'Rozi', 'Zerrin Doğan']",[],1,['TR'],['tr'],tt8367114,6.6,4
2,2016-09-29,Masterminds,25000000,29200000,94,"['Action', 'Comedy', 'Crime']",A night guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history.,What Would You Do With $17 Million?,['Jared Hess'],"['Zach Galifianakis', 'Owen Wilson', 'Kristen Wiig', 'Kate McKinnon', 'Leslie Jones', 'Jason Sudeikis', 'Mary Elizabeth Ellis', 'Ken Marino', 'Karsten Friske', 'Dallas Edwards', 'Devin Ratray', 'Jon Daly', 'Ross Kimball', 'Jordan Israel', 'Njema Williams', 'Rhoda Griffis', 'Jill Jane Clements', 'Barry J. Ratcliffe', 'Tyler Craig', 'Daniel Zacapa', 'Tom Werme', 'Nils Cruz', 'Michael Fraguada', 'Christian Gonzalez', 'Candace Blanchard', 'Shelton Grant', 'Laura Palka', 'Reegus Flenory', 'Wynn Reichert', 'Joseph S. Wilson', 'Jee An', 'Nicole Dupre Sobchack', 'Eizzil Cintrón Valenzuela', 'Matt Corboy', 'Anne Johnson', 'Timothy Timms', 'Beth Adams', 'Andrea Alcorn', 'Jay Amor', 'Mandi Beers', 'Kelly Borgnis', 'Miller Carbon', 'John Carter', 'Bonnie Cole', 'Danny Comden', 'David L. Craig', 'Tania Cuzmenco', 'Jason Michael Elliott', 'Cameron Feimster', 'Willie Tyrone Ferguson', 'Derwin Frank', 'Christopher Donald Gallagher', 'Fred Galle', 'Brent Gribble', 'Josué Gutierrez', 'Keya Hamilton', 'Keith Paul Hunter', 'Jim Keisler', 'T.J. Lyell', 'Corey Maher', 'Gabriel Manak', 'Chris Matheny', 'Robert McRary', 'Brenda Moss-Clifton', ""Kevin J. O'Connor"", 'Paul Pillsbury', 'Joey Popp', 'William Cowboy Reed', 'David N. Russell', 'John Rutland', 'Marlo Scheitler', 'Wil Smith', 'Ron Stafford', 'Kelly Tippens', 'Kathy Walton']","['Broadway Video', 'Relativity Media', 'Michaels-Goldwyn']",1,"['US', 'PR']","['en', 'es']",tt2461150,5.731,1533
