,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,1925-11-01,His People,93000,3000000,93,[],"The two sons of a poor Russian-Jewish pushcart peddler on New York's Lower East Side are causing their father grief. As Morris and Sammy stray from traditions cherished by their parents, each generation learns to accept change to preserve the family as a source of love and respect.",,['Edward Sloman'],"['Rudolph Schildkraut', 'Rosa Rosanova', 'George J. Lewis', 'Blanche Mehaffey', 'Kate Price']",[],1,[],[],tt0015918,0.0,0
1,2017-03-23,The Boss Baby,125000000,498814908,97,"['Animation', 'Comedy', 'Family']","A story about how a new baby's arrival impacts a family, told from the point of view of a delightfully unreliable narrator, a wildly imaginative 7 year old named Tim.",Born leader,['Tom McGrath'],"['Alec Baldwin', 'Steve Buscemi', 'Miles Bakshi', 'Jimmy Kimmel', 'Lisa Kudrow', 'Tobey Maguire', 'Conrad Vernon', 'James McGrath', 'David Soren', 'Nina Zoe Bakshi', 'Tom McGrath', 'Walt Dohrn', 'James Ryan', 'Eric Bell Jr.', 'ViviAnn Yee', 'Edie Mirman', 'James Izzo', 'Chris Miller', 'Chloe Albrecht', 'Andrea Montana Knoll', 'Joseph Izzo', 'Glenn Harmon', 'Brian Hopkins', 'Jules Winter']",['DreamWorks Animation'],1,['US'],['en'],tt3874544,6.458,6356
2,2016-03-30,Everybody Wants Some!!,10000000,3400278,116,['Comedy'],A comedy that follows a group of friends as they navigate their way through the freedoms and responsibilities of unsupervised adulthood.,Here for a good time not a long time,['Richard Linklater'],"['Blake Jenner', 'Zoey Deutch', 'Ryan Guzman', 'Tyler Hoechlin', 'J. Quinton Johnson', 'Glen Powell', 'Wyatt Russell', 'Will Brittain', 'Austin Amelio', 'Temple Baker', 'Tanner Kalina', 'Juston Street', 'Forrest Vickery', 'Jonathan Breck', 'Dora Madison', 'Celina Chapin', 'Shailaun Manning', 'Lynden Orr', 'Zoey Brooks', 'Asjha Cooper', 'Olivia Griswald', 'Anna Vanston', 'Michael Monsour', 'Sophia Ali', 'Courtney Tailor', 'Taylor Ashley Murphy', 'Christina Burdette', 'Ernest James', 'Jason Liebrecht', 'Justin Alexio', 'Laura Ritz', 'Tess Cline', 'Adriene Mishler', 'Beau Smith', 'Mike Wiebe', 'Fadi El-Assad', 'Ian Walling', 'Robert Marchant', 'Ian MacDougall', 'Jenna Saab', 'Lauren Hale', 'Kay Epperson', 'Tory Taranova', 'Jessi Mechler', 'Katherine Sutton', 'Blaire Clause', 'Devin Bonnée', 'Kaleb King', 'Charlie', 'Deborah Alcorn', 'Vanessa Amaya', 'Matt Blackwell', 'Sadie Brook', 'Alyssa Bryer', 'Kyla Burke', 'Nicholas Cristian Clark', 'Julie Cude-Eaton', 'Bonnie Gayle', 'Chelsey Gentry', 'Holly Jee', 'Caitlyn Moore', 'Alexandria Payne', 'Lizzy Pop Muro', 'Cyndy Powell', 'Rene Rhi', 'Cecilia L. Salinas', 'Diane Selken', 'Angela Simmons-Morgan', 'Paula Marcenaro Solinger', 'Stan Taylor']",['Annapurna Pictures'],1,['US'],['en'],tt2937696,6.356,945
3,2014-11-14,Saving Christmas,500000,2800000,79,"['Comedy', 'Family']","Kirk is enjoying the annual Christmas party extravaganza thrown by his sister until he realizes he needs to help out Christian, his brother-in-law who has a bad case of the bah-humbugs.",Put Christ Back in Christmas,['Darren Doane'],"['Kirk Cameron', 'Bridgette Cameron', 'Ben Kientz', 'David Shannon']","['Provident Films', 'Camfam Studios', 'Liberty University']",1,['US'],['en'],tt4009460,1.879,70
4,2015-10-02,Burnt,20000000,36606743,100,['Drama'],"Adam Jones is a Chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.",Never underestimate a man with everything to lose.,['John Wells'],"['Bradley Cooper', 'Sienna Miller', 'Omar Sy', 'Daniel Brühl', 'Riccardo Scamarcio', 'Sam Keeley', 'Alicia Vikander', 'Matthew Rhys', 'Lily James', 'Uma Thurman', 'Emma Thompson', 'Sarah Greene', 'Chelsea Li', 'Christopher Heskey', 'Henry Goodman', 'Stephen Campbell Moore', 'Lexie Benbow-Hart', 'Bo Bene', 'Elisa Lasowski', 'Julian Firth', 'John Macdonald', 'Raphael Acloque', 'Richard Rankin', 'Martin Trenaman', 'Jody Halse', 'Erica Emm', 'Charlotte Hawkins']","['Double Feature Films', '3 Arts Entertainment', 'PeaPie Films']",1,['US'],"['fr', 'en']",tt2503944,6.483,2900
