,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2021-10-13,Encanto,50000000,253000000,102,"['Animation', 'Comedy', 'Family', 'Fantasy']","The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",There's a little magic in all of us ...almost all of us.,"['Byron Howard', 'Jared Bush']","['Stephanie Beatriz', 'María Cecilia Botero', 'John Leguizamo', 'Mauro Castillo', 'Jessica Darrow', 'Angie Cepeda', 'Carolina Gaitán', 'Diane Guerrero', 'Wilmer Valderrama', 'Rhenzy Feliz', 'Ravi Cabot-Conyers', 'Adassa', 'Maluma', 'Rose Portillo', 'Juan Castano', 'Sarah-Nicole Robles', 'Hector Elias', 'Alan Tudyk', 'Olga Merediz']","['Walt Disney Pictures', 'Walt Disney Animation Studios']",1,['US'],"['en', 'es']",tt2953050,7.662,7545
1,2000-10-06,Offending Angels,88608,100,94,['Romance'],Sam and Baggy are two non-committal slackers who while their time away with nonsensical affairs while dreaming of greater things in life. Paris and Zeke are two guardian angels who confront them with plans for change. Paris is a former dolphin while Zeke is a former squirrel.,,['Andrew Rajan'],"['Susannah Harker', 'Shaun Parkes', 'Andrew Lincoln', 'Andrew Rajan', 'Jack Davenport', 'Stephen Mangan', 'Michael Cochrane']",['Guerilla Films'],1,[],[],tt0288144,10.0,2
2,2021-06-26,Snake Eyes: G.I. Joe Origins,88000000,36964325,121,"['Action', 'Adventure']","After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",Every warrior has a beginning.,['Robert Schwentke'],"['Henry Golding', 'Andrew Koji', 'Haruka Abe', 'Úrsula Corberó', 'Samara Weaving', 'Takehiro Hira', 'Eri Ishida', 'Iko Uwais', 'Peter Mensah', 'Steven Allerick', 'Simon Chin', 'Samuel Finzi', 'Shota Kakibata', 'Nicholas Dohy', 'Dean Muhtadi', 'James Hiroyuki Liao', 'Kenji Tanigaki', 'Kento Matsunami', 'Sean O. Roberts', 'Jason William Day', 'Kojun Notsu', 'Max Archibald', 'Jason Day', 'Gui DaSilva-Greene']","['Paramount', 'Metro-Goldwyn-Mayer', 'Di Bonaventura Pictures', 'Hasbro', 'Entertainment One', 'Skydance Media']",3,"['CA', 'JP', 'US']","['ar', 'en', 'it', 'ja']",tt8404256,6.6,1231
