,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,1932-01-02,Emma,350000,1972000,72,"['Drama', 'Comedy', 'Romance']","When Fred Smith's wife dies in childbirth, Emma Thatcher, who has been nanny to the couple's three children, cares also for the family's new addition. Fred becomes rich and successful, then he and Emma marry. When Fred dies, his will becomes a source of trouble between the children and Emma.",,['Clarence Brown'],"['Marie Dressler', 'Richard Cromwell', 'Jean Hersholt', 'Myrna Loy', 'John Miljan', 'Purnell Pratt', 'Leila Bennett', 'Barbara Kent', 'Kathryn Crawford', 'George Meeker', 'Dale Fuller', 'Wilfred Noy', 'André Cheron', 'Clarence Geldart', 'Anne Shirley', 'Walter Walker', ""William H. O'Brien""]",['Metro-Goldwyn-Mayer'],1,['US'],['en'],tt0022854,6.3,6,Released
1,1988-11-04,The Good Mother,14000000,4764606,104,"['Drama', 'Romance']","After finding a sexually liberated boyfriend, a divorced woman gets sued over daughter's custody, by her ex, who claims that her lover has a bad influence on the kid.","Can a court determine how we should live, how we should love, how we should raise our children? Now Anna must prove that she is the Good Mother.",[],"['Diane Keaton', 'Liam Neeson', 'Jason Robards', 'Ralph Bellamy', 'Teresa Wright', 'James Naughton', 'Asia Vieira', 'Joe Morton', 'Katey Sagal', 'Margaret Bard', 'Nancy Beatty', 'Barry Belchamber', 'Mairon Bennett', 'Zachary Bennett', 'Scott Brunt', 'Eugene A. Clark', 'Elizabeth Clarke', 'Beverly Cooper', 'Philip Eckman', 'Greg Ellwand', 'Sheila Ferrini', 'Adam Furfaro', 'Donna Galligan', 'David Gardner', 'Teal Gennaro', 'Diane Gordon']",['Touchstone Pictures'],1,['US'],"['en', 'pt']",tt0095238,5.8,18,Released
2,1928-11-01,Noah's Ark,1005000,2305000,135,"['Drama', 'War']","The Biblical story of Noah and the Great Flood, with a parallel story of soldiers in the First World War.",See and Hear the spectacle of the ages!,['Michael Curtiz'],"['Dolores Costello', 'George O’Brien', 'Noah Beery', 'Louise Fazenda', ""Guinn 'Big Boy' Williams"", 'Paul McAllister', 'Myrna Loy', 'Anders Randolf', 'Armand Kaliz', 'William V. Mong', 'Malcolm Waite', 'Nigel De Brulier', 'Noble Johnson', 'Otto Hoffman', 'Ward Bond', 'Joe Bonomo', 'Allan Cavan', 'Rosita Delmar', 'Andy Devine', 'Gus Leonard', 'Alphonse Martell', 'Torben Meyer', 'Nina Quartero', 'Cliff Saum', 'Martin Sperzel', 'John Wayne']","['Warner Bros. Pictures', 'The Vitaphone Corporation']",1,['US'],['en'],tt0020223,5.9,13,Released
3,2011-11-17,Tom Sawyer,8500000,2963639,109,"['Adventure', 'Family']","Tom Sawyer has a head full of pranks and drives when he invents is not just a new adventure, preferably around with his best buddy Huck Finn - much to the chagrin of his Aunt Polly with Tom and his half-brother Sid in the town of St. Petersburg on the Mississippi river.",,['Hermine Huntgeburth'],"['Louis Hofmann', 'Heike Makatsch', 'Benno Fürmann', 'Joachim Król', 'Peter Lohmeyer', 'Hinnerk Schönemann', 'Sylvester Groth', 'Leon Seidel', 'Holger Handtke', 'Andreas Warmbrunn']","['BR', 'ARTE', 'Majestic Filmproduktion', 'ARD¹ Degeto', 'NDR', 'Hi Film Productions', 'Neue Schönhauser Filmproduktion']",1,"['DE', 'RO']","['es', 'de', 'fr']",tt1722484,5.8,42,Released
4,2012-09-10,The Lords of Salem,1500000,1165882,101,"['Horror', 'Thriller']","Heidi, a radio DJ, is sent a box containing a record - a ""gift from the Lords"". The sounds within the grooves trigger flashbacks of her town's violent past. Is Heidi going mad, or are the Lords back to take revenge on Salem, Massachusetts?",We've been waiting... we've always been waiting,[],"['Sheri Moon Zombie', 'Bruce Davison', 'Jeff Daniel Phillips', 'Judy Geeson', 'Meg Foster', 'Patricia Quinn', 'Ken Foree', 'Dee Wallace', 'María Conchita Alonso', 'Richard Fancy', 'Andrew Prine', 'Michael Berryman', 'Sid Haig', 'Suzanne Voss', 'Torsten Voges', 'Lisa Marie', 'Barbara Crampton', 'Michael Shamus Wiles', 'Ernest Lee Thomas', 'Maria Olsen', 'Camille Keaton', 'Clint Howard', 'Udo Kier', 'Richard Lynch', 'Bonita Friedericy', 'Nancy Linehan Charles', 'Flo Lawrence', 'Brynn Horrocks', 'Susan Gray', 'Niko Posey', 'Julian Acosta', 'Brandon Cruz', 'Gabriel Pimentel', 'John 5', 'Dustin Quick', 'James Messersmith', 'Christine Ames', 'Diana Hart', 'Silvia Moore', 'Daniel Roebuck', 'Judy Thompson', 'Carlos del Valle', 'Jobeth Wagner']","['Alliance Films', 'Blumhouse Productions', 'IM Global', 'Automatik Entertainment', 'Haunted Movies']",1,"['CA', 'US', 'GB']",['en'],tt1731697,5.457,709,Released
