,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,,Venom:Carnage Liberado,110,115,97,[],"After finding a host body in investigative journalist Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",let there be carnage,[],[],[],1,[],[],,0.0,0
1,2021-10-16,Dante's Shadow of Sin,50,50,75,['Horror'],"Dante's Shadow of Sin-the eight film by Denver auteur filmmaker Dakota Ray, is a disturbing and hauntingly nihilistic nightmare embossed on to to film, chronicling one man's cataclysmic decent into immortality.",everyone will think it was just some kind of grand murder suicide,['Dakota Ray'],"['Fred epstein', 'sholeh behesht', 'Maddison M.', 'trichrome collector']",[],1,[],[],tt15690918,5.0,1
2,2004-08-16,The Ballad of Sheep 13,905,905,2,['Animation'],an Animated Short Film about 13 Sheep.,an Animated Short Film about 13 Sheep.,['Kyle McQueen'],['Barry Parker'],['Sheridan College'],1,['CA'],['en'],tt15700292,10.0,1
