,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2017-10-18,شَنِل,100000,2000000,93,['Drama'],"The story narrates the story of the life of a nursing woman who lives with her child in special circumstances, and she experiences adventures due to events and mistakes.",,['Hossein Kondori'],"['Baran Kosari', 'Reza Behboudi', 'Bahar Katouzi']",['Iranian Independents'],1,['IR'],['fa'],,0.0,0
1,2017-12-20,Pensamientos de papel,45,45,0,['Drama'],,,['Águeda María Valverde Maestre'],"['Arwent Martínez', 'María Sánchez Postigo', 'Maximiano Jesús Tobaruela Valdivia', 'Carlos Subiris García', 'Angela Sicilia Domínguez']","['PocoSeHablaStudios', 'DDCMovies']",1,['ES'],['es'],,10.0,1
2,2019-10-30,Doctor Sleep,45000000,72281712,152,"['Horror', 'Thriller', 'Fantasy']","Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the 'shine'. Instinctively recognising that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers.",Dare to go back.,['Mike Flanagan'],"['Ewan McGregor', 'Kyliegh Curran', 'Rebecca Ferguson', 'Cliff Curtis', 'Zahn McClarnon', 'Emily Alyn Lind', 'Selena Anduze', 'Robert Longstreet', 'Carel Struycken', 'Katie Parker', 'James Flanagan', 'Met Clark', 'Zackary Momoh', 'Jocelin Donahue', 'Dakota Hickman', 'Carl Lumbly', 'Henry Thomas', 'Bruce Greenwood', 'Sallye Hooks', 'Alex Essoe', 'Roger Dale Floyd', 'George Mengert', 'Jacob Tremblay', 'Chelsea Talmadge', 'Violet McGraw', 'Bethany Anne Lind', 'Nicholas Pryor', 'Deadra Moore', 'Jason Davis', 'Alyssa Gonzalez', 'Shane Brady', 'Danny Lloyd', 'Michael Monks', 'Hugh Maguire', 'Sadie Heim', 'Kk Heim', 'Mistie Gibby', 'Callie Brook McClincy', 'Logan Medina', 'Johnnie Gordon', 'Molly C. Quinn', 'Evan Dumouchel', 'MacLeod Andrews', 'Fedor Steer', 'Charles Green', 'Marc Farley', 'Juan Carlos Romero Perez', 'Sarah Morrison', 'Juan Gaspard', 'Esteban Cueto', 'Marc Demeter', 'Jay D. Kacho', 'J.T. Blair', 'Kevin Petruski Jr.', 'Thomas Downing', 'Scott Lane', 'Jeremy Connell', 'Shawndella Roberts', 'Kaitlyn McCormick']","['Vertigo Entertainment', 'Intrepid Pictures']",2,['US'],['en'],tt5606664,7.156,3537
3,2018-03-09,Hate Story IV,2900000,3200000,131,"['Thriller', 'Crime', 'Drama']","Tasha, who aspires to make it big in life, catches the eye of two womanising brothers, who promise to make her a star. Yet her hidden intentions may prove deadly for the duo.",Hate is Coming,['Vishal Pandya'],"['Urvashi Rautela', 'Karan Wahi', 'Vivan Bhatena', 'Ihana Dhillon', 'Gulshan Grover', 'Shaad Randhawa', 'Tia Bajpai', 'Rita Siddiqui', 'Mohit Chhabra']",['T-Series'],4,['IN'],['hi'],tt5325684,6.9,9
4,2018-05-03,دختر عمو و پسر عمو,1000,2000,90,['Comedy'],story of 2 cousins..,Dokhtar Amoo Va Pesar Amoo,['Roohangiz Shams'],"['Majid Salehi', 'Niousha Zeighami', 'Fatemeh Goudarzi', 'Mahmood Azizi', 'Maryam Amirjalali']",['Iranian Independents'],1,['IR'],['fa'],tt7881364,0.0,0
5,1990-02-16,Minyeli Abdullah,460,960,100,['Drama'],,,['Yücel Çakmaklı'],"['Berhan Şimşek', 'Perihan Savaş']",[],1,['TR'],[],tt0336855,8.5,2
6,2019-02-28,Synonymes,2500000,242483,123,"['Comedy', 'Drama']","A young Israeli man absconds to Paris to flee his nationality, aided by his trusty Franco-Israeli dictionary.",,['Nadav Lapid'],"['Tom Mercier', 'Quentin Dolmaire', 'Louise Chevillotte', 'Uria Hayik', 'Olivier Loustau', 'Yehuda Almagor', 'Léa Drucker', 'Gaya Von Schwarze', 'Gal Amitai', 'Idan Ashkenazi', 'Dolev Ohana', 'Liron Baranes', 'Erwan Ribard', 'Yawen Ribard', 'Iman Amara-Korba', 'Sébastien Robinet', 'Damien Carlet', 'Ron Bitterman', 'Naor Nachmani', 'Yahalom David', 'Herut Cohen', 'Valentine Carette', 'Catherine Denecy', 'Christophe Paou', 'Yilin Yang', 'Jonathan Boudina']","['ARTE France Cinéma', 'ARTE', 'CNC', 'Komplizen Film', 'FFA', 'SBS Films', 'WDR/Arte', 'Pie Films', 'Institut Français', ""L'Aide aux Cinémas du Monde"", 'The Cinema Project', 'Rabinovich Fundation', 'Ministry of Culture and Sport']",1,"['DE', 'FR', 'IL']","['fr', 'he', 'en']",tt7016254,5.8,101
7,2007-03-23,Параграф 78: Фильм второй,10000000,2754691,90,"['Science Fiction', 'Thriller', 'Action']","In the near future the command of the special setting gets a new important task. On a secret rocket base, where a very tall order brings a command over, they will have face to face to run not only into an external danger but also with each other.",,['Mikhail Khleborodov'],"['Gosha Kutsenko', 'Vladimir Vdovichenkov', 'Grigorij Sijatvinda', 'Stanislav Duzhnikov', 'Anatoliy Belyy', 'Aziz Beyshenaliev', 'Yusup Bakhshiev', 'Aleksandr Tyutin', 'Anastasiya Slanevskaya', 'Viktor Verzhbitskiy', 'Sergey Shakurov', 'Mariya Kiselyova']",[],2,[],['ru'],tt1097014,4.7,19
8,2019-09-07,A Beautiful Day in the Neighborhood,25000000,67925733,109,"['Drama', 'History']","An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel's perspective on life is transformed.",Neighbor. Icon. Friend.,['Marielle Heller'],"['Matthew Rhys', 'Tom Hanks', 'Chris Cooper', 'Susan Kelechi Watson', 'Maryann Plunkett', 'Enrico Colantoni', 'Wendy Makkena', 'Tammy Blanchard', 'Noah Harpster', 'Carmen Cusack', 'Kelley Davis', 'Christine Lahti', 'Maddie Corman', 'Daniel Krell', 'Jon L Peacock', 'Gretchen Koerner', 'Gavin Borders', 'Mark August', 'Tressa Glover', 'Jessica Hecht', 'Di Zhu', 'Diane Monroe', 'Maxine Roach', 'Lesa Terry', 'Tahirah Whittington', 'Nigel Swinson', 'Kayla Fan', 'Alexander Ment', 'Madeline Ment', 'Olivia Irene Ruiz', 'Kiesse Yengo-Passy', 'Marcel Kottmann', 'John Castagliola', 'Preston Lopez', 'Reginald Bannerman', 'Spencer Lott', 'Haley Jenkins', 'Kathleen Kim', 'Kathleen Antonia', 'Krizia Bajos', 'Tom Bonello', 'Gregory Bromfield', 'Francesca Calo', 'Kitty Crystal', 'Amy Lyn Elliott', 'Joe Fishel', 'Kevin L. Johnson', 'Rosie Koster', 'Michael Masini', 'Kirsten McCain', 'Patrick McDade', 'David Newell', 'Trevor Stevie Ray Ontiveros', 'Keith Otto', 'Khary Payton', 'Alex Perez', 'Katrina E. Perkins', 'Jivan Xander Ramesh', 'Scott Rapp', 'Fred Rogers', 'Joanne Rogers', 'Edlyn Sabrina', 'Erika Shrout', 'Laura Faye Smith', 'Rebecca Watson', 'Stephen West-Rogers', 'Ted Williams']","['Big Beach', 'TriStar Pictures', 'Tencent Pictures']",1,"['CN', 'US']",['en'],tt3224458,7.005,1289
