,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,,A meeting with shaitaan,10,100,34,[],A stupid sketch film (prolly made for rural Shia Indian kids) based on annual award function where the iblees the greatest Shaitaan will award and they will discuss the next best tricks to  Misguide from the pious path of God,Beware of our tricks,[],[],[],1,[],[],,0.0,0
1,,Goodbye Ariel,14,9,20,"['Drama', 'Fantasy']",An angel and a human make contact when one of them commits suicide,Better the devil you know than the good you don't know,['Jacinto Montero Mendoza'],[],['Divita Films'],1,['AR'],['es'],,0.0,0
2,,Mirada,10,100,3,['Horror'],Man is bored due to lockdown. He starts losing his grip on reality after spending so much time staring at screens and watching movies. He receives an unexpected visit from inside the screen changing his life forever,Don´t lose yourself,['Ricardo Mercader'],[],[],1,[],[],,0.0,0
