,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2018-12-21,Welcome to Marwen,39000000,12780692,116,"['Comedy', 'Drama', 'Fantasy']","When a devastating attack shatters Mark Hogancamp and wipes away all memories, no one expected recovery. Putting together pieces from his old and new life, Mark meticulously creates a wondrous town named Marwen where he can heal and be heroic. As he builds an astonishing art installation — a testament to the most powerful women he knows — through his fantasy world, he draws strength to triumph in the real one.",You can't put this hero in a box.,['Robert Zemeckis'],"['Steve Carell', 'Leslie Mann', 'Merritt Wever', 'Janelle Monáe', 'Diane Kruger', 'Falk Hentschel', 'Eiza González', 'Gwendoline Christie', 'Stefanie von Pfetten', 'Leslie Zemeckis', 'Siobhan Williams', 'Neil Jackson', ""Matt O'Leary"", 'Eric Keenleyside', 'Veena Sood', 'Christie-Lee Britten', 'Matthew Kevin Anderson', 'Nikolai Witschl', 'Matt Ellis', 'Conrad Coates', 'Samantha Hum', 'Jason Burkart', 'Robert Mann', 'Alexander Lowe', 'Sharon Crandall', 'Patrick Roccas', 'Kate Gajdosik']","['DreamWorks Pictures', 'ImageMovers']",1,['US'],['en'],tt3289724,6.573,1017
1,2014-10-06,نا معلوم افراد,640000,1400000,137,"['Thriller', 'Comedy']",An incident brings together three reckless and struggling souls who are chasing their ambitions and desires.,,['Nabeel Qureshi'],"['Fahad Mustafa', 'Javed Sheikh', 'Mohsin Abbas Haider', 'Urwa Hocane', 'Kubra Khan', 'Salman Shahid', 'Amber Wajid', 'Irfan Motiwala', 'Saleem Mairaj', 'Nayyar Ejaz', 'Amanullah Khan', 'Mehwish Hayat', 'Zaheen Tahira', 'Shahnaz Pervaiz', 'Ali Rizvi']",['Filmwala Pictures'],1,['PK'],['ur'],tt3801252,6.5,10
2,2016-09-15,Blair Witch,5000000,45172994,89,"['Thriller', 'Horror']",Students on a camping trip discover something sinister is lurking beyond the trees.,There's something evil hiding in the woods.,['Adam Wingard'],"['James Allen McCune', 'Callie Hernandez', 'Brandon Scott', 'Corbin Reid', 'Valorie Curry', 'Wes Robinson', 'Rei Hance']","['Vertigo Entertainment', 'Lionsgate', 'Room 101', 'Snoot Entertainment']",3,"['CA', 'US']",['en'],tt1540011,5.216,1674
3,2018-06-06,Jurassic World: Fallen Kingdom,170000000,1310466296,129,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",The park is gone.,['J. A. Bayona'],"['Chris Pratt', 'Bryce Dallas Howard', 'Rafe Spall', 'Toby Jones', 'Ted Levine', 'BD Wong', 'Jeff Goldblum', 'Justice Smith', 'Daniella Pineda', 'James Cromwell', 'Isabella Sermon', 'Geraldine Chaplin', 'Peter Jason', 'Robert Emms', 'Kevin Layne', 'John Schwab', 'Sam Redford', 'Charlie Rawes', 'Alex Dower', 'Honey Holmes', 'Neil Bishop', 'Philippa Thomas', 'Ronan Summers', 'Cory Peterson', 'Jeremy Gilbert', 'Victor Gardener', 'Daryl Kwan', 'Eric Kofi Abrefa', 'Ben Peel', 'Mark Griffin', 'Paul Sockett', 'Doug Robson', 'Gil Kolirin', 'Nathan Florence', 'Mitchell L. Johnson', 'Ian Copley-Johnson', 'Michael Papajohn', 'Daniel Stisen', 'Gary Weeks']","['Universal Pictures', 'Amblin Entertainment']",5,['US'],"['en', 'ru']",tt4881806,6.559,10317
4,2014-08-25,Shahre Mooshha 2,2500000,4000000,0,['Music'],Three little mice found a kitten in a mice town... All the mice in the town scared except the little mice...,,['Marziyeh Boroumand'],['Nima Fallah'],[],1,[],['fa'],tt3507794,7.0,1
5,2015-07-25,Marco Rima - Made in Hellwitzia,20,20,0,['Comedy'],,,[],['Marco Rima'],['Impuls Film'],1,['CH'],[],,0.0,0
6,2015-07-10,西游记之大圣归来,10000000,150000000,89,"['Fantasy', 'Animation', 'Comedy']","The all-powerful Monkey King once roamed freely between Heaven and Earth, but after angering the Gods, he was imprisoned within an ice cage deep within the mountains. 500 years later, monsters attack a small village and a child flees to the mountains. Unknowingly, the child releases the Monkey King from his curse. With the help and encouragement from this special child, Monkey King saves the village from the evil monsters.",,['Tian Xiao Peng'],"['Zhang Lei', 'Lin Zijie', 'Tong Zirong', 'Liu Beichen', 'Zhou Shuai', 'Liu Jiurong', 'Zhao Qian Jing', 'James Hong', 'Jackie Chan', 'Roger Craig Smith']","['Hengdian Chinese Film Production Co.', 'Beijing Weiyingshidai Culture & Media', 'Shandong Film & TV Group', 'S&C Pictures', 'October Media', 'October Animation Studio']",1,['CN'],"['cn', 'zh']",tt4644382,6.88,204
7,2016-03-03,Cien años de perdón,6700000,9074836,96,"['Crime', 'Thriller']","Valencia, Spain. On a rainy morning, six armed men in disguise assault a bank. But what seemed like an easy heist, quickly goes wrong with nothing unfolding as planned, and mistrust quickly builds between the two leaders of the gang.",Who can you trust?,['Daniel Calparsoro'],"['Luis Tosar', 'Rodrigo de la Serna', 'Raúl Arévalo', 'Jose Coronado', 'Patricia Vico', 'Joaquín Furriel', 'Luciano Cáceres', 'Marian Álvarez', 'Luis Callejo', 'Miquel Fernández', 'Diego Starosta', 'Pablo Andrés Pinto', 'Joaquín Climent', 'Vicente Ayala', 'María Molins', 'Nani Jiménez', 'Alfredo Villa', 'Carles Francino']","['Canal+', 'Ibermedia', 'Eurimages', 'Telecinco Cinema', 'INCAA', 'Vaca Films', 'Fox International Productions', 'Telefe', 'Canal+ España', 'ICAA', 'Morena Films', 'Telefónica Studios', 'Mediaset España', 'K & S Films', 'Movistar+', 'Mare Nostrum Productions', 'Invasor Producción', 'Hispano Foxfilms S.A.E.']",1,"['AR', 'FR', 'ES', 'US']",['es'],tt3655414,6.231,329
8,2016-01-28,Fifty Shades of Black,20000000,21164799,92,"['Romance', 'Comedy']",An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,Way shadier than gray.,['Michael Tiddes'],"['Marlon Wayans', 'Kali Hawk', 'Fred Willard', 'Mike Epps', 'Affion Crockett', 'Jane Seymour', 'Florence Henderson', 'Andrew Bachelor', 'Kate Miner', 'Tina Grimm', 'Alice Rietveld', 'Brad Schmidt', 'Mircea Monroe', 'Angel Laketa Moore', 'Elizabeth Ho', 'Stephen Todt', 'Craig Jordan', 'Dave Sheridan', 'Chaunte Wayans']","['IM Global', 'Open Road Films', 'Wayans Alvarez Productions']",1,['US'],['en'],tt4667094,4.851,1196
9,1939-11-13,Melodin från Gamla Stan,50,60,75,['Comedy'],"Swedish movie from 1939. In summer Stockholm live the unemployed musician Nisse trying to sell the songs to music publishers. One day the treasurer of a prominent publisher is arrested, on suspicion of theft of 10,000 crowns from a cash box. Nisse has, however, seen something suspicious.",,['Ragnar Frisk'],"['Nils Poppe', 'Carl Reinholdz', 'Harry Brandelius', 'Solveig Hedengran', 'Emil Fjellström', 'Gaby Stenberg', 'Gun Adler', 'Gösta Cederlund', 'Arne Lindblad', 'Magnus Kesster', 'Ragnar Widestedt', 'Åke Grönberg', 'Stellan Agerlo', 'Carl Andersson', 'Arthur Fischer', 'Millan Fjellström', 'Erik Frank', 'Hjördis Gille', 'Gösta Gustafson', 'Agda Helin', 'John Hilke', 'Stellan Johansson', 'Helge Karlsson', 'Helge Kihlberg', 'Curt Masreliez', 'Yngve Nyqvist', 'Artur Rolén', 'Julius Sjögren', 'Ingeborg Strandin', 'Birgitta Valberg', 'Tor Wallén', 'Yngwe Nyquist', 'Erik Johansson', 'Curt Broberg', 'Otto Adelby', 'Hanna Adelby', 'Verner Karlsson']",['Svensk Talfilm'],1,['SE'],['sv'],tt0031637,0.0,0
