,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2015-04-25,After Hours,15,175,3,['Horror'],"The janitor at a small, suburban high school suspects he might not be alone in the building while working the night shift.",,[],[],[],1,[],['en'],,6.0,1
1,2012-07-16,الألماني,800000,66660,0,"['Action', 'Drama']","The film begins with the assault of the ""German"" (Mohammad Ramadan) on a young man on the way and killed him to steal his mobile and Jakt skin, while doing so anonymous person filming and sending video to one of the satellite channels that broadcast and ask parents to contact if anyone knows the personality of this thug, A spectator sends the announcer to ask his mother to appear on the television screen to tell his story. The mother agrees to get 15,000 pounds from the satellite channel to help the German escape and the events follow.","The events of the film revolve in a dramatic form about a young man, who lives in slums and his fame (the German), is a dangerous recorder, and is trying to reach the top through illegal methods and bullying.",['علاء الشريف'],"['Mohamed Ramadan', 'Rania Mallah', 'Ahmad Bedir', 'Dalia Al-Touny', 'Aaidah Riyadh', 'Nadia Al Iraqiya', 'Diaa Abdul Khaleq', 'Mounir Makram', 'محمود رمضان', 'سلوى عثمان', 'سعيد عبدالنعيم', 'أشرف فاروق']",[],1,['EG'],['am'],,0.0,0
2,2019-07-27,Afflatus,748,850,59,"['Horror', 'Mystery']","After losing everything beyond time, mankind seek to find inspiration in nature, in the void and in life itself, while struggling with dreams of future existence.",You can't create without destroying,['Peter Kovacs'],[],[],1,"['AT', 'HU', 'IT']",['xx'],tt10706724,10.0,2
