,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2018-10-26,"Pup-o, mă!",11000,100000,93,['Comedy'],In the village Rachitele the legend says if you kiss a girl on the Wool Day she will be your wife. Three shepherds are willing to do anything possible in order to kiss somebody.,,['Camelia Popa'],"['Alexandru Pop', 'Cosmin Seleși', 'Alin Panc', 'Cătălina Alexandra Grama', 'Constantin Cotimanis', 'Alexa Tofan', 'Alina Mandru', 'Romulus Stoicescu']",['videomix'],1,['RO'],['ro'],tt9063684,7.3,14
1,2021-08-19,Reminiscence,68000000,18717947,116,"['Mystery', 'Science Fiction']","Nicolas Bannister, a rugged and solitary veteran living in a near-future Miami flooded by rising seas, is an expert in a dangerous occupation: he offers clients the chance to relive any memory they desire. His life changes when he meets a mysterious young woman named Mae. What begins as a simple matter of lost and found becomes a passionate love affair. But when a different client's memories implicate Mae in a series of violent crimes, Bannister must delve through the dark world of the past to uncover the truth about the woman he fell for.",Don't look back.,['Lisa Joy'],"['Hugh Jackman', 'Rebecca Ferguson', 'Thandiwe Newton', 'Cliff Curtis', 'Marina de Tavira', 'Daniel Wu', 'Mojean Aria', 'Brett Cullen', 'Natalie Martinez', 'Angela Sarafyan', 'Javier Molina', 'Sam Medina', 'Norio Nishimura', 'Roxton Garcia', 'Giovannie Cruz', 'Woon Young Park', 'Han Soto', 'Rey Hernandez', 'Gabrielle Echols', 'Andrew Masset', 'Nico Parker', 'Barbara Bonilla', 'Jules Hartley', 'Jorge Longoria', 'Ivan Mbakop', 'Michael Papajohn', 'Claire Lanay', 'Aria Castillo', 'Roger Magee', 'René Mena', 'Enrique Abada', 'Laci Broussard', 'Shawn Carter Peterson', 'Thomas Francis Murphy', 'Jean Claude Leuyer', 'Teri Wyble', 'Autumn Dial', 'Renes Rivera', 'Myles Humphus']","['FilmNation Entertainment', 'Michael De Luca Productions', 'Kilter Films']",1,['US'],['en'],tt3272066,6.763,1350
2,2019-09-06,Paintings In The Dark,10000,125000,0,['Drama'],Based on a blind painter throughout his life journey,A Blind Man's Extreme Journey,['Satyajit Das'],"['Rashed Rahman', 'Sayantee Chattaraj', 'Biswajit Ghosh', 'Sreela Tripathy', 'Suraajit chowdhury', 'Tiyas Dey', 'Akash', 'Surajit Maity']",[],1,['IN'],"['bn', 'en']",,0.0,0
3,2022-03-24,రౌద్రం రణం రుధిరం,69000000,160000000,182,"['Action', 'Drama']",A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,"Rise, roar, revolt.",['S. S. Rajamouli'],"['N.T. Rama Rao Jr.', 'Ram Charan', 'Alia Bhatt', 'Ajay Devgn', 'Ray Stevenson', 'Alison Doody', 'Olivia Morris', 'Samuthirakani', 'Shriya Saran', 'Chatrapathi Sekhar', 'Makrand Deshpande', 'Rajiv Kanakala', 'Rahul Ramakrishna', 'Edward Sonnenblick', 'Ahmareen Anjum', 'Twinkle Sharma', 'Varun Buddhadev', 'Spandan Chaturvedi', 'R. Bhakti Klein', 'Mark Bennington', 'Gaurav Pareek', ""Alexx O'Nell""]","['Lyca Productions', 'DVV Entertainment', 'Pen Studios']",1,['IN'],"['en', 'te']",tt8178634,7.78,494
