,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,2011-08-09,The Help,25000000,216639112,146,['Drama'],"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",Change begins with a whisper.,['Tate Taylor'],"['Emma Stone', 'Viola Davis', 'Octavia Spencer', 'Bryce Dallas Howard', 'Jessica Chastain', 'Anna Camp', ""Ahna O'Reilly"", 'Allison Janney', 'Mary Steenburgen', 'Mike Vogel', 'Sissy Spacek', 'Chris Lowell', 'Cicely Tyson', 'Aunjanue Ellis', 'David Oyelowo', 'Dana Ivey', 'LaChanze', 'Brian Kerwin', 'Wes Chatham', 'Ted Welch', 'Shane McRae', 'Roslyn Ruff', 'Tarra Riggs', 'Leslie Jordan', 'Tiffany Brouwer', 'Carol Sutton', 'Ashley Johnson', 'Ritchie Montgomery', 'Nelsan Ellis', 'Cleta Elaine Ellington', 'Amy Beckwith', 'Julie Ann Doan', 'Lamar Lott', 'Charles Orr', ""Ya'lita Thompson""]","['1492 Pictures', 'Harbinger Pictures']",1,['US'],['en'],tt1454029,8.198,6743,Released
1,2018-04-19,Super Troopers 2,13500000,18850674,100,"['Comedy', 'Crime', 'Mystery']","When an international border dispute arises between the U.S. and Canada, the Super Troopers- Mac, Thorny, Foster, Rabbit and Farva, are called in to set up a new Highway Patrol station in the disputed area.",The mustache rides. Again.,['Jay Chandrasekhar'],"['Kevin Heffernan', 'Steve Lemme', 'Erik Stolhanske', 'Emmanuelle Chriqui', 'Lynda Carter', 'Rob Lowe', 'Marisa Coughlan', 'Brian Cox', 'Tyler Labine', 'Will Sasso', 'Maggie Castle', 'Damon Wayans Jr.', 'Fred Savage', 'Hayes MacArthur', 'Seann William Scott', 'Kateri DeMartino', 'Arthur Hiou', 'Katherine Skelton', 'Clifton Collins Jr.', 'Paul Walter Hauser', 'Jim Gaffigan', 'Jimmy Tatro', 'Kimberly Howe', 'Bruce McCulloch', 'Marcel Laverdet', 'Jolie Martin', 'Alexa Don']","['Fox Searchlight Pictures', 'Broken Lizard Industries', 'Cataland Films', ""Needle's Eye Productions""]",2,['US'],['en'],tt0859635,5.837,375,Released
2,2009-10-29,Kolpaçino,2000000,3004329,98,"['Action', 'Comedy']",Lives of several low-level gangsters get intertwined after a game of craps in their underground casino ends in a bloody shootout.,An Urban Legend,['Atıl İnanç'],"['Şafak Sezer', 'Aydemir Akbaş', 'Ali Sürmeli', 'Hakan Ural', 'Gizem Denizci', 'Ali Çatalbaş', 'İrfan Aslanhan', 'Hüseyin Elmalıpınar']",['İyi Seyirler Film'],1,['TR'],['tr'],tt1523486,5.512,43,Released
3,2001-08-31,Lovely & Amazing,250000,4186931,91,"['Comedy', 'Drama', 'Romance']","An intimate family portrait of four hapless but resilient women and the bittersweet lessons they learn in keeping up with the hectic demands of their individual neuroses. Each of the women seeks redemption in her own haphazard way, but whatever salvation they find is illusory and short-lived.",,[],"['Catherine Keener', 'Brenda Blethyn', 'Emily Mortimer', 'Raven Goodwin', 'Aunjanue Ellis', 'Clark Gregg', 'Jake Gyllenhaal', 'James Le Gros', 'Michael Nouri', 'Dermot Mulroney', 'Troy Ruptash', 'Ileen Getz', 'Kristen Dalton', 'Romy Rosemont', 'Brooke Allison', 'Jennifer Zehnder', 'Ashlynn Rose', 'Dreya Weber', 'Christine Mourad', ""Mariah O'Brien"", 'Evan Mirand', 'Ivy Strohmaier', 'Spencer Garrett', 'Branden Williams', 'Nate Richert', 'Cory Joffe', 'Dawn Saucier', 'Tennison Hightower', 'Lee Garlington', 'John Srednicki', 'Jeremy Kramer', 'Madeline Moskowitz', 'Eric Winzenried', 'Greer Goodman', 'Scott Adsit', 'Ryan Wolfe', 'Alan Naggar', 'Elayne Taylor']",['Lionsgate Home Entertainment'],1,['US'],['en'],tt0258273,6.203,64,Released
4,2006-02-17,Hacivat Karagöz Neden Öldürüldü?,3500000,3004541,135,"['Comedy', 'Drama', 'History']","Killing The Shadows is a bawdy comic fable set in the Ottoman Empire during the mid-14th century based on two legendary figures in Turkish folkore, the jester Hacivat (Beyazit Ozturk) and the nomad Karagoz (Haluk Bilginer), men who apparently lived and died by their sense of humour.",,['Ezel Akay'],"['Haluk Bilginer', 'Beyazıt Öztürk', 'Şebnem Dönmez', 'Güven Kıraç', 'Ragıp Savaş', 'Ayşe Tolga', 'Altay Özbek', 'Hasan Ali Mete', 'Serdar Gökhan', 'Ayşen Gruda', 'Nihal Yalçın']",['Istisnai Filmler ve Reklamlar (IFR)'],1,['TR'],['tr'],tt0485510,7.0,53,Released
5,2006-09-15,The Ground Truth,500000,12207,72,"['Documentary', 'War']",Sometimes the greatest act of courage is to tell the truth. Hear and witness our soldiers in this penetrating film. The shocking Iraq War ground conflict is only a prelude to the even more challenging battles these reluctant heroes face upon their return home.,,[],"['Sean Huze', 'Robert Acosta', 'Kelly Dougherty']",[],1,['US'],['en'],tt0446345,6.5,2,Released
6,2010-11-25,ब्रेक के बाद,2600000,427628,120,"['Drama', 'Comedy', 'Romance']","Aaliya is not ready for commitment even after a decade-long friendship with Abhay. She remains indifferent when he follows her to Australia, but is finally shaken when he announces his marriage.",,['Danish Aslam'],"['Imran Khan', 'Deepika Padukone', 'Shahana Goswami', 'Sharmila Tagore', 'Lillete Dubey', 'Navin Nischol', 'Gaurav Nanda', 'Suparna Marwah', 'Parzaan Dastur', 'Namit Shah', 'Ziyah Vastani', 'Neelu Kohli']","['Kunal Kohli Productions', 'Reliance Entertainment']",1,['IN'],"['en', 'hi']",tt1578261,5.894,33,Released
7,1999-09-15,Simpatico,10000000,929606,106,"['Comedy', 'Drama']","As youths in Azusa, Vinnie, Carter, and Rosie pull off a racing scam, substituting winners for plodders and winning big bucks on long odds. When an official uncovers the scam, they set him up for blackmail. Jump ahead twenty years, Carter and Rosie are married, successful racers in Kentucky about to sell their prize stallion, Simpatico. Vinnie is a drunk in Pomona. Vinnie decides to make a play for Rosie, lures Carter to California, steals his wallet and heads for Kentucky with the original blackmail material. Carter begs Vinnie's friend, a grocery clerk named Cecilia, to follow Vinnie and get the stuff back that he has in a box. Will she succeed?",,['Matthew Warchus'],"['Nick Nolte', 'Jeff Bridges', 'Sharon Stone', 'Catherine Keener', 'Albert Finney', 'Shawn Hatosy', 'Kimberly Williams-Paisley', 'Liam Waite', 'Whit Crawford', 'Bob Harter', 'Angus T. Jones', 'Ken Strunk']","['Fine Line Features', 'Canal+', 'Emotion Pictures', 'Zeal Pictures']",1,"['FR', 'GB', 'US']",['en'],tt0174204,5.12,25,Released
8,2010-10-29,Burke & Hare,10000000,4791599,91,"['Comedy', 'Thriller', 'History', 'Horror']",Two 19th-century opportunists become serial killers so that they can maintain their profitable business supplying cadavers to an anatomist.,No Job Too Small. No Body Too Big. No Questions Asked.,['John Landis'],"['Simon Pegg', 'Andy Serkis', 'Isla Fisher', 'Georgia King', 'Tom Wilkinson', 'Tim Curry', 'Christopher Lee', 'Jessica Hynes', 'Bill Bailey', 'Stephen Merchant', 'Hugh Bonneville', 'David Schofield', 'Allan Corduner', 'Pollyanna McIntosh', 'Ronnie Corbett', 'Michael Smiley', 'David Hayman', 'Reece Shearsmith', 'Steve Speirs', 'John Woodvine', 'Duncan Duff', 'Ciaron Kelly', 'Ray Harryhausen', 'Simon Farnaby', 'Tom Meeten', 'Paul Whitehouse', 'Tom Urie', 'Ella Smith', 'Janet Whiteside', 'Jenny Agutter', 'Chris Obi', 'Michael Billington', 'Billy Riddoch', 'Emmanuel Hamon', 'Theo Hamon']","['Ealing Studios', 'Fragile Films', 'Quickfire Films', 'Prescience', 'Aegis Film Fund']",1,['GB'],['en'],tt1320239,6.103,394,Released
9,2011-01-28,From Prada to Nada,93,2500000,107,"['Comedy', 'Drama', 'Romance']","A whimsical fish-out-of-water story of two spoiled sisters: Nora (Camilla Belle), a law student, and Mary (Alexa Vega), an undergrad party girl, living with their father in a luxurious mansion in Beverly Hills. Mary has become so ""90210"" she refuses to admit she is of Mexican decent. When dad suddenly passes away, their posh lives are turned upside down. They discover they have been left penniless and are forced to move into their estranged aunt Aurelia's (Adriana Barraza) modest but lively home in the Latino-centric Boyle Heights neighborhood of East LA.",A riches to rags story.,['Angel Gracia'],"['Camilla Belle', 'Alexa PenaVega', 'April Bowlby', 'Wilmer Valderrama', ""Nicholas D'Agosto"", 'Adriana Barraza', 'Karla Souza', 'Leticia Fabian', 'Begoña Narváez', 'Mario Zaragoza', 'Pablo Cruz Guerrero']","['Lewis Gilbert Productions', 'Lionsgate', 'OddLot Entertainment', 'Televisa', 'Hyperion Films']",1,['US'],['en'],tt0893412,5.5,286,Released
