,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2018-06-01,Action Point,19000000,5059608,85,"['Comedy', 'Drama']",A daredevil designs and operates his own theme park with his friends.,Real Stunts. Real Thrills. Real Messed Up.,['Tim Kirkby'],"['Johnny Knoxville', 'Chris Pontius', 'Clover Nee', 'Eleanor Worthington-Cox', 'Susan Yeagley', 'Dan Bakkedahl', 'Camilla Wolfson', 'Johnny Pemberton', 'Brigette Lundy-Paine', 'Eric Manaka', 'Joshua Hoover', 'Conner McVicker', 'Matt Schulze', 'Michael Everson', 'Matthew Peterson', 'Leon Clingman', 'Aidan Whytock', 'Joe Vaz', 'Luyanda Biggz Kabanyane', 'Stavros Cassapis', 'Michael Ramanantsialonina', 'Matthew Wessels', 'Dana Schick', 'Siobhan Hodgson', 'Dean Fourie', 'Mhairi Fergusson', 'Dante Gabriel Thord-Gray']","['Paramount', 'Dickhouse Productions']",1,"['US', 'ZA']",['en'],tt6495770,5.431,297
1,2019-08-29,సాహో,51000000,55000000,171,"['Action', 'Thriller']","A battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.",,['Sujeeth'],"['Prabhas', 'Shraddha Kapoor', 'Jackie Shroff', 'Neil Nitin Mukesh', 'Murali Sharma', 'Mandira Bedi', 'Arun Vijay', 'Vennela Kishore', 'Prakash Belawadi', 'Evelyn Sharma', 'Supreet', 'Chunky Pandey', 'Lal', 'Mahesh Manjrekar', 'Tinnu Anand', 'Aditya Srivastava', 'Jacqueline Fernandez', 'Girish Garladinne', 'Kumar Raja Venati', 'Naveen Varma Ganapathiraju', 'Sivakrishna', 'Sasha Chettri', 'Mukhtar Khan', 'Franaita Jijina']",['UV Creations'],1,['IN'],['te'],tt6836936,6.234,64
2,2018-09-27,Night School,29000000,33157615,111,['Comedy'],"Teddy Walker is a successful salesman whose life takes an unexpected turn when he accidentally blows up his place of employment. Forced to attend night school to get his GED, Teddy soon finds himself dealing with a group of misfit students, his former high school nemesis and a feisty teacher who doesn't think he's too bright.",,['Malcolm D. Lee'],"['Kevin Hart', 'Tiffany Haddish', 'Rob Riggle', 'Romany Malco', 'Taran Killam', 'Megalyn Echikunwoke', 'Al Madrigal', 'Mary Lynn Rajskub', 'Keith David', 'Anne Winters', 'Fat Joe', 'Ben Schwartz', 'Yvonne Orji', 'Bresha Webb', 'Jeff Rose', 'Donna Biscoe', 'Owen Harn', 'Zach Osterman', 'Janet Metzger', 'Tim Ware', 'Miriam Kulick', 'Curtis Washington', 'Maria Legarda', 'Brad Burroughs', 'Robert Larriviere', 'Faith Dillon', 'Bryan Brendle', 'Chris Hlozek', 'Tilda Del Toro', 'Bryan Gael Guzman', 'Isabella Ribeiro-Sonera', 'Nija Packer', 'Mason Guccione', 'Moses Jones', 'Courtney Jackson Emerson', 'Stephanie Marshall', 'DeVyne Agapito', 'Bernard Bell', 'Brooke Bowe', 'Noelle Jackson', 'Skyler Semien', 'Brooke Butler', 'Melissa LeEllen', 'David Dunston', 'Brian Kayode-Patrick Johnson']","['Universal Pictures', 'Perfect World Pictures', 'HartBeat Productions', 'Will Packer Productions']",1,['US'],"['es', 'fr', 'en']",tt6781982,6.178,1472
3,2019-01-16,The Kid Who Would Be King,59000000,32140970,120,"['Action', 'Adventure', 'Fantasy', 'Family']","Old-school magic meets the modern world when young Alex stumbles upon the mythical sword Excalibur. He soon unites his friends and enemies, and they become knights who join forces with the legendary wizard Merlin. Together, they must save mankind from the wicked enchantress Morgana and her army of supernatural warriors.",An army to fight. A demon to slay. A world to save. No pressure.,['Joe Cornish'],"['Louis Ashbourne Serkis', 'Dean Chaumoo', 'Tom Taylor', 'Rhianna Dorris', 'Denise Gough', 'Angus Imrie', 'Patrick Stewart', 'Rebecca Ferguson', ""Genevieve O'Reilly"", 'Noma Dumezweni', 'Nathan Stewart-Jarrett', 'Mark Bonnar', 'Alexandra Roach', 'Nick Mohammed', 'Adam Buxton', 'Claudie Blakley', 'Myra McFadyen', 'Adam Leese', 'Joey Ansah', 'Amir Wilson']","['20th Century Fox', 'Big Talk Productions', 'Working Title Films', 'TSG Entertainment']",1,['GB'],['en'],tt6811018,6.061,618
4,2019-05-01,UglyDolls,45000000,32450241,87,"['Family', 'Animation', 'Music']","In the adorably different town of Uglyville, weirdness is celebrated, strangeness is special and beauty is embraced as more than meets the eye. After traveling to the other side of a mountain, Moxy and her UglyDoll friends discover Perfection -- a town where more conventional dolls receive training before entering the real world to find the love of a child.",Things are about to get Ugly,['Kelly Asbury'],"['Kelly Clarkson', 'Nick Jonas', 'Janelle Monáe', 'Blake Shelton', 'Leehom Wang', 'Pitbull', 'Wanda Sykes', 'Gabriel Iglesias', 'Emma Roberts', 'Bebe Rexha', 'Charli XCX', 'Lizzo', 'Ice-T', 'Laura Nicole Harrison', 'Jane Lynch', 'Natalie Martinez', 'Stephen Zimpel', 'Enrique García Santos', 'Rob Riggle', 'Afi Ekulona', 'Jacques Colimon', 'Poonam Basu', 'Keith Harrison', 'Laura Schein', 'Susana Raposo', 'Pete Gustin']","['Reel FX Creative Studios', 'STX Entertainment', 'Original Force Animation', 'Shanghai Alibaba Pictures', 'Huaxia Film Distribution']",1,"['CA', 'CN', 'US']",['en'],tt1946502,6.68,375
5,2021-07-09,Benedetta,24350000,2652725,131,"['Drama', 'History', 'Romance']",A 17th-century nun becomes entangled in a forbidden lesbian affair with a novice. But it is Benedetta's shocking religious visions that threaten to shake the Church to its core.,,['Paul Verhoeven'],"['Virginie Efira', 'Charlotte Rampling', 'Daphne Patakia', 'Lambert Wilson', 'Olivier Rabourdin', 'Louise Chevillotte', 'Hervé Pierre', 'Clotilde Courau', 'David Clavel', 'Guilaine Londez', 'Justine Bachelet', 'Lauriane Riquet', 'Eléna Plonka', 'Héloïse Bresc', 'Jonathan Couzinié', 'Vinciane Millereau', 'Jérôme Chappatte', 'Ewan Ribard', 'Nicolas Béguinot', 'Satya Dusaugey', 'Nicolas Gaspar', 'Benjamin Penemaria', 'Antoine Lelandais', 'Frédéric Sauzay', 'Sophie Breyer', 'Célia Kaci', 'Alexia Chardard', 'Sébastien Chabane', 'Boris Gillot', 'Léa Lopez', 'Olga Milshtein', 'Pascal Le Corre', 'Raphaël Potier', 'Fabrice Cals', ""Quentin D'Hainaut"", 'Gaëlle Jeantet']","['France 2 Cinéma', 'Canal+', 'CNC', 'France 3 Cinéma', 'France Télévisions', 'Pathé', 'SBS Productions', 'Ciné+', ""Région Provence-Alpes-Côte d'Azur"", 'Netherland Filmfund', 'Topkapi Films', 'Belga Productions', 'Belga Films Fund', 'Palatine Etoile 16', 'Indéfilms 7', 'Cofinova 15', 'Cinémage 13', 'Cofimage 30']",1,"['BE', 'FR', 'NL']","['fr', 'la']",tt6823148,6.704,680
6,2018-04-13,Overboard,12000000,91244913,112,"['Romance', 'Comedy']","A spoiled, wealthy yacht owner is thrown overboard and becomes the target of revenge from his mistreated employee.",A riches to rags story. If only he could remember it.,['Rob Greenberg'],"['Anna Faris', 'Eugenio Derbez', 'Eva Longoria', 'John Hannah', 'Swoosie Kurtz', 'Mel Rodriguez', 'Josh Segarra', 'Hannah Nordberg', 'Alyvia Alyn Lind', 'Payton Lepinski', 'Fernando Luján', 'Cecilia Suárez', 'Mariana Treviño', 'Jesús Ochoa', 'Omar Chaparro', 'Adrián Uribe', 'Edgar Vivar', 'Per Graffman', 'Nils Hognestad', 'Thomas Nicholson', 'Javier Lacroix', 'Edwin Perez', 'Garry Chalk', 'Morgan Brayton', 'Darla Fay', 'Toby Hargrave', 'Elizabeth Bowen', 'Eric Keenleyside', 'Emily Maddison', 'Cynthia Mendez', 'Angie Larocque', 'Michael Karl Richards', 'Natalia Stenz', 'Linda Pollard', 'David Mathews', ""Kerry O'Donovan"", 'Lia Farrelly-Hodge', 'Celeste Ziegler', 'Stephi Chin-Salvo', 'Tara Erica Moore', 'Lee Shan Gibson', 'Guy Christie', 'Liam Tait', 'Jody Glenham', 'Daniel Ruiz', 'Israel Ogunsakin', 'Luis Meglar', 'Malcolm Aiken', 'Adrian Essiet', 'Ron Bottitta', 'Natalie Kay Dunn', 'Davin Mackay', 'Kennith Overbey']","['Metro-Goldwyn-Mayer', 'Pantelion Films', '3Pas Studios']",1,['US'],"['en', 'fr', 'no', 'es']",tt1563742,6.7,1218
7,2020-02-12,Sonic the Hedgehog,85000000,306766470,99,"['Action', 'Science Fiction', 'Comedy', 'Family']","Powered with incredible speed, Sonic The Hedgehog embraces his new home on Earth. That is, until Sonic sparks the attention of super-uncool evil genius Dr. Robotnik. Now it’s super-villain vs. super-sonic in an all-out race across the globe to stop Robotnik from using Sonic’s unique power for world domination.",A whole new speed of hero.,['Jeff Fowler'],"['James Marsden', 'Ben Schwartz', 'Tika Sumpter', 'Natasha Rothwell', 'Adam Pally', 'Neal McDonough', 'Jim Carrey', 'Lee Majdoub', 'Tom Butler', 'Frank C. Turner', 'Melody Nosipho Niemann', 'Shannon Chan-Kent', 'Brad Kelly', 'Elfina Luk', 'Garry Chalk', 'Michael Hogan', 'Peter Bryant', 'Jeremy Arnold', 'Jeanie Cloutier', 'Emma Oliver', 'Bailey Skodje', 'Dean Petriw', 'Lisa Chandler', 'Chris Gailus', 'Bethel Lee', 'Anthony Santiago', 'Jeremiah Oh', 'Charles Heffernan', 'Terence Kelly', 'Sean Campbell', 'Scott Patey', 'Sandy Robson', 'Andrea Marcum', 'Benjamin Valic', 'Donna Jay Fulks', ""Colleen O'Shaughnessey"", 'Nicholas Dohy', 'Debs Howard', 'Leanne Lapp', 'Nadeen Lightbody', 'John Specogna', 'Steve Warky Nunez']","['Paramount', 'Original Film', 'Blur Studio', 'Marza Animation Planet']",2,"['JP', 'US']",['en'],tt3794354,7.372,8352
8,2019-08-02,The Angry Birds Movie 2,65000000,147792047,97,"['Animation', 'Comedy', 'Adventure', 'Family']","Red, Chuck, Bomb and the rest of their feathered friends are surprised when a green pig suggests that they put aside their differences and unite to fight a common threat. Aggressive birds from an island covered in ice are planning to use an elaborate weapon to destroy the fowl and swine.",Frenemies Unite,['Thurop Van Orman'],"['Jason Sudeikis', 'Josh Gad', 'Leslie Jones', 'Bill Hader', 'Rachel Bloom', 'Awkwafina', 'Sterling K. Brown', 'Eugenio Derbez', 'Tiffany Haddish', 'Danny McBride', 'Peter Dinklage', 'Pete Davidson', 'Zach Woods', 'Dove Cameron', 'Maya Rudolph', 'JoJo Siwa', 'Tony Hale', 'Lil Rel Howery', 'Nicki Minaj', 'Beck Bennett', 'Gaten Matarazzo', 'Brooklynn Prince', 'Genesis Tennon', 'Alma Versano', 'Faith Margaret Kidman-Urban', 'Sunday Rose Kidman-Urban', 'Colleen Ballinger', 'David Dobrik', 'Alex Hirsch', 'Anthony Padilla', 'Mason Ramsey', 'Sean Charmatz', 'Nolan North', 'Suzanne Waters', 'Asher Bishop', 'Hazel Van Orman', 'Leif Van Orman', 'Nova Reed', 'Kaci Simotas', 'Eliza Cohen', 'Samantha Cohen', 'Isla Andrews', 'Newell Alexander', 'Rosemary Alexander', 'Steve Alterman', 'Stephen Apostolina', 'Tom Bromhead', 'Mitch Carter', 'Brook Chalmers', 'June Christopher', 'David Cowgill', 'Peter Falls', 'Jeff Fischer', 'Jackie Gonneau', 'Grey DeLisle', 'Bridget Hoffman', 'Richard Steven Horvitz', 'Rif Hutton', 'Joanna Leeds', 'Scott Menville', 'David Michie', 'Edie Mirman', 'Juan Pope', 'Michelle Ruff', 'Michael Sorich', 'Kelly Stables', 'Lynnanne Zager', 'Richard McGregor']","['Columbia Pictures', 'Sony Pictures Animation', 'Rovio Entertainment', 'Rovio Animation']",2,"['FI', 'US']",['en'],tt6095472,7.142,1358
9,2018-08-02,The Spy Who Dumped Me,40000000,33562069,117,"['Action', 'Comedy']",Best friends Audrey and Morgan unwittingly become entangled in an international conspiracy when Audrey’s ex-boyfriend shows up at their apartment with a team of deadly assassins on his trail.,They got this.,['Susanna Fogel'],"['Mila Kunis', 'Kate McKinnon', 'Justin Theroux', 'Sam Heughan', 'Lolly Adefope', 'Dustin Demri-Burns', 'Hasan Minhaj', 'Mirjam Novak', 'Kev Adams', 'Gillian Anderson', 'Ivanna Sakhno', 'Jane Curtin', 'Paul Reiser', 'Fred Melamed', 'James Fleet', 'Carolyn Pickles', 'Tom Stourton', 'Ruby Kammer', 'Genevieve McCarthy', 'Gyula Mesterházy', 'Lívia Hábermann', 'Hugo Bolton', 'Tamás Szabó Sipos', 'Ólafur Darri Ólafsson', 'Justine Wachsberger', 'Kevin Ezekiel Ogunleye', 'Nicholas Wittman', 'László Áron', 'Ágnes Bánfalvy', 'Blanka Györfi-Tóth', 'Barnabás Réti', 'András Velkov', 'Anita Anand', 'Attila Árpa', 'Peter Schueller', 'Vilma Szécsi', 'Patrícia Tary', 'Carolyn Cicalese', 'Hanna Milovits', 'Rebeka Eva Cook', 'Bettina Csipszer', 'Ivett Diána Bukovinszki', 'Kornelia Horvath', 'Noelle Loizos', 'Ernst-Marcus Thomas', 'Hélène Cardona', 'Roderick Hill']","['Imagine Entertainment', 'Lionsgate', 'Bron Studios']",1,"['CA', 'US']","['en', 'fr', 'de', 'lt', 'ru']",tt6663582,6.416,1972
