,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,2011-05-03,Hollywood & Wine,5000000,8000000,95,"['Comedy', 'Thriller']","Diane Blaine has the face of a movie star. Unfortunately, fallen star/tabloid queen Jamie Stephens already made it famous. Hollywoods constant rejection due to what Diane refers to as ""TJS"" (""Too Jamie Stephens"") has made her bitter, frustrated....and, yes, whiny. Co-worker/boyfriend Jack Sanders doesn't help matters. His idea of ambition is letting it ride. Now he's in major debt to a trigger-happy mobster who, interestingly enough, has a thing for Jamie Stephens. Jack's only way out? Convince Diane to be Jamie and wipe out the debt having one meal with a made man. It's literally the performance of her life. With Jack's on the line.",Fake it 'till you make it,[],"['Chazz Palminteri', 'Nicky Whelan', 'Norm Macdonald', 'Chris Kattan', 'Horatio Sanz', 'Vivica A. Fox', 'Pamela Anderson', 'Chris Parnell', 'David Spade', 'Colleen Camp', 'Tracy Dali', 'Brandi Engel', 'Sofia Karstens', 'Elizabeth Ann Townsend', 'Nicole Oring', 'Lexi Baxter', 'Meriah Nelson', 'Tabitha Taylor', 'Diana Terranova', 'Jessica McClain', 'Stephanie Bertoni', 'Veerta Motiani', 'Josie Goldberg']",['Aloe Entertainment'],1,['US'],['en'],tt1196170,4.0,10,Released
1,2011-11-02,Tower Heist,75000000,152930623,104,"['Action', 'Comedy']","A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.",Ordinary guys. An extraordinary robbery.,[],"['Ben Stiller', 'Eddie Murphy', 'Casey Affleck', 'Alan Alda', 'Matthew Broderick', 'Téa Leoni', 'Michael Peña', 'Judd Hirsch', 'Gabourey Sidibe', 'Stephen McKinley Henderson', 'Nina Arianda', 'Marcia Jean Kurtz', 'Juan Carlos Hernández', ""Harry O'Reilly"", 'James Colby', 'Peter Van Wagner', 'Zeljko Ivanek', 'Clem Cheung', 'Annika Pergament', 'Lynne Rossetto Kasper', 'Kate Upton', 'Jessica Szohr', 'Judianny Compres', 'Veronika Korvin', 'Johnny Tran', 'Julie T. Pham', 'Bojun Wang', 'Spencer Malnik', 'Nathan Asher Malnik', 'Jarod Malnik', 'Christina Jacquelyn Calph', 'Kevin Pariseau', 'Desmin Borges', 'Omar Nicodemo', 'Brian Distance', 'Village', 'Les Papp II', 'Christopher Rivaro', ""Craig 'Radioman' Castaldo"", 'Heavy D', 'Robert Clohessy', 'Paul Hickert', 'Kelvin Davis', 'Christopher Breslin', 'Ty Jones', 'Ted Lochwyn', 'Troy Hall', 'Juanita Howard', 'Monika Plocienniczak', 'Frank Pesce', 'Alix Cross', 'Skyler Wright', 'Barbara Vincent', 'Darra Boyd', 'Gabriella Baldacchino']","['Universal Pictures', 'Image Entertainment', 'Relativity Media', 'Rat Entertainment']",1,['US'],['en'],tt0471042,6.06,2529,Released
2,2004-01-24,Kostya Tszyu: Destiny,10000,1000000,72,['Documentary'],"Kostya Tszyu - Destiny. The undisputed champion of the world. The thoughts, tactics and passions of Kostya Tszyu as he makes no excuses about knocking down those in his path to reach his destiny. Russian born Australian boxer Kostya Tszyu is one of the only three current fighters to reign as Undisputed Champion of the World in their weight division. Kostya Tszyu Destiny features his three world title unification fights along with commentaries on each of the fights by the champion himself. Includes special appearances by John Lewis and Paul Upham, and an exclusive film clip 'Something Worth Fight For' - the official Kostya Tszyu theme song. Written by Charles Stewart",Kostya Tszyu - Destiny. The undisputed champion of the world.,[],"['Kostya Tszyu', 'Paul Upham', 'Johnny Lewis']",[],1,[],[],tt0978341,5.2,2,Released
3,1989-02-03,Kinjite: Forbidden Subjects,5000000,3416846,97,"['Action', 'Drama', 'Thriller']",A brutal Los Angeles police lieutenant is determined to bust up an organization that forces underage girls into prostitution.,Desire. Temptation. Revenge.,['J. Lee Thompson'],"['Charles Bronson', 'Perry Lopez', 'Juan Fernández', 'James Pax', 'Peggy Lipton', 'Sy Richardson', 'Marion Yue', 'Bill McKinney', 'Gerald Castillo', 'Nicole Eggert', 'Amy Hathaway', 'Kumiko Hayakawa', 'Michelle Wong', 'Sam Chew Jr.', 'Sumant', 'Alex Hyde-White', 'Jim Ishida', 'Helen Lin', 'Veronica Carothers', 'Michael Chong', 'Rob Narita', 'Bill Brochtrup', 'Tom Morga', 'Marilyn Dodds Frank', 'Jerome Thor', 'Robert Axelrod', 'Danny Trejo', 'Jophery C. Brown']","['Cannon Group', 'Golan-Globus Productions']",1,['US'],['en'],tt0097670,5.482,56,Released
4,2003-11-14,The Mother,2500000,1062253,112,"['Drama', 'Romance']","A grandmother has a passionate affair with a man half her age, who is also sleeping with her daughter.",It can take a lifetime to feel alive.,['Roger Michell'],"['Anne Reid', 'Daniel Craig', 'Peter Vaughan', 'Steven Mackintosh', 'Cathryn Bradshaw', 'Anna Wilson-Jones', 'Danira Gović', 'Izabella Telezynska', 'Oliver Ford Davies']",[],1,[],['en'],tt0323298,6.159,41,Released
5,2008-10-27,Deadlands 2: Trapped,5800,2950,85,"['Horror', 'Science Fiction', 'Thriller']","The United States Government has developed a highly effective nerve gas that is unleashed upon the residents of a small Maryland City. During the top secret exercise the infected citizens begin to convert each resident into a sort of living zombie, until the remaining town residents, 6 total strangers, are trapped inside a movie theater cineplex.","In one night, One city will fight against an enemy that never stops, shows no emotion, no remorse, and is already... DEAD!",[],"['Jim Krut', 'Joseph D. Durbin', 'Josh Davidson', 'Corrine Brush', 'Gary Ugarek']",[],2,['US'],['en'],tt1103262,6.5,8,Released
6,1998-11-11,Cold Harvest,3600000,110765,89,"['Action', 'Thriller', 'Science Fiction']",A bounty hunter protects his dead brother's wife in a lawless world after a comet has devastated much of earth.,The Blackened Skies of Earth's Future ... A Wasteland Where the Only Law is a New Breed of Bounty Hunters,['Isaac Florentine'],"['Gary Daniels', 'Bryan Genesse', 'Barbara Crampton', 'David Sherwood', 'Isaac Mavimbela', 'Chris Buchanan', 'Greg Melvill-Smith', 'David Dukas', 'Rohan Coll', 'Ian Roussouw', 'Michelle Levine', 'Justin Illusion', 'Melanie Walker', 'Lee-Anne Liebenberg', 'Shane Howarth', 'Ian Yule', 'Gordon Mulholland', 'Lynne Maree', 'John Lesley', 'Robert Colman', 'Iain Paton', 'Tony Caprari', 'John Simon Jones', 'Dan Robbertse', 'Frikkie Botes']","['Millennium Films', 'Nu World Services']",1,['US'],['en'],tt0167832,5.444,9,Released
7,2006-01-26,小孩不笨2,1070000,2970000,124,['Drama'],"A 2006 Singaporean film and the sequel to the 2002 film, I Not Stupid. A satirical comedy, I Not Stupid Too portrays the lives, struggles and adventures of three Singaporean youths - 15-year-old Tom, his 8-year-old brother Jerry and their 15-year-old friend Chengcai - who have a strained relationship with their parents. The film explores the issue of poor parent-child communication.",Can we talk?,['Jack Neo'],"['Shawn Lee', 'Ashley Leong', 'Joshua Ang', 'Huang Yiliang', 'Xiang Yun', 'M.C. King', 'Selena Tan', 'Anna Ru Ping Lim', 'Natalli Ong']",['MediaCorp Raintree Pictures'],1,['SG'],"['en', 'zh']",tt0475179,8.1,12,Released
8,2011-06-03,"Love, Wedding, Marriage",13000000,51917,90,"['Comedy', 'Romance']",A happy newlywed marriage counselor's views on wedded bliss get thrown for a loop when she finds out her parents are getting divorced.,Here comes the ride.,[],"['Mandy Moore', 'Kellan Lutz', 'Jessica Szohr', 'Autumn Federici', 'James Brolin', 'Jane Seymour', 'Michael Weston', 'Richard Reid', 'Christopher Lloyd', 'Alyson Hannigan', 'Colleen Camp', 'Julia Roberts', 'Alexis Denisof', 'Gabrielle Shuff']","['120dB Films', 'Scion Films', 'Voodoo Production Services', 'Chydzik Media Group', 'First Wedding Productions']",1,['US'],['en'],tt1436559,5.28,159,Released
9,2002-07-03,The Powerpuff Girls Movie,10000000,11411644,77,"['Animation', 'Action', 'Family']","Based on the hit animated television series, this feature film adaptation tells the story of how Blossom, Bubbles and Buttercup - three exuberant young girls - obtain their unique powers, become superheroes and join forces to foil evil mutant monkey Mojo Jojo's plan to take over the world.",Saving the world before bedtime!,[],"['Cathy Cavadini', 'Tara Strong', 'Elizabeth Daily', 'Tom Kane', 'Tom Kenny', 'Roger L. Jackson', 'Jennifer Hale', 'Jennifer Martin', 'Jeff Bennett', 'Rob Paulsen', 'Kevin Michael Richardson', 'Frank Welker', 'Phil LaMarr', 'Grey DeLisle', 'Roger Jackson', 'Grey DeLisle']","['Village Roadshow Pictures', 'Warner Bros. Pictures', 'Cartoon Network Studios']",1,"['GB', 'US']",['en'],tt0289408,6.547,236,Released
10,2010-11-20,パラノーマル・アクティビティ 第2章 TOKYO NIGHT,1350000,4160000,91,"['Horror', 'Thriller']","Koichi takes care of his sister, who has recently returned from a trip abroad in the United States as she is not well. While caring for her, he records evidence of ghosts in their home.",The nightmare continue...,['Toshikazu Nagae'],"['Aoi Nakamura', 'Noriko Aoyama', 'Kosuke Kujirai', 'Ayako Yoshitani', 'Kazuyoshi Tsumura', 'Maaya Morinaga', 'Tōze Yamada', 'Shinji Matsubayashi']","['IM Global', 'Cinema Sunshine', 'Presidio', 'Musashino Ad']",1,['JP'],['ja'],tt1728179,6.04,366,Released
11,2011-05-11,Midnight in Paris,17000000,151119219,94,"['Fantasy', 'Comedy', 'Romance']",A romantic comedy about a family traveling to the French capital for business. The party includes a young engaged couple forced to confront the illusion that a life different from their own is better.,,['Woody Allen'],"['Owen Wilson', 'Rachel McAdams', 'Kurt Fuller', 'Mimi Kennedy', 'Michael Sheen', 'Nina Arianda', 'Marion Cotillard', 'Léa Seydoux', 'Carla Bruni', 'Maurice Sonnenberg', 'Thierry Hancisse', 'Guillaume Gouix', 'Audrey Fleurot', 'Marie-Sohna Condé', 'Yves Heck', 'Alison Pill', 'Tom Hiddleston', 'Sonia Rolland', 'Corey Stoll', 'Daniel Lundh', 'Laurent Spielvogel', 'Thérèse Bourou-Rubinsztein', 'Kathy Bates', 'Marcial Di Fonzo Bo', 'Emmanuelle Uzan', 'Adrien Brody', 'Tom Cordier', 'Adrien de Van', 'Serge Bagdassarian', 'Gad Elmaleh', 'David Lowe', 'Atmen Kelif', 'Yves-Antoine Spoto', 'Laurent Claret', 'Sava Lolov', 'Karine Vanasse', 'Catherine Benguigui', 'Vincent Menjou Cortes', 'Olivier Rabourdin', 'François Rostain', 'Marianne Basler', 'Michel Vuillermoz', 'Kenneth Edelson']","['Gravier Productions', 'TV3', 'Versátil Cinema', 'Mediapro', 'Pontchartrain Productions']",1,"['ES', 'US']","['en', 'fr', 'de', 'es']",tt1605783,7.532,6423,Released
