,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2021-12-08,Lonely Souls,500,1000,2,"['Animation', 'Fantasy']","Lonely Souls is a 2-minute stop-motion short film set in a fantastical forest, exploring themes of Loneliness and Love. It won Best Animation and Best British Entry at the British International Amateur Film Festival (BIAFF), has been nominated for Best Animated Short in the Roma Prima Film Festival in Rome, and has had festival selections in all corners of the globe!","A trippy, fantastical story of loneliness and fear",['Finn Morgan-Roberts'],[],['University of the Creative Arts'],1,['GB'],['en'],,9.0,1
1,2006-01-01,হাঙ্গামা,180,190,150,['Comedy'],"Industrialist Shubhomoy Basu has two sons, Ajay and Bijay. He wants his sons to marry Malini and Trisha, the daughters of Taradevi.",,['Swapan Saha'],"['Jisshu Sengupta', 'Dipankar Dey', 'Mithun Chakraborty', 'Rituparna Sengupta']",[],1,['IN'],['bn'],tt1398393,6.0,1
2,1993-01-01,Mon Mane Na,1000000,500000,134,[],"Shikha, an orphan raised by two maternal uncles, falls in love with Shantanu. However, as her family is against their union, Shantanu tries to convince her uncles.",,[],"['Prosenjit Chatterjee', 'Shilpa']",[],1,[],['bn'],tt1591038,7.0,1
