,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2015-10-02,Freeheld,7000000,573335,103,"['Romance', 'Drama']",New Jersey car mechanic Stacie Andree and her police detective girlfriend Laurel Hester both battle to secure Hester's pension benefits after she was diagnosed with a terminal illness.,A true story of love and injustice.,['Peter Sollett'],"['Julianne Moore', 'Elliot Page', 'Steve Carell', 'Michael Shannon', 'Luke Grimes', 'Josh Charles', 'Mary Birdsong', 'Dennis Boutsikaris', 'Skipp Sudduth', 'Jeannine Kaspar', 'Tom McGowan', ""Kevin O'Rourke"", 'Stink Fisher', 'Gabriel Luna', 'Anthony DeSando', 'William Sadler', 'Adam LeFevre', 'Kelly Deadmon', 'Traci Hovel', 'Mina Sundwall', 'Julie Reiber', 'Karl Jacob', 'Jess Jacobs', 'Portia Reiners', 'Suzanne Savoy', 'Susan Merson', 'Oliver Solomon', 'Mary Joy', 'Robbie Tann']","['Double Feature Films', 'Endgame Entertainment', 'High Frequency Entertainment']",1,['US'],['en'],tt1658801,7.3,571
1,2015-11-27,The Danish Girl,15000000,64191523,119,['Drama'],"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",Find the courage to be yourself.,['Tom Hooper'],"['Eddie Redmayne', 'Alicia Vikander', 'Matthias Schoenaerts', 'Ben Whishaw', 'Sebastian Koch', 'Pip Torrens', 'Nicholas Woodeson', 'Amber Heard', 'Emerald Fennell', 'Adrian Schiller', 'Henry Pettigrew', 'Sophie Kennedy Clark', 'Miltos Yerolemou', 'Tusse Silberg', 'Claus Bue', 'Peter Krag', 'Angela Curran', 'Pixie', 'Richard Dixon', 'Paul Bigley', 'Nancy Crane', 'Nicola Sloane', 'Sonya Cullingford', 'Clare Fettarappa', 'Victoria Emslie', 'Raphael Acloque', 'Alexander Devrient', 'Cosima Shaw', 'Rebecca Root', 'Issy van Randwyck', 'Aisha Fabienne Ross', 'Holly Weston', 'Eleanor Hafner', 'Maya Lindh', 'Rebecca Clay', 'Erich Redman', 'Philip Arditti']","['Pretty Pictures', 'Working Title Films', 'Artémis Productions', 'Taxshelter. be', 'Shelter Productions', 'Senator Global Productions', 'Kvinde Films', 'ReVision Pictures', 'Copenhagen Film Fund']",1,"['DE', 'GB', 'US', 'BE', 'DK']","['en', 'de', 'fr']",tt0810819,7.621,5286
2,2015-08-05,The Invitation,1000000,354835,100,"['Thriller', 'Horror']","Will and his new girlfriend Kira are invited to a dinner with old friends at the house of Will’s ex Eden and her new partner David. Although the evening appears to be relaxed, Will soon gets a creeping suspicion that their charming host David is up to something.",There is nothing to be afraid of.,['Karyn Kusama'],"['Logan Marshall-Green', 'Tammy Blanchard', 'Emayatzy Corinealdi', 'Michiel Huisman', 'John Carroll Lynch', 'Lindsay Burdge', 'Mike Doyle', 'Jay Larson', 'Michelle Krusiec', 'Karl Yune', 'Jordi Vilasuso', 'Marieh Delfino', 'Toby Huss', 'Aiden Lovekamp', 'Danielle Camastra', 'Trish Gates']","['Drafthouse Films', 'XYZ Films', 'Gamechanger Films', 'Lege Artis', 'The Invitation']",1,['US'],['en'],tt2400463,6.484,2211
