,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2016-04-24,Voids,1000,500,30,"['Mystery', 'Science Fiction']","Kathryn, a former investigator for a mysterious company, is sent to an alternate reality to track down the person that killed her former partner.",Voids,['Kyle Rodgers'],"['Lizzy Jutila', 'Madison Obery', 'Adam Montgomery', 'Ali Oshinskie', 'Kate Mclellan', 'Joey Heimbach', 'Conor M. Hamill']",[],1,['US'],['en'],tt5713152,0.0,0
1,2018-08-02,Mia et le lion blanc,9600000,35487190,98,"['Adventure', 'Family', 'Drama']",A young girl from London moves to Africa with her parents where she befriends a lion cub.,Friendship is the wildest adventure of all,['Gilles de Maistre'],"['Daniah De Villiers', 'Mélanie Laurent', 'Langley Kirkwood', 'Ryan Mac Lennan', 'Thor the White Lion', 'Lionel Newton', 'Lillian Dube', 'Brandon Auret', 'Elvis the Meerkat', 'Benjamin Garrad', 'Andrew Stock', 'Lebohang Elephant', 'Jurgen Hellberg', 'Tessa Jubber', 'David Clatworthy', 'Ashleigh Harvey', 'Craig Wainwright', 'Sithandiwe Radebe', 'Francis Rangoajane', 'Paul Davies', 'Chris April', 'Sisekho Velelo', 'Michelle Coetzee', 'Chanté Jantjies', 'Charne Vorster', 'Kaelin Wills', 'Owen Peacock', 'Ian Roberts', 'Tumelo Thema', ""Noko 'Flow' Mabitsela""]","['Canal+', 'Pandora Film', 'StudioCanal', 'Film Afrika Worldwide', 'Galatée Films', 'M6 Films', 'Ciné+', 'M6', 'Film- und Medienstiftung NRW', 'W9', 'Outside Films']",1,"['ZA', 'DE', 'FR']","['en', 'fr']",tt4844148,7.332,764
2,2020-11-19,Aline,25900000,11131254,126,"['Music', 'Comedy', 'Drama']","A fictionalized biopic of Aline Dieu, a multitalented singer from a musically inclined family.",A fiction freely inspired by the life of Céline Dion.,['Valérie Lemercier'],"['Valérie Lemercier', 'Sylvain Marcel', 'Arnaud Préchac', 'Denis Lefrançois', 'Danielle Fichaud', 'Roc LaFortune', 'Antoine Vézina', 'Sonia Vachon', 'Pascale Desrochers', 'Victoria Petrosillo', 'Jean-Noël Brouté', 'Marc Béland', 'Christian Bordeleau', 'Yves Jacques', 'Alain Zouvi', 'Jennie-Anne Walker', 'Michel Laliberté', 'Elsa Tauveron', 'Mathieu Dufresne', 'Manuel Sinor', 'Geneviève Boivin-Roussy', 'Geneviève Morissette', 'Nadine Girard', 'Caroline Rabaliatti', 'Martine Fontaine', 'Rosaline Deslauriers', 'Benoît Lavoisier', 'Laurent Bariteau', 'Denis Leluc', 'Véronique Baylaucq', 'Didier Blin', 'Rebecca Potok', 'Paul Taylor', 'Jean-François Porlier', 'Stéphan Wojtowicz', 'Agathe de La Boulaye', 'Paul Preston', 'Laurent Francius']","['Gaumont', 'Téléfilm Canada', 'Rectangle Productions', 'Caramel Films', 'Belga Productions', 'TF1 Studio', 'Entourage Pictures']",1,"['CA', 'FR']","['en', 'fr']",tt9735462,6.866,243
3,1999-05-08,Batman Beyond: Tech Wars / Disappearing Inque,1000000,1000000,126,['Animation'],"Batman Beyond: Disappearing Inque - The Gotham nights give birth to a brand-new super villain. She is deadly, shape-shifting industrial saboteur named Inque. Black Out - When Terry faces Inque for the first time, he finds that he still has a lot to learn about becoming Batman. Disappearing Inque - With the help of an infatuated lab worker, Inque escapes her frozen imprisonment and devises a plan to destroy Batman and Bruce Wayne. Shriek - When Bruce Wayne challenges Derek Powers's control of Wayne/Powers Industries, Powers orders an employee who has discovered sound can be a weapon, to become Shriek and eliminate Wayne. Year: 1999",An enamored warder of the imprisoned Inque frees her and helps her in her quests for healing and revenge.,['Curt Geda'],"['Will Friedle', 'Kevin Conroy', 'Shannon Kenny', 'William H. Macy', 'Kevin Michael Richardson', 'Miriam Flynn', 'Kimmy Robertson', 'Barry Dennen', 'Victor Raider-Wexler']",['Warner Bros. Animation'],1,['US'],[],,8.2,4
4,1992-09-01,Adventures of Batman & Robin: Poison Ivy/The Penguin,1000000,1000000,92,['Animation'],"Adventures of Batman & Robin Poison Ivy: A grade school teacher takes a night job working for a rough nightclub owner. Beneath his tough exterior, though, her new boss is kind and very protective of her. Adventures of Batman & Robin: The Penguin: Penguin, ever crafty, takes on Batman in a battle for control of the free world!",Adventures of Batman & Robin,[],[],['Warner Bros. Pictures'],1,['US'],[],,10.0,2
5,1992-09-01,Batman: The Animated Series - Secrets of the Caped Crusader,1000000,1000000,89,[],"Defending the streets of Gotham City, Batman stands as a beacon of justice, a crusader for good, a one-man crimefighting force. In these four fabulous adventures from the Emmy-winning TV series, the Caped Crusader takes on Gotham's toughest criminals! When Batman's favorite feline villain Catwoman stirs up trouble, the Dark Knight flirts with danger - literally! He certainly can't believe what he doesn't see as he searches for an invisible crook. And he gets a chillingly lethal reception from archnemesis Mr. Freeze. Join the heroics with Gotham's finest for more than an hour of action-packed thrills and excitement!",Secrets of the Caped Crusader,[],[],[],1,[],['en'],,10.0,1
6,2019-03-15,Never Grow Old,12000000,106796,101,['Western'],"An Irish undertaker profits when outlaws take over a peaceful town, but his own family come under threat as the death toll increases dramatically.",Greed digs the deepest graves,['Ivan Kavanagh'],"['Emile Hirsch', 'John Cusack', 'Déborah François', 'Danny Webb', 'Tim Ahern', 'Blake Berris', 'Sam Louwyck', 'Camille Pistone', 'Anne Coesens', 'Manon Capelle', 'Molly McCann', 'Quinn Topper Marcus', 'Antonia Campbell-Hughes', 'Paul Reid', 'Nickel Bösenberg', 'Sean Gormley', 'Steve Karier', 'Leila Schaus', 'Paul Ronan', ""Dick O'Hary"", 'Peter Newington', 'Liz McMullen', 'Eloise Kerrin-Wright', 'Jean-François Wolff', 'Julie Kieffer', 'Claire Johnston', 'Nicolas de Lavergne', 'Éric Gigout']","['Canal+', 'Screen Ireland', 'RTÉ', 'Quickfire Films', 'Iris Productions', 'Iris Films', 'Ciné+', 'Ripple World Pictures', 'Rezo Productions', 'Metro International Entertainment', 'Voo-Be TV']",1,"['BE', 'FR', 'IE', 'LU']","['en', 'it']",tt1158939,6.088,177
