,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2015-12-18,बाजीराव मस्तानी,19500000,56000000,158,"['History', 'Romance', 'Drama']","Peshwa Bajirao married to Kashibai, falls in love with Mastani, a warrior princess in distress. They struggle to make their love triumph amid opposition from his conservative family.",,['Sanjay Leela Bhansali'],"['Ranveer Singh', 'Deepika Padukone', 'Priyanka Chopra Jonas', 'Tanvi Azmi', 'Vaibhav Tatwawadi', 'Mahesh Manjrekar', 'Milind Soman', 'Aditya Pancholi', 'Ayush Tandon', 'Rudra Soni', 'Raza Murad', 'Benjamin Gilani', 'Anuja Sathe', 'Yatin Karyekar', 'Irrfan Khan']","['Eros International', 'Bhansali Productions']",1,['IN'],['hi'],tt3735246,7.3,232
1,2015-11-11,प्रेम रतन धन पायो,23400000,67000000,164,"['Romance', 'Music', 'Drama', 'Action']","While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",,['Sooraj Barjatya'],"['Salman Khan', 'Sonam Kapoor', 'Neil Nitin Mukesh', 'Anupam Kher', 'Swara Bhasker', 'Deepak Dobriyal', 'Arman Kohli', 'Manoj Joshi', 'Bikramjeet Kanwarpal', 'Deepraj Rana', 'Samaira Rao', 'Sanjay Mishra', 'S M Zaheer', 'Manoj Joshi', 'Lata Sabharwal', 'Karuna Pandey', 'Suhasini Mulay', 'Sameer Dharmadhikari', 'Aradhana Uppal']","['Star Studios', 'Rajshri Productions']",1,['IN'],['hi'],tt3595298,5.68,89
2,2016-01-01,Miracolul din Tekir,1800000,2968,90,"['Drama', 'Mystery']","In the heart of the Danube Delta, superstition and religion are mixed together, like the earth and water that make up the mysterious mud from Tekir’s area, not far away. Chased away from her village because of her mysterious pregnancy, Mara finds herself employed at the Europa Hotel, providing treatment for infertile women using this miraculous mud. As she meets the rich and eccentric Mrs. Lili, Mara questions her beliefs and intuitions. The relationship between the two women is the key of the miracle of Tekir, between magic and power, tradition and modernity.",,['Ruxandra Zenide'],"['Dorotheea Petre', 'Elina Löwensohn', 'Bogdan Dumitrache', 'George Pistereanu', 'Mirela Oprișor', 'Viorica Geantă-Chelbea', 'Liviu Pintileasa', 'Constantin Dinulescu', 'Constantin Florescu', 'Simona Cuciurianu', 'Lana Moscaliuc', 'Ana Maria Moldovan', 'Claudiu Maier', 'Nicoleta Lefter', 'Daniela Nane', 'Mara Nicolescu', 'Georgiana Mazilescu', 'Valentin Popescu', 'Nicodim Ungureanu', 'Axel Moustache', 'Paula Prodan', 'Leila Vultureanu']",['Elefant Film'],1,"['RO', 'CH']",['ro'],tt4473938,5.3,3
3,2015-07-16,ولاد رزق,1368070,1249176,103,"['Action', 'Comedy', 'Crime']","Four brothers committing crimes with a promise among them to stop someday. When a deal goes south, the older brother says it's enough, but the other three disagree and recklessly do business with a wanted crime lord.",,['Tareq El Eryan'],"['Ahmed Ezz', 'Amr Youssef', 'Ahmed Al Fishawy', 'Ahmed Dawood', 'Karim Kassem', 'Mohamed Mamdouh', 'Sayed Ragab', 'Nada Moussa', 'Nesreen Ameen', 'Mona Mamdouh', 'Alaa Hosny', 'Mohamed Lotfy', 'Moaz Nabil']","[""Tarek El'eryan"", 'RAW Entertainment']",1,['EG'],['ar'],tt4840206,7.188,24
4,2015-09-17,Polis Evo,554390,1847967,120,['Action'],"Starring Shaheizy Sam and Zizan Razak, the film follows two policemen, Khai and Sani, who have very different personalities. However, they have to put aside their differences when they have to work together in a mission to defeat a drug trafficking syndicate.",,['Ghaz Abu Bakar'],"['Shaheizy Sam', 'Zizan Razak', 'Nora Danish', 'Mimi Ernida', 'Wan Hanafi Su', 'Pablo Amirul', 'Ayie Husairi', 'Amerul Affendi', 'Harun Salim Bachik', 'Hushairi Husain']",['Tayangan Unggul'],1,['MY'],['ms'],tt5132854,6.2,5
