,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,1956-06-13,Thunderball,5600000,161430514,95,"['Adventure', 'Action', 'Thriller']",,,['Gérard Sandoz'],"['Blanchette Brunoy', 'Célia Cortez', 'Jean-Pierre Kérien', 'Howard Vernon', 'Jacques Charon', 'Jacques Torrens', 'Liliane Ernout', 'Gabriel Sardet', 'Charles Lemontier', 'Gérard Le Faivre', 'Philippe Hersent', 'Marco Villa', 'Paul Azaïs', 'Louise Bazin', 'Béatrix Brunel', 'Danièle Bréhat', 'Jean-Louis Calvet', 'Danielle Dumont', 'Germaine Godefroid', 'Germaine Landa', 'Jean Murat', 'Jean Nosserot', 'Charles Roy', 'Jean Thielment']",[],1,[],['en'],tt0047307,0.0,0
1,2019-08-23,Askeladden - I Soria Moria slott,7300000,2996763,99,"['Fantasy', 'Adventure']","When the King and Queen are poisoned, brothers Per and Pål get arrested, suspected of being behind it. Younger brother Espen ""Ash Lad"" and Princess Kristin set out on a quest to find the mythical Soria Moria castle, which is said to be built of pure gold. In Soria Moria, there sits a well containing the Water of Life; the only thing that can cure Kristin's parents. But some wicked Danes are also on the hunt to find the castle. If Espen and Kristin fail, it will spell the end for the brothers, the kingdom - and perhaps the entire world.",,['Mikkel Brænne Sandemose'],"['Vebjørn Enger', 'Eili Harboe', 'Mads Sjøgård Pettersen', 'Elias Holmen Sørensen', 'Sidse Babett Knudsen', 'Thorbjørn Harr', 'Gard B. Eidsvold', 'Gisken Armand', 'Cyron Melville', 'Sigurd Holmen le Dous', 'Tómas Lemarquis', 'Jonas Strand Gravli', 'Alexandra Gjerpen', 'Vegar Hoel', 'Jan Gunnar Røise', 'Christian Skolmen', 'Erik Hivju', 'Rune Hagerup', 'Iva Šindelková', 'Nils Utsi', 'Gabriel Andrews', 'Gisken Armand', 'Petronella Barker', 'Frode Birkeland', 'Andrea Miltner', 'Abigail Rice']","['Maipo Film', 'uMedia']",1,['NO'],"['da', 'no']",tt8753438,6.867,75
2,2014-11-13,Shiva,10000,100000,86,['Drama'],Shiva is a girl,Shiva,['ashkan shapoori'],"['Sahar Ghoreyshi', 'Majid Salehi', 'Hadis Miramini', 'Pardis Afkari', 'Reza Naji']",[],1,['IR'],['fa'],,0.0,0
3,2015-08-06,اشیا از آنچه در آینه می‌بینید به شما نزدیکترند,10000,100000,94,"['Drama', 'Family']","Leila, a young provincial girl, has recently married and now lives in Tehran. She and her husband are tenants to a pair of sweet, old ladies named Eti and Aziz. In matters of daily life and her relationship with her husband, Leila deals with all the same feminine preoccupations and concerns... until the event of a party shakes her foundations and turns her simple life upside down.",Objects in Mirror,"['Narges Abyar', 'Mohammad Hossein Ghasemi']","['Gelare Abbasi', 'Nazanin Babaei', 'Hessam Bigdelu', 'Amir Ghafarminsh', 'Ramsin Kebriti', 'Giti Moeeni', 'Mina Noroozifar', 'Mehran Rajabi', 'Fatemeh Shokri', 'Saghi Zinati']",[],1,['IR'],['fa'],tt3421354,0.0,0
