,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2018-04-14,RISE 7: Sensation,13444,7666,120,"['Action', 'Drama']",Delilah Doom defends against Deonna Purrazzo who has yet to face defeat in one on one competition in RISE!,,[],"['Debrah Miceli', 'Chelsea Green', 'Samantha De Martin', 'Charli Evans', 'Tessa Blanchard', 'Sarah-Jean Greaves', 'Deonna Purrazzo', 'Kira Renee Forster', 'Joseph Ryan Meehan', 'Ashley Urbanski', 'Melissa Anderson', 'Kris Hernandez', 'Julia Hamer-Bevis', 'Brittany Baker', 'Laynie Luck', 'Theresa Lee Schuessler', 'Ivory Robyn', 'Kayleigh Rae', 'Stephanie Bell', 'Rebecca Lucas', 'Stephanie De Lander', 'Melissa Cervantes', 'Valentina Loca', 'Karen Yu', 'Rachel Kelvington Bostic', 'Nicole Matthias', 'Chantelle Allison', 'Hyaneyoung Olvera', 'Jessica Troy', 'Brittany Baker', 'Jamine Benitez', 'Danielle Paultre', 'Didi Cruz', 'Kikyo Nakamura', 'Melanie Cruise', 'Zoey Skye', 'Brianna Rae Sparrey', 'Miranda Ilissa', 'Jenna Lynn Van Bemmel', 'Aerial Monroe']",['RISE Wrestling'],1,['US'],['en'],,6.5,2
1,2018-08-01,신과함께-인과 연,18300000,112790210,141,"['Drama', 'Fantasy', 'Action']","In the afterlife, one guardian helps a man through his trials, while his two colleagues help a former guardian on earth.",Unveiling millennium-old secrets.,['Kim Yong-hwa'],"['Ha Jung-woo', 'Ju Ji-hoon', 'Kim Hyang-gi', 'Ma Dong-seok', 'Kim Dong-wook', 'Lee Jung-jae', 'Jo Han-chul', 'Im Won-hee', 'Nam Il-woo', 'Jung Ji-hoon', 'Doh Kyung-soo', 'Lee Jun-hyuk', 'Jang Gwang', 'Jung Hae-kyun', 'Lee Kyung-young', 'Kim Myung-gon', 'Ye Soo-jung', 'Sung Dong-il', 'Lee Jun-hyeok', 'Jung Yoo-ahn', 'Ahn Ji-ho', 'Jeong A-mi', 'Seol Si-yeon', 'Hong In', 'Lim Cheol-soo']","['Realies Pictures', 'Lotte Entertainment', 'Dexter Studios']",2,['KR'],"['ko', 'es']",tt8116428,8.281,411
2,2015-09-01,Whistle,25,25,3,"['Horror', 'Crime', 'Thriller', 'Fantasy']","It's washing day for Abigail. With no one around she can finally get round to doing her dirty laundry. That is until she hears a whistle, and when you hear a whistle you better get out the basement...",Stay out of the whistle room,['Simon Berry'],"['April Hughes', 'Christopher Snell']",['Shotgun Pictures'],1,['US'],"['en', 'xx']",tt5467644,8.0,1
3,2016-07-29,Sesh Sangbad,1,2,120,"['Drama', 'Thriller', 'Crime']","This is the journey of Sarmista, an upright and honest investigative journalist through the web of media politics and her fight for the truth. She braves various situations to capture news at great personal risk only to realize, to her horror and disbelief, that the channel won't telecast her report.",The Last News,['Pallav Gupta'],"['Srabanti Chatterjee', 'Moushumi Chaterjee', 'Parthasarathi Chakraborty', 'Laboni Sarkar']",['Eros Now'],1,['IN'],['bn'],tt5396900,0.0,0
4,2017-07-09,Bar Wrestling 4: Autumn In LA,9088,6744,120,"['Action', 'Drama']","Bar Wrestling 4: Autumn In LA BAR Wrestling’s fourth event, Autumn in LA, is a women’s showcase that boasts one of the best main events the company has produced thus far. This event was held on September 7, 2017. Amazing Kong vs Taya Valkyrie Chelsea Green & Ivy Quinn vs Katarina Leigh & Scarlett Bordeaux  Christina Von Erie vs Shotzi Blackheart  Heather Monroe vs Ruby Raze Brian Cage, Eli Drake, Hot Young Briley & Joey Ryan vs Ethan Carter III, JTG, Luchasaurus & X-Pac Candice Le Rae vs Tessa Blanchard  You can get this event on DVD or Blu Ray at Highspots.com  Also streaming at Highspots Wrestling Network",,[],"['Tessa Blanchard', 'Brian Button', 'Candice Gargano', 'Joseph Ryan Meehan', 'Chelsea Green', 'Michael Hutter', 'Jayson Paul', 'Sean Waltman', 'Judas Devlin', 'Shaun Ricker', 'Ryan Nemeth', 'Christina Kardooni', 'Ashley Urbanski', 'Ruby Raze', 'Elizabeth Chihaia', 'Kira Renee Forster', 'Kia Stevens']",['Bar Wrestling'],1,['US'],['en'],,4.0,1
5,2017-09-11,Bar Wrestling 6: Head Of Household,9811,5889,120,"['Drama', 'Action']","Bar Wrestling 6: Head Of Household Six Man Tag Team Match B-Boy, Brody King and Eric Watts vs. Eli Everfly, Pinkie Sanchez and Super Panda 3,75 Singles Match Tessa Blanchard vs. Xia Brookside 3,25 Singles Match Jeff Cobb vs. Kevin Kross 3,0 Tag Team Match Extra Talented (Aaron Solow and Ricky Starks) vs. The World's Cutest Tag Team (Candice LeRae and Joey Ryan) 3,5 Singles Match Hot Young Briley vs. Kikutaro 1,5 Tag Team Match HATE (Peter Avalon and Ray Rosas) vs. Team Big Brother (Austin Matelson and Jessie Godderz) 3,0 Singles Match Brian Cage vs. Colt Cabana 3,0 Show Rating 3,0.",,[],"['Brian Button', 'Candice Gargano', 'Xia Henderson', 'Joseph Ryan Meehan', 'Tessa Blanchard', 'Jessie Godderz', 'Ryan Nemeth', 'Mitsunobu Kikuzawa', 'Jeffrey Cobb', 'Adam Ortega', 'Nate Blauvelt', 'Scott Colton', 'Austin Matelson', 'Peter Hernandez', 'Ray Rosas', 'Aaron Solo', 'Ricky Starks', 'Kevin Kesar', 'Eli Everfly', 'Super Panda', 'Benny Cuntapay', 'Nate Blauvelt', 'Eric Watts']",['Bar Wrestling'],1,['US'],[],tt9585282,10.0,1
6,2017-12-14,Bar Wrestling 7: A Christmas Special,6555,9089,120,"['Drama', 'Action']",Bar Wrestling 7: A Christmas Special,,[],"['Kira Renee Forster', 'Joseph Ryan Meehan', 'Candice Gargano', 'Brian Button', 'David Luster', 'Julian Micevski', 'Dick Justice', 'Judas Devlin', 'Adam DeBoor', 'Melissa Anderson', 'Shaun Ricker', 'Christina Garibaldi', 'Jayson Paul', 'Sarah-Jean Greaves', 'Ryan Nemeth', 'Schuyler Andrews']",['Bar Wrestling'],1,['US'],[],,9.0,1
7,2018-01-18,Bar Wrestling 8: Happily Ever After,8996,5887,120,"['Action', 'Drama']","Bar Wrestling 8: Happily Ever After  Los Angeles based All Ages Professional Wresting Show with a Full Bar (valid ID required to be served at the bar) and a Standing Room Only Concert Type Atmosphere featuring Billy Gunn, World's Cutest Tag Team (Candice LeRae and Joey Ryan), Brian Cage, Taya Valkyrie, Jeff Cobb, Willie Mack, Joey Janela, Penelope Ford, Team Tremendous (Dan Barry and Bill Carr), Scorpio Sky, B-Boy, Delilah Doom, Eli Everfly, Brody King, The Carnies (Kerry Awful and Nick Iggy), LuchaSaurus, Killer Baes (Laura James and Heather Monroe), Hot Young Briley, PPRay (Peter Avalon and Ray Rosas) + More. Presale tickets purchased here are $20 and include first entry into the building. Walk-up tickets purchased at the door will be $30 and standby entry. Doors are at 8pm and the show begins at 9pm.",,[],"['Olivia Hasler', 'Candice Gargano', 'Monty Sopp', 'Joseph Ryan Meehan', 'Kira Renee Forster', 'Ryan Nemeth', 'Sarah-Jean Greaves', 'Joseph Janela', 'Judas Devlin', 'Nate Blauvelt', 'Schuyler Andrews', 'Brian Button', 'Heather Monroe', 'Laura Clare James', 'William Bill Carr', 'Dan Barry', 'Jeffrey Cobb', 'Sarah-Jean Greaves', 'Eli Everfly', 'Peter Hernandez', 'Kerry Cooper', 'Nick Iggy', 'Willie McClinton Jr.', 'Benny Cuntapay']",['Bar Wrestling'],1,[],['en'],tt8029180,7.0,1
