,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2016-10-10,جاودانگی,10000,10000,151,['Drama'],"Six families in different compartments of a train, moving through a rainy night. In a single, 145-minute take, the film depicts the families and how their lives are interwoven with each other. Vacillating between dream and reality, each story builds on the one before and leads into the next. Each destiny is influenced by the other one on board, and all hurtle to the same destination.",Javdanegi,['Mehdi Fard Ghaderi'],"['Manouchehr Alipour', 'Alireza Ostadi', 'Soudabeh Bayzai', 'Atabak Naderi', 'Faghihe Soltani', ""Anahita Ne'mati"", 'Misagh Zare', 'Maral Farjad', 'Ali Ebdali']",['Qabe Aseman Film Production'],1,['IR'],['fa'],tt6228672,5.7,3
1,2016-10-21,ആനന്ദം,450000,2300000,134,"['Adventure', 'Comedy', 'Romance']",A group of students visit Goa and Hampi while on their college trip. Their experiences during their journey help them understand the intricacies of love and friendship.,,['Ganesh Raj'],"['Siddhi Mahajankatti', 'Thomas Mathew', 'Vishak Nair', 'Arun Kurian', 'Roshan Mathew', 'Annu Antony', 'Anarkali Marikar', 'Vinitha Koshy', 'Nivin Pauly', 'Rony David Raj', 'Pradeep Kottayam', 'Aju Varghese', 'Rajesh Sharma']","[""Cast N' Crew"", 'Habit of Life']",1,['IN'],"['en', 'ml']",tt5998104,7.24,25
2,2017-01-19,Невеста,1500000,6945256,90,"['Mystery', 'Horror', 'Thriller']",This is a story of a small town girl named Nastya. Her newly married husband Ivan drives her to his hometown to meet his family. Upon their arrival Nastya feels she made a wrong decision: she is surrounded by weird people and she sees creepy photos all around the house. Ivan disappears while his family prepares Nastya for a mysterious traditional Russian wedding ceremony. She struggles to calm herself down hoping all this will end and they will live happily ever after. Only if she stays alive...,,['Svyatoslav Podgaevsky'],"['Victoria Agalakova', 'Vyacheslav Chepurchenko', 'Alexandra Rebenok', 'Igor Khripunov', 'Dmitry Kulichkov', 'Miroslava Karpovich', 'Natalya Grinshpun', 'Victor Solovyev', 'Marina Alhamdan', 'Evgeny Koryakovsky', 'Valeriya Dmitrieva', 'Lada Churovskaya', 'Vladimir Seleznyov', 'Vera Biryukova', 'Matt Fowler', 'Anastasia Akatova', 'Mariya Arnaut', 'Tatyana Filatova', 'Mariya Klyukvina', 'Tatyana Klyukina', 'Igor Yashanin', 'Yaroslav Efremenko', 'Aleksandr Mukhin', 'Ivan Kozhevnikov']",['Focus Plus Cinema'],1,['RU'],['ru'],tt6095090,5.901,312
3,2017-01-20,മുന്തിരിവള്ളികള്‍ തളിര്‍ക്കുമ്പോള്‍,1300000,6300000,154,"['Comedy', 'Drama', 'Family']",Panchayat Secretary Ullahanan leads a monotonous life till a college reunion rekindles excitement in his 20-year-old marital life and infuses in him a renewed sense of purpose and love for everything that he once took for granted.,My life is my wife,['Jibu Jacob'],"['Mohanlal', 'Meena', 'Aima Sebastian', 'Anoop Menon', 'Kalabhavan Shajon', 'Alencier Ley Lopez', 'Srindaa', 'Suraj Venjaramoodu', 'Sudheer Karamana', 'Suresh Krishna', 'Manju Pathrose', 'Sanoop Santhosh', 'Neha Saxena', 'Lishoy', 'Rahul Madhav', 'Sohan Seenulal', 'Joy Mathew', 'Sharafudheen', 'Ganapathi S Poduval', 'Meghanathan', 'Reena Basheer', 'K L Antony Kochi', 'Ambika Mohan', 'Purushan Kottayam', 'Asha Sarath', 'Bindu Panicker', 'Trissur Elsy', 'Kumarakom Raghunath', 'Indian Pallassery', 'Manju Pathrose']",['Weekend Blockbusters'],1,['IN'],['ml'],tt6097918,6.821,14
