,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count,status
0,1962-12-21,Le Procès,1300000,0,118,"['Crime', 'Drama']","An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.",Orson Welles’s masterpiece.,['Orson Welles'],"['Anthony Perkins', 'Jeanne Moreau', 'Romy Schneider', 'Akim Tamiroff', 'Elsa Martinelli', 'Suzanne Flon', 'Madeleine Robinson', 'Max Haufler', 'Max Buchsbaum', 'Arnoldo Foà', 'Jess Hahn', 'Billy Kearns', 'Maurice Teynac', 'Naydra Shore', 'Raoul Delfosse', 'Jean-Claude Rémoleux', 'Carl Studer', 'Fernand Ledoux', 'Thomas Holtzmann', 'Wolfgang Reichmann', 'Michael Lonsdale']","['Paris-Europa Productions', 'Hisa-Film', 'Finanziaria Cinematografica Italiana (FICIT)']",1,"['FR', 'DE', 'IT']",['en'],tt0057427,7.518,358,Released
1,1931-12-24,Dr. Jekyll and Mr. Hyde,535000,1300000,98,"['Horror', 'Science Fiction']","Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two, man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug, it is already too late.",Put yourself in her place! The dreaded night when her lover became a madman!,['Rouben Mamoulian'],"['Fredric March', 'Miriam Hopkins', 'Rose Hobart', 'Holmes Herbert', 'Halliwell Hobbes', 'Edgar Norton', 'Tempe Pigott', 'Leonard Carey', 'Sam Harris', 'Boyd Irwin', 'Arnold Lucy', 'Murdock MacQuarrie', 'Eric Mayne', 'Robert Adair', 'Pat Harmon', 'John Rogers', 'G.L. McDonnell', 'Douglas Walton']",['Paramount'],1,['US'],['en'],tt0022835,7.313,206,Released
2,2007-06-22,1408,25000000,132963417,104,"['Horror', 'Mystery']","A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",The only demons in room 1408 are those within you.,['Mikael Håfström'],"['John Cusack', 'Samuel L. Jackson', 'Mary McCormack', 'Jasmine Jessica Anthony', 'Tony Shalhoub', 'Alexandra Silber', 'Noah Lee Margetts', 'William Armstrong', 'Paul Birchard', 'Margot Leicester', 'Angel Oquendo', 'Walter Lewis', 'Eric Meyers', 'Holly Hayes', 'Johann Urb', 'Andrew-Lee Potts', 'Kim Thomson', 'Drew Powell', 'Isiah Whitlock Jr.', 'Benny Urquidez', 'Len Cariou', 'Ray Nicholas', 'Paul Kasey', 'Kevin Dobson', 'Peter Conboy', 'Georgie Lee-Robinson', 'Bernadette Lords', 'Rob McGillivray', 'Kate Walsh']","['Metro-Goldwyn-Mayer', 'The Weinstein Company', 'Di Bonaventura Pictures', 'Dimension Films']",1,['US'],['en'],tt0450385,6.663,3596,Released
3,1953-08-01,Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,724805,1200000,76,"['Comedy', 'Horror', 'Science Fiction']","Abbott and Costello, two bumbling American cops on exchange in London, hunt for Mr. Hyde—the monster that has been terrorizing the city.",All New ! All Wild ! All Fun !,['Charles Lamont'],"['Bud Abbott', 'Lou Costello', 'Boris Karloff', 'Craig Stevens', 'Helen Westcott', 'Reginald Denny', 'John Dierkes', 'Eddie Parker', 'Patti McKaye', 'Betty Tyler', 'Lucille Lamarr', 'Dante De Paolo', 'Carmen De Lavallade', 'Maisay Kawasuma', 'Henry Coden', 'Marjorie Bennett', 'Isabelle Dwan', 'James Fairfax', 'Harry Wilson']",['Universal Pictures'],1,['US'],['en'],tt0045469,6.6,58,Released
4,1968-01-07,The Strange Case of Dr. Jekyll and Mr. Hyde,900000,0,120,"['Thriller', 'TV Movie']","In this Dan Curtis production of the Robert Louis Stevenson classic, Jack Palance stars as Dr. Henry Jekyll, a scientist experimenting to reveal the hidden, dark side of man, who, in the process of his experiment, releases a murderer from within himself.",,['Charles Jarrott'],"['Jack Palance', 'Denholm Elliott', 'Leo Genn', 'Torin Thatcher', 'Rex Sevenoaks', 'Gillie Fenwick', 'Elizabeth Cole', 'Duncan Lamont', 'Paul Harding', 'Oskar Homolka', 'Billie Whitelaw', 'William Nunn', 'Liza Creighton', 'Jeanette Landis']","['Dan Curtis Productions', 'CBC']",1,"['CA', 'US']",['en'],tt0062908,6.6,5,Released
5,1932-12-31,Island of Lost Souls,300000,0,70,"['Adventure', 'Horror', 'Science Fiction']","An obsessed scientist conducts profane experiments in evolution, eventually establishing himself as the self-styled demigod to a race of mutated, half-human abominations.",TERROR! Stalked the Brush-Choked Island...Where Men Who Were Animals Sought the Girl Who Was All-Human!,['Erle C. Kenton'],"['Charles Laughton', 'Richard Arlen', 'Leila Hyams', 'Bela Lugosi', 'Kathleen Burke', 'Arthur Hohl', 'Stanley Fields', 'Paul Hurst', 'Hans Steinke', 'Tetsu Komai', 'George Irving', 'Jack Bardette', 'Evangelus Berbas', 'Joe Bonomo', 'Buster Brodie', 'Jacob Dance', 'James Dime', 'Harry Ekezian', 'Charles Gemora', 'John George', 'Rosemary Grimes', 'Robert P. Kerr', 'Bob Kortman', 'Alan Ladd', 'Robert Milasch', 'Constantine Romanoff', 'Schlitzie', 'Jack Walters', 'Duke York']",['Paramount'],1,['US'],['en'],tt0024188,7.018,171,Released
6,1998-01-21,Gods and Monsters,10000000,6451628,105,['Drama'],"It's 1957, and James Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",A portrait of an outrageous friendship.,['Bill Condon'],"['Ian McKellen', 'Brendan Fraser', 'Lynn Redgrave', 'Lolita Davidovich', 'David Dukes', ""Kevin J. O'Connor"", 'Mark Kiely', 'Jack Plotnick', 'Rosalind Ayres', 'Jack Betts', 'Matt McKenzie', 'Todd Babcock', ""Cornelia Hayes O'Herlihy"", 'Pamela Salem', ""Michael O'Hagan"", 'David Millbern', 'Amir Aboulela', 'Marlon Braccia', 'Owen Masterson', 'Lisa Vastine', 'Martin Ferrero', 'David Fabrizio', 'Jesse James', 'Lisa Darr', 'Paul Michael Sandberg', 'Judson Mills', 'Arthur Dignam', 'Sarah Ann Morris', 'Richard Pines', 'Jennifer Tolkachev']","['Lions Gate Films', 'Showtime Networks', 'Flashpoint (I)']",1,"['GB', 'US']","['en', 'hu']",tt0120684,7.043,280,Released
7,1974-12-15,Young Frankenstein,2800000,86273333,106,['Comedy'],"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",The scariest comedy of all time!,[],"['Gene Wilder', 'Teri Garr', 'Marty Feldman', 'Peter Boyle', 'Cloris Leachman', 'Madeline Kahn', 'Kenneth Mars', 'Richard Haydn', 'Liam Dunn', 'Danny Goldman', 'Oscar Beregi Jr.', 'Arthur Malet', 'Monte Landis', 'Rusty Blitz', 'Anne Beesley', 'Gene Hackman', 'John Madison', 'John Dennis', 'Rick Norman', 'Rolfe Sedan', 'Terrence Pushman', 'Randolph Dobbs', 'Norbert Schiller', ""Pat O'Hara"", 'Michael Fox', 'Lidia Kristen', 'Berry Kroeger', 'Ian Abercrombie', 'Mel Brooks', 'Lou Cutell', 'Leoda Richards', 'Clement von Franckenstein', 'Jeff Maxwell', 'Lars Hensen', 'Johnny Marlin', 'Maida Severn', 'Arthur Tovey']","['20th Century Fox', 'Crossbow Productions', 'Gruskoff/Venture Films', 'Jouer Limited']",1,['US'],"['en', 'de']",tt0072431,7.927,2653,Released
8,1931-11-21,Frankenstein,291000,12000000,70,"['Drama', 'Horror', 'Science Fiction']","Dr. Henry Frankenstein attempts to create life by assembling a creature from body parts of the deceased. Aided by his loyal misshapen assistant, Fritz, Frankenstein succeeds in animating his monster, but, confused and traumatized, it escapes into the countryside and begins to wreak havoc. Frankenstein searches for the elusive being and eventually must confront his tormented creation.",The man who made a monster,['James Whale'],"['Colin Clive', 'Mae Clarke', 'John Boles', 'Boris Karloff', 'Edward Van Sloan', 'Frederick Kerr', 'Dwight Frye', 'Lionel Belmore', 'Marilyn Harris', 'Ted Billings', 'Mae Bruce', 'Jack Curtis', 'Arletta Duncan', 'William Dyer', 'Francis Ford', 'Soledad Jiménez', 'Carmencita Johnson', 'Sessel Anne Johnson', 'Margaret Mann', 'Michael Mark', 'Pauline Moore', 'Inez Palange', 'Paul Panzer', 'Cecilia Parker', 'Rose Plumer', 'Cecil Reynolds', 'Ellinor Vanderveer']",['Universal Pictures'],1,['US'],['en'],tt0021884,7.531,1213,Released
9,1994-11-04,Mary Shelley's Frankenstein,45000000,112006296,123,"['Drama', 'Horror', 'Science Fiction', 'Romance']","Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",Be warned.,[],"['Robert De Niro', 'Kenneth Branagh', 'Tom Hulce', 'Helena Bonham Carter', 'Aidan Quinn', 'Ian Holm', 'Richard Briers', 'John Cleese', 'Robert Hardy', 'Cherie Lunghi', 'Celia Imrie', 'Trevyn McDowell', 'Mark Hadfield', 'Gerard Horan', 'Joanna Roth', 'Alfred Bell', 'Sasha Hanau', 'Joseph England', 'Richard Clifford', 'George Asprey', 'Hugh Bonneville', 'Ryan J-W Smith', 'Charles Wyn-Davies', 'Rory Jennings', 'Christina Cuttall', 'Hannah Taylor-Gordon', 'Susan Field', 'Jimmy Yuill', 'Chris Barnes', 'Shaun Prendergast', 'Tommy Wright', 'David Kennedy', 'Paul Gregory', 'Chris Hollis', 'Robin Lloyd', 'Alex Lowe', 'Graham Loughridge', 'Simon Cox', 'Robert Hines', 'Lonnie James', 'Jenny Galloway', 'Peter Jonfield', 'Edward Jewesbury', 'Siobhan Redmond', 'Francine Morgan', 'Sue Long', 'Michael Gould', 'Angus Wright', 'Max Gold', 'Abigail Reynolds', 'Theresa Fresson', 'Mark Inman', 'Meriel Schofield', 'Jim Carter']","['American Zoetrope', 'TriStar Pictures']",1,"['GB', 'JP', 'US']",['en'],tt0109836,6.416,1018,Released
