,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2016-11-28,Мария,1,1,0,"['History', 'Drama', 'Romance']",,,[],"['Zina Parizheva', 'Zina Parizheva']",[],1,[],[],,10.0,1
1,,Techno Baby,6,6,6,[],"From the Masterminds behind Dream Monkey Dreamer and The Debater... A succesful CEO is conflicted with his personality. Is he a Man or Robot?",I LOVE MY CALIGATE CHARCOAL TOOTHPASTE.,"['Ben Gold', 'O. S. Arun']",['Jack Einziger'],[],1,[],[],,0.0,0
2,2022-04-20,The Unbearable Weight of Massive Talent,30000000,29116320,107,"['Action', 'Comedy', 'Crime']","Creatively unfulfilled and facing financial ruin, Nick Cage must accept a $1 million offer to attend the birthday of a dangerous superfan. Things take a wildly unexpected turn when Cage is recruited by a CIA operative and forced to live up to his own legend, channeling his most iconic and beloved on-screen characters in order to save himself and his loved ones.",Nicolas Cage is Nick Cage.,['Tom Gormican'],"['Nicolas Cage', 'Pedro Pascal', 'Tiffany Haddish', 'Neil Patrick Harris', 'Lily Mo Sheen', 'Sharon Horgan', 'Ike Barinholtz', 'Paco León', 'Jacob Scipio', 'Joanna Bobin', 'Alessandra Mastronardi', 'Nicholas Wittman', 'Demi Moore', 'Anna MacDonald', 'Mario Perez', 'Luke McQueen', 'Katrin Vankova', 'Jaime Ordóñez', 'Enrique Martínez', 'Manuel Tallafé', 'László Szívós', 'Ricard Balada', 'Rebecca Finch', 'Jackson Serafim', 'Jesus Armando Campos Flores', 'Christine Grace Szarkó', 'Caroline Boulton', 'Paula Parducz', 'Tamás Buza', 'Mario Perez', 'Francisco Grey', 'Kristian Flores', 'Björn Freiberg', 'Eli Jane', 'Cesare Taurasi']","['Saturn Films', 'Burr! Productions']",1,['US'],"['en', 'es']",tt11291274,6.847,803
