,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,1919-08-26,The Miracle Man,120000,3600000,80,['Drama'],"A gang of crooks evade the police by moving their operations to a small town. There the gang's leader encounters a faith healer and uses him to scam gullible public of funds for a supposed chapel. But when a real healing takes place, a change comes over the gang. Lost film, only the most famous scene has survived.",The photoplay that reaches the soul,['George Loane Tucker'],"['Lon Chaney', 'Betty Compson', 'Joseph J. Dowling', 'J.M. Dumont', 'Elinor Fair', 'Thomas Meighan', 'F.A. Turner', 'Lucille Hutton']","['Paramount', 'Mayflower Photoplay Company']",1,['US'],['xx'],tt0010466,3.0,1
1,2016-06-23,Ice Age: Collision Course,105000000,408579038,95,"['Adventure', 'Animation', 'Family', 'Comedy', 'Science Fiction']","Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and locations.",One small step. One giant mess.,['Mike Thurmeier'],"['Ray Romano', 'John Leguizamo', 'Denis Leary', 'Queen Latifah', 'Seann William Scott', 'Josh Peck', 'Simon Pegg', 'Keke Palmer', 'Jennifer Lopez', 'Neil deGrasse Tyson', 'Jesse Tyler Ferguson', 'Jessie J', 'Adam DeVine', 'Wanda Sykes', 'Melissa Rauch', 'Michael Strahan', 'Nick Offerman', 'Max Greenfield', 'Lilly Singh', 'Chris Wedge', 'Stephanie Beatriz', 'Robert Cardone', 'Byron Thames', 'Rif Hutton', 'Moosie Drier', 'Jason Fricchione', 'Jackie Gonneau', 'Hope Levy', 'Terence Mathews', 'Edie Mirman', 'Juan Pope', 'Ruth Zalduondo', 'David Zyler', 'Ashley Peldon', 'Carlos Ponce']","['20th Century Fox', 'Blue Sky Studios', '20th Century Fox Animation']",5,"['AU', 'GB', 'US']",['en'],tt3416828,6.057,3892
2,2008-06-06,The Dead Walk,50000,1200000,90,['Horror'],"The Dead Walk is an eerie and atmospheric tale about the rise of the living dead, besieging the world. In the grand tradition of classic films from this genre, 'The Dead Walk' follows a group of surviving strangers who must struggle and find a way to live in their new hellish world.",,['Michael Clinkenbeard'],"['Chris Adler', 'Leslie Maine', 'Bjorn Jiskoot Jr.', 'Charles Swensen', 'Rebekah Swann', 'Ryan Clinkenbeard', 'Michael Richard', 'Joseph Lolli']",['Roadkill Cinema Productions'],1,['US'],['en'],tt1189032,2.0,2
3,1916-10-16,A Daughter of the Gods,1000000,1390000,180,"['Fantasy', 'Drama']",A sultan agrees to help an evil witch destroy a mysterious beauty if the witch will bring his young son back to life.,,['Herbert Brenon'],"['Annette Kellerman', 'William E. Shay', 'William E. Shay']",['Fox Film Corporation'],1,['US'],[],tt0006568,3.5,2
4,2014-06-18,Звезда,1250000,92500,128,"['Drama', 'Romance', 'Comedy']","Three different persons, three different lives are connected in a mysterious way. 15 year old teenager suffering of misunderstanding, his glamorous and arrogant stepmother and the young untalented but full of optimism actress. Their destinies aren’t predetermined and their lives are very fragile.",No Matter What They Say,['Anna Melikyan'],"['Tinatin Dalakishvili', 'Severija Janušauskaitė', 'Pavel Tabakov', 'Andrey Smolyakov', 'Juozas Budraitis', 'Gosha Kutsenko', 'Filipp Yankovsky', 'Olga Shakina', 'Viktor Nemets', 'Artyom Kobzev', 'Arūnas Storpirštis', 'Sergey Kaplunov', 'Denis Shvedov', 'Alisa Starovoitova', 'Polina Fokina', 'Kirill Käro', 'Ekaterina Andreeva', 'Diana Maximova', 'Darya Charusha', 'Yelena Voronchikhina', 'Philipp Riba', 'Andrey Fomin', 'Ekaterina Nosik']","['Magnum', 'Mars Media Entertainment']",1,['RU'],['ru'],tt3924450,6.1,23
5,2014-01-17,Bamse och tjuvstaden,3377382,4201541,66,"['Animation', 'Family', 'Comedy']","Sweden's most popular comic book character - the bear Bamse - will now get his first own feature film. In ""Bamse and the city of thieves"" the strongest bear in the world and his two friends Little Hopp and Shellman show that the best weapon against evil is -friendship (and a few drops of Grandma's Thunder Honey of course).",,['Christian Ryltenius'],"['Peter Haber', 'Morgan Alling', 'Steve Kratz', 'Magnus Härenstam', 'Tomas Bolme', 'Tea Stjärne', 'Shebly Niavarani', 'Ia Langhammer', 'Leif Andrée', 'Rolf Lydahl']","['Nordisk Film', 'Film i Väst', 'SVT', 'Tre Vänner', 'Slugger Film', 'Bamse Förlaget']",1,['SE'],['sv'],tt3129656,5.9,7
6,2016-08-25,Mechanic: Resurrection,40000000,125729635,98,"['Action', 'Crime', 'Thriller']","Arthur Bishop thought he had put his murderous past behind him when his most formidable foe kidnaps the love of his life. Now he is forced to travel the globe to complete three impossible assassinations, and do what he does best, make them look like accidents.",Four continents. Three kills... Or the love of his life is dead.,['Dennis Gansel'],"['Jason Statham', 'Jessica Alba', 'Tommy Lee Jones', 'Michelle Yeoh', 'Natalie Burn', 'Rhatha Phongam', 'Bonnie Zellerbach', 'Vithaya Pansringarm', 'Aaron Brumfield', 'Andrew Stehlin', 'Sam Hazeldine', 'Atanas Srebrev', 'Anteo Quintavalle', 'Femi Elufowoju Jr.', 'Toby Eddington', 'Stuart Thorp', 'Brahim Achabbakhe', 'Thomas Kiwi', 'Francis Tonkala Tamouya', 'Tais Rodrigues Dias', 'Lynette Emond', 'Maethi Thapthimthong', 'Soji Ikai', 'Chatchawai Kamonsakpitak', 'Yothin Udomsanti', ""Rachel O'Meara"", 'Armin Parvin', 'Alexander Winters', 'Robert Gerrits']","['Davis Films', 'Summit Entertainment', 'Millennium Films', 'Chartoff-Winkler Productions', 'ME2 Productions']",2,"['FR', 'US', 'TH']","['bg', 'en']",tt3522806,5.924,2845
7,2016-04-07,The Jungle Book,175000000,966550600,106,"['Family', 'Adventure', 'Drama', 'Fantasy']","A man-cub named Mowgli fostered by wolves. After a threat from the tiger Shere Khan, Mowgli is forced to flee the jungle, by which he embarks on a journey of self discovery with the help of the panther, Bagheera and the free-spirited bear, Baloo.",The legend will never be the same.,['Jon Favreau'],"['Neel Sethi', 'Bill Murray', 'Ben Kingsley', 'Idris Elba', 'Scarlett Johansson', 'Christopher Walken', ""Lupita Nyong'o"", 'Giancarlo Esposito', 'Garry Shandling', 'Jon Favreau', 'Russell Peters', 'Brighton Rose', 'Emjay Anthony', 'Max Favreau', 'Chloe Hechter', 'Asher Blinkoff', 'Knox Gagnon', 'Sasha Schreiber', 'Kai Schreiber', 'Madeleine Favreau', 'Ritesh Rajan', 'Kendrick Reyes', 'Sara Arrington', 'Artie Esposito', 'Allan Trautman', 'Dee Bradley Baker', 'Sean W. Johnson', 'Daz Crawford']","['Walt Disney Pictures', 'Fairview Entertainment', 'Moving Picture Company']",1,"['GB', 'US']",['en'],tt3040964,6.857,7293
