,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2015-08-07,The Diary of a Teenage Girl,2000000,1477002,102,"['Drama', 'Romance']","Minnie Goetze is a 15-year-old aspiring comic-book artist, coming of age in the haze of the 1970s in San Francisco. Insatiably curious about the world around her, Minnie is a pretty typical teenage girl. Oh, except that she’s sleeping with her mother’s boyfriend.",Some things are best kept secret,['Marielle Heller'],"['Bel Powley', 'Kristen Wiig', 'Alexander Skarsgård', 'Christopher Meloni', 'Austin Lyon', 'Madeleine Waters', 'Margarita Levieva', 'Quinn Nagle', 'Abby Wait', 'John Parsons', 'Davy Clements', 'Susannah Rogers', 'Anthony Williams', 'Charles Lewis III', 'David Fine', 'Joshua Grannell', 'Lance Hill', 'Jon Freeman', 'Persephone Gloeckner-Suits', 'John Lobato']","['Cold Iron Pictures', 'Archer Gray', 'Caviar']",1,['US'],"['tr', 'en']",tt3172532,6.597,638
1,2014-02-06,Smetto quando voglio,2000000,54606,100,['Comedy'],"A university researcher is fired because of the cuts to university. To earn a living he decides to produce drugs recruiting his former colleagues, who despite their skills are living at the margins of society.",,['Sydney Sibilia'],"['Edoardo Leo', 'Valeria Solarino', 'Valerio Aprea', 'Paolo Calabresi', 'Stefano Fresi', 'Lorenzo Lavia', 'Pietro Sermonti', 'Libero De Rienzo', 'Sergio Solli', 'Majlinda Agaj', 'Neri Marcorè', 'Guglielmo Poggi', 'Katsiaryna Shulha', 'Nadir Caselli', 'Luca Vecchi', 'Davide Gagliardi', 'Alessandro Federico', 'Mauro Stenico', 'Toni Sansaro', 'Flavio Altissimi', 'Neva Leoni', 'Sara Santarelli', 'Enzo Provenzano', 'Alessandro Tuzzi', 'Daniel Berquiny', 'Marco Conidi', 'Riccardo Rovere', 'Guglielmo Favilla', 'Marco Ghirlandi', 'Lorenzo Gioielli', 'Francesco Acquaroli']","['Fandango', 'Ascent Film', 'RAI Cinema']",1,['IT'],['it'],tt3438354,7.44,1658
2,2013-12-05,Остров везения,2000000,4803665,82,"['Comedy', 'Adventure']",A funny comedy about three young girls and one man who are stuck on inhabited island.,,['Kirill Kozlov'],"['Svetlana Khodchenkova', 'Anna Khilkevich', 'Agniya Ditkovskite', 'Roman Yunusov', 'Aleksey Chumakov', 'Dasha Astafieva', 'Ivan Tokarev', 'Ilya Kostyukov', 'Artem Suchkov', 'Tatyana Orlova', 'Yuliya Grishina', 'Mariya Kravtsova']",['Enjoy Movies'],1,['RU'],['ru'],tt3338310,4.6,12
3,2014-04-30,Barbecue,6000000,14348529,98,['Comedy'],"On his 50th birthday, a man who's been watching his weight, health and temper all his life suffers a heart attack. He's been doing everything he was told he should do and it still didn't help. He decides to turn the page and let loose.",,['Eric Lavaine'],"['Lambert Wilson', 'Franck Dubosc', 'Florence Foresti', 'Guillaume de Tonquédec', 'Jérôme Commandeur', 'Valérie Crouzet', 'Sophie Duez', 'Lionel Abelanski', 'Marc Fayet', 'Antoine Blanquefort', 'Nabiha Akkari', 'Lysiane Meis', 'Stéphane De Groodt', 'Lucas Lavaine', 'Corentin Lavaine', 'Philippe Laudenbach', 'Julie Engelbrecht', 'Théo Van de Voorde', 'Diane Terrier', 'Sylvie Paupardin', 'Franck Adrien Serafini', 'Iryna Solovy']","['TF1 Films Production', 'StudioCanal', 'Same Player', 'Cinéfrance 1888']",1,['FR'],['fr'],tt3202120,5.802,614
4,2014-06-27,The Good Lie,20000000,3396345,110,['Drama'],"A young refugee of the Sudanese Civil War who wins a lottery for relocation to the United States with three other lost boys. Encountering the modern world for the first time, they develop an unlikely friendship with a brash American woman assigned to help them, but the young man struggles to adjust to this new life and his feelings of guilt about the brother he left behind.",Miracles are made by people who refuse to stop believing.,['Philippe Falardeau'],"['Reese Witherspoon', 'Corey Stoll', 'Thad Luckinbill', 'Sarah Baker', 'Maria Howell', 'Joshua Mikel', 'Mike Pniewski', 'Arnold Oceng', 'Ger Duany', 'Emmanuel Jal', 'Kuoth Wiel', 'Lindsey Garrett', 'Peterdeng Mongok', 'Okwar Jale', 'Thon Kueth', 'Deng Ajuet', 'Keji Jale', 'David Madingi', 'Kon Akoue Auok', 'Sibusisu Moyo', 'Antoine Wonder Kalambay', 'Elikana Jale', 'Afemo Omilami', 'Michael H. Cole', 'Brian Kurlander', 'Jimi Kocina', 'Vince Pisani', 'Kimberly Banta', 'Travis Smith', 'Sharon Conley', 'Raj Kala', 'Parisa Johnston', 'Heather Lyda', 'Clifton Guterman', 'Kenny Alfonso', 'Victor McCay', 'Jacob Kuol Alier', 'Berglind Jonsdottir', 'Dhan Kueth', 'Israel Makoe', 'John Prendergast', 'Tiffany Jones', 'Nathaniel Ramabulana', 'Lavine Dimo', 'Julia Ayiol', 'Sope Aluko', 'Suehyla El-Attar', 'Abena Ayivor', 'Levi Burdick', 'Lele Ledwaba', 'Mari Malek', 'Flora Peter Deng', 'Cara Mantella']","['Alcon Entertainment', 'Reliance Entertainment', 'Blue Sky Africa', 'Blue Sky Films', 'Black Label Media']",1,"['US', 'IN', 'KE']",['en'],tt2652092,7.415,435
5,2014-10-02,Annabelle,6500000,257047661,99,['Horror'],A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,"Before the Conjuring, there was Annabelle.",['John R. Leonetti'],"['Annabelle Wallis', 'Ward Horton', 'Tony Amendola', 'Alfre Woodard', 'Eric Ladin', ""Kerry O'Malley"", 'Brian Howe', 'Ivar Brogger', 'Gabriel Bateman', 'Shiloh Nelson', 'Morganna Bridgers', 'Michelle Romano', 'Paige Diaz', 'Camden Singer', 'Keira Daniels', 'Richard Allan Jones', 'Christopher Shaw', 'Geoff Wehner', 'Sasha Sheldon', 'Robin Pearson Rose']","['New Line Cinema', 'The Safran Company', 'Evergreen Media Group', 'RatPac Entertainment', 'Atomic Monster']",1,['US'],['en'],tt3322940,5.736,5387
