,date,titre,budget,recette,duree,genres,synopsis,tagline,realisateur,casting,compagnies_production,suite,production_countries,langues,imdb_id,vote_average,vote_count
0,2022-04-13,Father Stu,4000000,21591034,124,['Drama'],"The true-life story of boxer-turned-priest. When an injury ends his amateur boxing career, Stuart Long moves to Los Angeles to find money and fame. While scraping by as a supermarket clerk, he meets Carmen, a Sunday school teacher who seems immune to his bad-boy charm. Determined to win her over, the longtime agnostic starts going to church to impress her. However, a motorcycle accident leaves him wondering if he can use his second chance to help others, leading to the surprising realization that he's meant to be a Catholic priest.",God wanted a fighter… and He found one.,['Rosalind Ross'],"['Mark Wahlberg', 'Mel Gibson', 'Jacki Weaver', 'Teresa Ruiz', 'Malcolm McDowell', 'Annet Mahendru', 'Cody Fern', 'Winter Ave Zoli', 'Faith Jefferies', 'Ronnie Gene Blevins', 'Ned Bellamy', 'Michael Fairman', 'Niko Nicotera', 'Alain Uy', 'Carlos Leal', 'Annie Lee', 'Aaron Moten', 'Molly Baker', 'Chiquita Fuller', 'Betsy Moore', 'Tenz McCall', 'Penny L. Moore', 'Tim Sitarz', 'Rudy Moreno', 'Nicholas A. Goldreich', 'Indie DesRoches', 'Lily Villegas', 'Roberto Montesinos', 'Sharmila Devar', ""Sean O'Reilly"", 'James Flavin', 'Jorge-Luis Pallo', 'Clay Wilcox', 'Lila Karp-Ziring', 'Steve Olson', 'Dennis Keiffer', 'Bryan Kreutz', 'Larry Bagby', 'Mathew Trent Hunnicutt', 'Mariah Maison', 'Tyler Burke', 'Skip Howland', 'Pablo Ramos']","['Palm Drive Productions', 'Municipal Pictures']",1,['US'],['en'],tt14439896,7.492,324
1,1965-08-05,Cezmi Band 007.5,55000,105000,0,"['Comedy', 'Crime']",Turkish spy Cezmi Band battles villains in a James Bond inspired thriller.,,['Sırrı Gültekin'],"['Öztürk Serengil', 'Selma Güneri', 'Sevda Ferdağ', 'Münir Özkul', 'Moris', 'Vural Cantürk']",['Serengil Film'],1,['TR'],['tr'],tt0406636,0.0,0
2,2021-03-03,Old Home on the Corner,100,250,2,"['Drama', 'Documentary', 'Fantasy']",a film about memories & showering.,How to remember.,['Nicole Toporowski'],"['Nicole Toporowski', 'Frankie the cat', 'Prentis Shower']",['Love Streams Films'],1,['US'],['en'],,0.0,0
3,2021-03-03,"150 Miles of Rotting, Rutted, Lumpy, Dilapidated Pavement",75,300,4,"['Drama', 'Documentary', 'Fantasy']",A Woman Watches People.,What its like to be alone.,['Nicole Toporowski'],"['Michael Keller', 'Frankie the cat', 'Oreo the Cat', 'Aeneas Koosis']",['Love Streams Films'],1,['US'],['en'],,0.0,0
